Date,Open,High,Low,Close,Volume
2010-01-04,34.45,35.33,34.45,35.26,89370.0
2010-01-05,35.26,36.01,35.13,35.67,43681.0
2010-01-07,36.08,36.55,36.01,36.21,157340.0
2010-01-08,36.49,37.1,36.49,36.69,91880.0
2010-01-11,37.1,37.37,36.89,36.89,94842.0
2010-01-12,36.96,37.3,36.62,36.82,103460.0
2010-01-13,36.82,36.82,36.35,36.42,104958.0
2010-01-14,36.76,36.89,36.42,36.42,126562.0
2010-01-15,36.82,36.82,35.81,36.01,157756.0
2010-01-18,36.01,36.76,36.01,36.55,62817.0
2010-01-19,36.55,37.3,36.21,36.96,81222.0
2010-01-20,36.89,37.43,36.49,36.49,96708.0
2010-01-21,36.62,37.16,36.62,36.76,134229.0
2010-01-22,36.96,37.1,36.76,36.76,93349.0
2010-01-25,36.49,36.96,36.42,36.76,60925.0
2010-01-26,36.62,36.62,36.21,36.21,118532.0
2010-01-27,36.21,36.49,36.08,36.21,76985.0
2010-01-28,36.42,37.16,36.21,36.21,123015.0
2010-01-29,36.69,36.69,35.87,35.87,115939.0
2010-02-01,36.21,36.76,35.94,36.69,109909.0
2010-02-02,36.69,37.03,36.62,36.96,81539.0
2010-02-03,37.16,37.16,36.89,36.89,85904.0
2010-02-04,36.96,37.1,36.42,36.42,68956.0
2010-02-05,36.49,36.49,35.87,36.28,111861.0
2010-02-08,36.28,36.28,35.4,35.74,72169.0
2010-02-09,35.87,36.21,35.26,35.81,33603.0
2010-02-10,36.55,36.55,35.54,35.67,78152.0
2010-02-11,36.08,36.42,35.6,35.6,91504.0
2010-02-12,36.08,36.15,35.06,35.26,143176.0
2010-02-15,35.6,35.67,34.59,34.72,113950.0
2010-02-16,35.2,35.4,34.86,34.99,77019.0
2010-02-17,35.13,35.94,35.13,35.94,46891.0
2010-02-18,35.81,36.08,35.67,35.74,72810.0
2010-02-19,35.81,36.42,35.6,36.28,51620.0
2010-02-22,36.35,36.35,35.87,35.94,29359.0
2010-02-23,36.35,36.35,35.94,35.94,51343.0
2010-02-24,36.21,36.21,35.74,35.81,35353.0
2010-02-25,36.08,36.28,35.54,35.54,155804.0
2010-02-26,35.81,36.21,35.81,36.01,32666.0
2010-03-01,36.08,36.69,36.08,36.35,516724.0
2010-03-02,36.35,36.55,36.08,36.55,86990.0
2010-03-03,36.35,37.03,36.35,36.55,99124.0
2010-03-04,36.42,36.96,36.42,36.76,113167.0
2010-03-05,37.03,37.3,36.76,37.1,111811.0
2010-03-08,37.37,37.71,37.16,37.43,75627.0
2010-03-09,37.71,37.77,37.37,37.71,83375.0
2010-03-10,37.84,38.32,37.71,38.11,99358.0
2010-03-11,38.32,38.66,38.11,38.52,241836.0
2010-03-12,38.72,39.06,38.59,38.79,292434.0
2010-03-15,38.59,39.27,38.59,39.06,105897.0
2010-03-16,39.06,39.47,38.93,39.2,84021.0
2010-03-17,39.2,39.81,39.2,39.4,118939.0
2010-03-18,39.4,39.81,39.2,39.4,95083.0
2010-03-19,39.6,39.74,39.2,39.33,80858.0
2010-03-22,39.47,40.49,38.79,40.42,239624.0
2010-03-23,40.69,40.83,40.42,40.62,168028.0
2010-03-24,42.55,43.0,42.55,42.78,182234.0
2010-03-25,42.85,42.85,42.33,42.48,118312.0
2010-03-26,42.4,42.4,42.18,42.18,49172.0
2010-03-29,42.25,42.4,42.1,42.25,94213.0
2010-03-30,42.4,42.78,42.33,42.33,64355.0
2010-03-31,42.55,42.7,42.18,42.25,65822.0
2010-04-01,42.48,43.08,42.33,42.85,99420.0
2010-04-06,43.45,43.83,43.15,43.53,101246.0
2010-04-07,43.75,43.9,43.53,43.68,73420.0
2010-04-08,43.75,43.75,43.3,43.45,57953.0
2010-04-09,43.75,43.9,43.45,43.45,59321.0
2010-04-12,44.05,44.13,43.75,43.75,48336.0
2010-04-13,43.9,43.9,43.15,43.68,213130.0
2010-04-14,43.9,43.98,43.45,43.68,76079.0
2010-04-15,43.68,43.68,42.93,43.08,193192.0
2010-04-16,43.15,43.15,42.55,42.63,110598.0
2010-04-19,42.48,42.48,41.88,42.1,179629.0
2010-04-20,42.25,42.55,42.1,42.33,58883.0
2010-04-21,42.63,42.7,42.1,42.18,91785.0
2010-04-22,42.18,42.4,41.65,41.88,86664.0
2010-04-23,41.95,43.3,41.95,43.0,116576.0
2010-04-26,43.15,44.05,43.15,43.3,180651.0
2010-04-27,43.68,43.68,41.13,41.2,239120.0
2010-04-28,40.98,41.73,39.93,39.93,228361.0
2010-04-29,39.93,40.76,39.93,40.68,105093.0
2010-04-30,40.68,41.5,40.23,41.5,61433.0
2010-05-03,41.65,41.95,40.83,41.95,61272.0
2010-05-04,42.4,42.4,40.08,40.38,96611.0
2010-05-05,40.16,40.31,38.06,38.43,262061.0
2010-05-06,38.36,38.36,36.48,36.78,345060.0
2010-05-07,33.56,35.74,33.56,35.06,668771.0
2010-05-10,35.74,38.96,35.74,36.41,319933.0
2010-05-11,36.56,36.86,35.51,36.11,146616.0
2010-05-12,36.71,38.06,36.56,38.06,52692.0
2010-05-14,38.66,38.66,37.31,37.76,82202.0
2010-05-17,37.08,37.38,36.41,37.31,116238.0
2010-05-18,37.31,37.98,37.31,37.76,77851.0
2010-05-19,37.61,37.83,36.93,37.38,126947.0
2010-05-20,41.28,41.28,36.56,37.08,84984.0
2010-05-21,37.08,37.08,36.04,36.19,114449.0
2010-05-24,37.01,37.38,35.81,35.96,79318.0
2010-05-25,35.89,35.89,34.46,34.46,735634.0
2010-05-26,33.86,34.61,32.66,33.56,436864.0
2010-05-27,33.56,33.64,32.66,33.64,158496.0
2010-05-28,33.56,34.54,33.56,34.16,162592.0
2010-05-31,33.86,35.06,33.04,35.06,385351.0
2010-06-01,34.69,34.69,33.49,34.09,157680.0
2010-06-02,34.01,35.74,33.94,35.29,385812.0
2010-06-03,35.66,36.11,35.06,35.21,179088.0
