Date,Open,High,Low,Close,Volume
2015-02-16,7.4,9.1,7.05,7.15,363758.0
2015-02-17,7.3,7.55,7.1,7.1,109500.0
2015-02-18,7.2,7.3,6.75,6.95,95977.0
2015-02-19,7.0,7.3,6.8,7.05,122647.0
2015-02-20,7.0,7.1,6.95,6.95,88100.0
2015-02-23,6.95,7.0,6.6,6.8,63836.0
2015-02-24,6.75,6.75,6.65,6.65,46109.0
2015-02-25,6.65,6.65,6.5,6.5,24953.0
2015-02-26,6.55,6.55,6.35,6.45,32550.0
2015-02-27,6.5,6.5,6.2,6.25,62153.0
2015-03-02,6.4,6.65,6.1,6.1,142838.0
2015-03-03,6.4,6.55,6.35,6.35,7858.0
2015-03-04,6.45,6.95,6.45,6.8,35206.0
2015-03-05,6.85,6.85,6.7,6.8,49453.0
2015-03-06,6.8,6.8,6.8,6.8,72312.0
2015-03-09,6.85,7.1,6.85,7.0,43594.0
2015-03-10,6.95,7.0,6.8,6.8,36825.0
2015-03-11,6.75,6.75,6.6,6.6,17000.0
2015-03-12,6.7,6.95,6.7,6.9,15910.0
2015-03-13,6.9,6.9,6.65,6.65,12750.0
2015-03-16,6.85,6.85,6.85,6.85,3500.0
2015-03-17,6.7,6.85,6.7,6.85,4100.0
2015-03-18,6.85,7.0,6.75,6.75,8360.0
2015-03-19,6.75,6.75,6.75,6.75,0.0
2015-03-20,6.9,6.9,6.9,6.9,4000.0
2015-03-23,6.9,6.9,6.7,6.85,47735.0
2015-03-24,6.9,6.9,6.8,6.9,6000.0
2015-03-25,6.85,6.85,6.85,6.85,35.0
2015-03-26,6.85,6.9,6.65,6.75,74399.0
2015-03-27,6.85,6.85,6.85,6.85,2401.0
2015-03-30,6.85,6.85,6.75,6.8,8762.0
2015-03-31,6.8,6.8,6.7,6.75,4840.0
2015-04-01,6.8,6.8,6.8,6.8,2970.0
2015-04-02,6.8,6.8,6.7,6.8,10496.0
2015-04-07,6.75,7.2,6.6,6.75,49597.0
2015-04-08,6.65,6.7,6.4,6.5,55211.0
2015-04-09,6.25,6.5,6.25,6.5,3500.0
2015-04-10,6.3,6.4,6.3,6.3,14798.0
2015-04-13,6.3,6.4,6.3,6.3,3120.0
2015-04-14,6.4,6.8,5.8,5.9,60790.0
2015-04-15,6.0,6.5,6.0,6.5,28048.0
2015-04-16,6.6,6.6,6.35,6.4,44309.0
2015-04-17,6.65,6.65,6.5,6.55,10600.0
2015-04-20,6.45,6.45,6.45,6.45,5000.0
2015-04-21,6.5,6.95,6.5,6.85,42056.0
2015-04-22,6.8,6.85,6.8,6.85,13300.0
2015-04-23,6.7,6.85,6.65,6.65,33975.0
2015-04-24,6.65,6.85,6.65,6.85,20910.0
2015-04-27,6.7,6.85,6.7,6.85,30558.0
2015-04-28,6.85,6.9,6.8,6.9,62255.0
2015-04-29,6.9,6.9,6.9,6.9,13000.0
2015-04-30,6.9,6.9,6.85,6.85,1204.0
2015-05-04,6.85,6.85,6.8,6.8,3120.0
2015-05-05,6.9,6.95,6.85,6.95,35665.0
