Date,Open,High,Low,Close,Volume
2009-12-03,3.33,3.38,3.13,3.34,6949.0
2009-12-04,3.33,3.33,3.27,3.27,16433.0
2009-12-07,3.12,3.33,3.12,3.33,24731.0
2009-12-08,3.12,3.33,3.12,3.33,3528.0
2009-12-09,3.21,3.21,3.21,3.21,120.0
2009-12-10,2.93,3.17,2.93,3.13,1799.0
2009-12-11,3.13,3.33,2.93,3.28,19620.0
2009-12-14,3.28,3.28,3.28,3.28,0.0
2009-12-15,2.97,3.3,2.95,3.29,35304.0
2009-12-16,3.0,3.29,3.0,3.27,10565.0
2009-12-17,3.3,3.3,3.0,3.26,4198.0
2009-12-18,3.01,3.08,3.0,3.08,24505.0
2009-12-21,3.0,3.03,2.84,2.92,19219.0
2009-12-22,2.92,2.92,2.83,2.88,3717.0
2009-12-23,2.88,2.92,2.79,2.91,8123.0
2009-12-28,2.91,3.28,2.91,3.17,3239.0
2009-12-29,3.08,3.24,2.98,3.23,28020.0
2009-12-30,3.23,3.26,3.08,3.08,42853.0
2010-01-04,3.33,3.33,3.29,3.33,28613.0
2010-01-05,3.32,3.38,3.32,3.38,12088.0
2010-01-07,3.4,4.25,3.4,4.25,214464.0
2010-01-08,4.79,6.42,4.59,5.04,3270221.0
2010-01-11,5.04,5.25,4.63,4.84,783258.0
2010-01-12,4.79,5.09,4.54,4.92,388835.0
2010-01-13,5.0,5.5,5.0,5.21,1125868.0
2010-01-14,5.38,5.38,4.92,5.13,376734.0
2010-01-15,5.13,6.38,5.09,5.42,2804118.0
2010-01-18,5.59,6.13,5.34,5.63,2454788.0
2010-01-19,5.92,5.96,4.79,5.25,2138282.0
2010-01-20,5.0,5.0,4.29,4.34,1575221.0
2010-01-21,4.38,4.5,4.0,4.09,1051845.0
2010-01-22,3.97,4.13,3.97,4.01,358409.0
2010-01-25,4.09,4.09,3.83,3.92,488500.0
2010-01-26,3.88,3.92,3.75,3.84,127314.0
2010-01-27,3.84,3.87,3.75,3.81,118575.0
2010-01-28,3.81,3.94,3.71,3.83,97067.0
2010-01-29,3.73,4.0,3.67,3.96,193308.0
2010-02-01,3.75,3.99,3.75,3.97,41143.0
2010-02-02,3.96,4.29,3.83,4.25,480750.0
2010-02-03,4.25,4.46,4.13,4.29,238479.0
2010-02-04,4.29,4.29,4.04,4.04,149717.0
2010-02-05,4.04,4.13,4.02,4.09,56407.0
2010-02-08,4.1,4.38,3.96,4.0,187909.0
2010-02-09,4.08,4.09,3.93,3.94,40844.0
2010-02-10,3.95,4.09,3.71,3.93,270724.0
2010-02-11,3.93,3.93,3.75,3.77,63606.0
2010-02-12,3.9,4.09,3.67,3.74,256236.0
2010-02-15,3.75,3.96,3.72,3.74,37510.0
2010-02-16,3.68,3.9,3.68,3.83,28015.0
2010-02-17,3.96,3.96,3.8,3.89,42767.0
2010-02-18,3.96,4.21,3.96,4.1,380092.0
2010-02-19,4.1,4.14,3.84,4.04,86448.0
2010-02-22,4.04,4.04,3.92,3.96,74547.0
2010-02-23,3.92,3.96,3.89,3.95,53394.0
2010-02-24,3.92,4.17,3.92,4.16,141209.0
2010-02-25,4.17,4.21,4.13,4.21,111665.0
2010-02-26,4.21,4.34,4.04,4.21,116511.0
2010-03-01,4.29,4.84,4.25,4.67,514448.0
2010-03-02,4.79,4.79,4.42,4.63,219624.0
2010-03-03,4.63,4.63,4.38,4.46,149733.0
2010-03-04,4.5,4.67,4.42,4.63,125439.0
2010-03-05,4.63,4.79,4.46,4.63,207267.0
2010-03-08,4.63,4.79,4.5,4.75,275667.0
2010-03-09,4.79,5.04,4.79,4.96,992879.0
2010-03-10,5.0,5.0,4.75,4.84,295737.0
2010-03-11,4.88,4.88,4.71,4.75,115851.0
2010-03-12,4.75,4.75,4.54,4.67,270609.0
2010-03-15,4.67,4.67,4.5,4.59,116244.0
2010-03-16,4.59,4.59,4.42,4.42,138263.0
2010-03-17,4.42,4.59,4.34,4.38,208956.0
2010-03-18,4.38,4.59,4.38,4.59,79091.0
2010-03-19,4.59,4.59,4.42,4.5,32681.0
2010-03-22,4.42,4.5,4.42,4.5,41742.0
2010-03-23,4.42,4.5,4.29,4.46,125104.0
2010-03-24,4.5,4.5,4.29,4.46,50738.0
2010-03-25,4.25,4.42,4.25,4.42,112834.0
2010-03-26,4.25,4.42,4.17,4.38,136862.0
2010-03-29,4.21,4.38,4.21,4.38,75467.0
2010-03-30,4.29,4.34,4.17,4.34,69749.0
2010-03-31,4.29,4.38,4.17,4.38,53610.0
2010-04-01,4.34,4.34,4.25,4.25,15139.0
2010-04-06,4.29,4.29,4.17,4.25,41083.0
2010-04-07,4.17,4.29,4.17,4.29,34347.0
2010-04-08,4.14,4.25,4.14,4.25,21686.0
2010-04-09,4.17,4.25,4.13,4.17,119248.0
2010-04-12,4.09,4.25,4.04,4.25,104467.0
2010-04-13,4.13,4.17,4.09,4.09,27335.0
2010-04-14,4.09,4.16,4.08,4.15,18749.0
2010-04-15,4.05,4.14,4.05,4.13,7515.0
2010-04-16,4.06,4.34,4.06,4.21,118118.0
2010-04-19,4.17,4.21,4.03,4.16,76934.0
2010-04-20,4.05,4.16,4.05,4.12,57525.0
2010-04-21,4.12,4.13,4.03,4.13,85005.0
2010-04-22,4.15,4.25,4.09,4.21,106116.0
2010-04-23,4.21,4.25,4.17,4.21,95070.0
2010-04-26,4.09,4.17,4.09,4.17,78421.0
2010-04-27,4.17,4.17,4.04,4.13,76190.0
2010-04-28,4.06,4.12,3.93,4.11,57575.0
2010-04-29,4.0,4.17,4.0,4.16,28424.0
2010-04-30,4.16,4.16,4.14,4.16,14610.0
2010-05-03,4.05,4.15,4.04,4.15,11419.0
2010-05-04,4.04,4.09,4.01,4.09,15267.0
2010-05-05,4.0,4.03,3.88,3.96,65920.0
2010-05-06,3.85,3.96,3.75,3.88,51229.0
2010-05-07,3.75,3.75,3.54,3.74,100263.0
2010-05-10,3.79,4.0,3.74,3.88,103735.0
2010-05-11,3.67,3.9,3.67,3.9,43644.0
2010-05-12,3.84,3.84,3.77,3.77,1343.0
2010-05-14,3.77,3.91,3.68,3.91,9764.0
2010-05-17,3.68,3.96,3.68,3.87,10613.0
2010-05-18,3.76,3.96,3.76,3.96,10939.0
2010-05-19,3.89,3.96,3.88,3.96,10795.0
2010-05-20,3.84,3.95,3.67,3.75,66244.0
2010-05-21,3.75,3.81,3.59,3.81,36573.0
2010-05-24,3.81,3.92,3.81,3.88,6237.0
2010-05-25,3.84,3.84,3.63,3.75,53350.0
2010-05-26,3.87,3.87,3.67,3.84,45628.0
2010-05-27,3.79,3.87,3.73,3.86,45320.0
2010-05-28,3.87,3.92,3.87,3.91,65792.0
2010-05-31,3.88,4.16,3.88,4.02,65528.0
2010-06-01,4.02,4.09,3.8,4.09,82596.0
2010-06-02,3.96,4.05,3.96,4.05,4678.0
2010-06-03,4.15,4.15,3.99,3.99,24377.0
2010-06-04,4.04,4.16,3.94,3.99,41617.0
2010-06-07,3.94,3.94,3.84,3.94,14481.0
2010-06-08,3.88,3.88,3.68,3.88,26148.0
2010-06-09,3.84,3.99,3.77,3.88,53422.0
2010-06-10,3.77,3.87,3.76,3.85,9716.0
2010-06-11,3.77,3.99,3.77,3.96,21862.0
2010-06-14,4.0,4.04,3.75,3.89,103705.0
2010-06-15,3.97,3.97,3.84,3.91,25856.0
2010-06-16,3.91,3.96,3.79,3.89,16415.0
2010-06-17,3.97,3.97,3.75,3.84,53637.0
2010-06-18,3.84,3.84,3.71,3.79,32266.0
2010-06-21,3.79,3.99,3.79,3.88,70221.0
2010-06-22,3.91,3.91,3.84,3.84,5877.0
2010-06-23,3.84,3.97,3.79,3.88,71933.0
2010-06-24,3.84,3.92,3.79,3.88,31786.0
2010-06-28,3.76,3.83,3.73,3.83,14362.0
2010-06-29,3.73,3.83,3.71,3.78,18932.0
2010-06-30,3.71,3.71,3.67,3.68,24723.0
2010-07-01,3.92,3.92,3.63,3.64,16905.0
2010-07-02,3.6,3.69,3.6,3.69,3478.0
2010-07-05,3.74,3.74,3.6,3.7,16553.0
2010-07-06,3.68,3.68,3.62,3.62,0.0
2010-07-07,3.63,3.71,3.63,3.71,15292.0
2010-07-08,3.6,3.69,3.6,3.69,19085.0
2010-07-09,3.67,3.67,3.58,3.66,13598.0
2010-07-12,3.88,3.88,3.59,3.73,1346.0
2010-07-13,3.59,3.67,3.58,3.67,24589.0
2010-07-14,3.58,3.73,3.58,3.71,8956.0
2010-07-15,3.66,3.66,3.63,3.63,0.0
2010-07-16,3.57,3.66,3.57,3.66,22843.0
2010-07-19,3.67,3.67,3.67,3.67,120.0
2010-07-20,3.56,3.7,3.56,3.7,2639.0
2010-07-21,3.58,3.69,3.54,3.69,18592.0
2010-07-22,3.54,3.66,3.53,3.66,8036.0
2010-07-23,3.74,3.75,3.54,3.73,31906.0
2010-07-26,4.14,4.14,3.79,3.84,33345.0
2010-07-27,3.76,3.87,3.76,3.87,104714.0
2010-07-28,3.87,3.92,3.75,3.9,129663.0
2010-07-29,3.71,3.85,3.71,3.85,29773.0
2010-07-30,3.79,3.92,3.74,3.88,32985.0
2010-08-02,3.92,3.92,3.84,3.92,11395.0
2010-08-03,3.96,3.96,3.71,3.92,13254.0
