Date,Open,High,Low,Close,Volume
2019-05-24,26.8,26.8,22.7,23.0,1239312.0
2019-05-27,23.6,23.8,21.6,23.0,495427.0
2019-05-28,23.0,23.4,21.6,23.0,184877.0
2019-05-29,23.0,23.0,21.8,22.2,43787.0
2019-05-31,22.4,22.4,21.0,21.8,54739.0
2019-06-03,21.6,22.8,21.4,22.8,30779.0
2019-06-04,22.2,22.6,21.8,22.4,31573.0
2019-06-05,22.4,24.8,21.8,24.0,139568.0
2019-06-07,24.4,24.4,22.8,24.0,32435.0
2019-06-11,23.4,23.8,22.4,23.6,61278.0
2019-06-12,22.8,23.4,22.4,23.2,19362.0
2019-06-13,22.4,23.4,22.4,23.4,13244.0
2019-06-14,23.4,23.4,23.0,23.4,13902.0
2019-06-18,23.0,23.0,22.4,22.8,19309.0
2019-06-19,22.8,22.8,22.2,22.6,24464.0
2019-06-20,22.6,23.4,22.6,23.4,28366.0
2019-06-24,23.0,23.0,22.0,22.0,18622.0
2019-06-25,21.8,21.8,20.6,21.6,41995.0
2019-06-26,21.2,21.8,19.8,21.8,58505.0
2019-06-27,21.8,21.8,21.0,21.6,1688.0
2019-06-28,20.8,21.8,20.2,21.8,12976.0
2019-07-01,21.8,22.0,20.2,21.6,11799.0
2019-07-02,21.0,21.8,20.6,21.6,7269.0
2019-07-03,21.0,21.6,20.8,21.6,10171.0
2019-07-04,21.6,21.6,20.4,21.4,23007.0
2019-07-05,20.8,21.2,20.8,21.0,5754.0
2019-07-08,21.0,21.4,20.6,21.4,11898.0
2019-07-09,20.6,21.4,20.6,21.4,3957.0
2019-07-10,21.6,21.8,20.8,21.8,9779.0
2019-07-11,20.8,21.8,20.6,21.8,4789.0
2019-07-12,20.8,21.8,20.8,21.8,6940.0
2019-07-15,21.0,21.8,21.0,21.8,3165.0
2019-07-16,21.0,21.8,21.0,21.8,3821.0
2019-07-17,21.8,21.8,21.0,21.8,2351.0
2019-07-18,21.0,21.8,21.0,21.6,3868.0
2019-07-19,21.0,21.8,21.0,21.8,6727.0
2019-07-22,21.0,22.0,21.0,22.0,1255.0
2019-07-23,22.0,22.0,21.2,22.0,4472.0
2019-07-24,21.8,22.0,21.8,22.0,2042.0
2019-07-25,22.0,22.6,21.2,22.6,2593.0
2019-07-26,22.6,22.6,22.0,22.0,435.0
2019-07-29,22.2,22.4,21.6,22.2,790.0
2019-07-30,22.2,22.4,21.6,22.4,1301.0
2019-07-31,21.6,23.0,21.6,23.0,8206.0
2019-08-01,22.6,23.0,22.2,23.0,11329.0
2019-08-02,22.8,22.8,22.8,22.8,2500.0
2019-08-06,22.0,22.6,21.0,22.6,3998.0
2019-08-07,21.0,22.2,20.8,22.0,14403.0
2019-08-08,22.0,22.2,21.0,21.8,14731.0
2019-08-09,22.4,22.8,21.8,22.8,6297.0
2019-08-12,23.0,23.0,21.2,22.4,8006.0
2019-08-13,22.4,22.6,21.6,22.4,7776.0
2019-08-14,22.2,23.0,21.4,23.0,8741.0
2019-08-15,22.6,25.0,22.6,25.0,5004.0
2019-08-16,24.4,24.4,22.6,23.8,14378.0
2019-08-19,24.8,24.8,22.8,23.8,11785.0
2019-08-20,24.0,24.0,23.0,23.0,2435.0
2019-08-21,23.6,24.0,22.0,22.8,5715.0
2019-08-22,24.4,24.4,22.0,22.4,4665.0
2019-08-23,22.8,23.6,22.4,23.2,1202.0
2019-08-26,23.2,23.4,22.0,23.4,1080.0
2019-08-27,23.8,23.8,23.0,23.4,700.0
2019-08-28,23.4,23.4,22.4,23.4,1990.0
2019-08-29,22.6,23.8,22.0,23.8,14491.0
2019-08-30,23.8,24.0,22.2,23.4,17334.0
2019-09-02,23.4,23.4,23.4,23.4,0.0
2019-09-03,22.8,24.0,22.6,23.6,5275.0
2019-09-04,23.2,23.2,22.6,23.2,9295.0
2019-09-05,23.6,24.2,22.8,24.2,7940.0
2019-09-06,23.0,24.8,23.0,24.8,6376.0
2019-09-09,23.6,24.2,23.2,24.2,8100.0
2019-09-10,24.4,24.4,22.6,24.0,22598.0
2019-09-11,23.2,24.0,22.6,23.0,9389.0
2019-09-12,22.6,23.0,22.2,23.0,1486.0
2019-09-13,22.2,23.0,22.2,23.0,1545.0
2019-09-16,22.0,23.8,21.8,22.0,10146.0
2019-09-17,23.0,23.2,22.2,23.2,3909.0
2019-09-18,22.4,23.4,22.4,23.4,1100.0
2019-09-19,23.2,23.8,22.4,23.0,8689.0
2019-09-20,23.8,23.8,22.4,22.6,3568.0
2019-09-23,23.8,23.8,22.6,22.8,4151.0
2019-09-24,23.0,23.0,22.2,22.6,500.0
2019-09-25,22.0,22.4,21.8,21.8,6826.0
2019-09-26,22.2,22.6,22.0,22.6,3008.0
2019-09-27,22.0,22.6,22.0,22.4,5090.0
2019-09-30,22.4,22.4,21.4,21.6,23170.0
