Date,Open,High,Low,Close,Volume
2015-07-22,8.61,8.92,7.79,8.15,794837.0
2015-07-23,8.11,8.7,7.97,8.61,187783.0
2015-07-24,8.88,10.55,8.43,9.97,214844.0
2015-07-27,10.83,12.46,10.6,11.64,374781.0
2015-07-28,11.64,11.64,10.69,11.55,172685.0
2015-07-29,11.55,11.6,10.15,10.69,212435.0
2015-07-30,10.24,11.69,9.65,11.23,234325.0
2015-07-31,11.32,11.64,10.87,11.19,49521.0
2015-08-03,11.1,11.1,10.24,10.69,71130.0
2015-08-04,10.51,10.6,10.01,10.1,71431.0
2015-08-05,10.24,10.6,10.1,10.33,31855.0
2015-08-06,10.37,10.46,9.74,10.01,38741.0
2015-08-07,9.97,10.06,9.74,9.78,22895.0
2015-08-10,10.1,10.74,10.06,10.55,60544.0
2015-08-11,10.83,10.87,10.15,10.33,41683.0
2015-08-12,10.33,10.46,9.65,9.78,28914.0
2015-08-13,9.78,10.24,9.78,10.06,9425.0
2015-08-14,9.97,10.78,9.88,10.51,12450.0
2015-08-17,10.65,10.78,10.19,10.6,47898.0
2015-08-18,10.51,11.14,10.51,10.74,68405.0
2015-08-19,10.96,10.96,10.37,10.55,27128.0
2015-08-20,10.28,10.83,10.28,10.42,12951.0
2015-08-21,9.83,10.37,9.29,9.56,38687.0
2015-08-24,9.01,9.01,7.25,8.11,86983.0
2015-08-25,8.06,9.15,8.06,9.06,47900.0
2015-08-26,8.65,9.33,8.52,9.01,22213.0
2015-08-27,9.06,9.88,8.79,9.78,49189.0
2015-08-28,10.06,10.06,9.06,9.56,18485.0
2015-08-31,9.42,9.92,9.33,9.42,20749.0
2015-09-01,9.47,9.51,9.06,9.42,14591.0
2015-09-02,9.06,9.29,8.7,9.06,8504.0
2015-09-03,8.88,9.15,8.61,8.61,29879.0
2015-09-04,8.83,9.15,8.83,9.06,7726.0
2015-09-07,8.97,9.06,8.97,9.06,4634.0
2015-09-08,9.06,9.06,8.83,9.06,4048.0
2015-09-09,8.97,9.06,8.65,9.06,12271.0
2015-09-10,8.79,9.38,8.79,9.11,20950.0
2015-09-11,9.01,9.06,8.83,8.83,3907.0
2015-09-14,8.83,8.83,8.24,8.56,26411.0
2015-09-15,8.24,8.56,8.02,8.15,25846.0
2015-09-16,8.2,8.7,8.15,8.61,5809.0
2015-09-17,8.33,9.6,7.75,9.51,42297.0
2015-09-18,9.06,9.6,8.83,8.83,21898.0
2015-09-21,8.65,8.88,8.65,8.79,2209.0
2015-09-22,8.7,8.83,8.61,8.61,1032.0
2015-09-23,8.33,8.47,8.06,8.47,11316.0
2015-09-24,8.06,8.15,7.88,7.88,6436.0
2015-09-25,7.88,8.7,7.88,8.7,17279.0
2015-09-28,8.15,9.42,8.15,8.83,23097.0
2015-09-29,8.61,10.42,8.56,9.51,48870.0
2015-09-30,9.74,10.87,9.56,9.88,44936.0
2015-10-01,9.88,9.88,9.06,9.29,17604.0
2015-10-02,8.88,9.15,8.7,9.11,13956.0
2015-10-05,8.74,9.83,8.74,9.01,6553.0
2015-10-06,8.92,9.24,8.92,9.24,6570.0
2015-10-07,9.2,9.24,9.2,9.24,878.0
2015-10-08,8.97,9.15,8.79,9.15,23345.0
2015-10-09,8.79,9.15,8.61,9.11,11728.0
2015-10-12,9.06,9.24,8.83,9.15,4475.0
2015-10-13,9.06,9.06,9.01,9.06,9599.0
2015-10-14,8.88,9.24,8.79,9.15,10339.0
2015-10-15,9.33,9.38,9.01,9.01,10312.0
2015-10-16,9.01,10.06,8.79,10.01,57105.0
2015-10-19,9.97,9.97,9.42,9.83,13069.0
2015-10-20,9.51,10.78,9.42,10.78,23812.0
2015-10-21,10.24,10.6,9.97,10.51,40109.0
2015-10-22,10.33,10.42,10.33,10.42,32391.0
2015-10-23,10.28,10.55,10.24,10.55,8246.0
2015-10-26,10.55,11.64,10.46,10.92,47750.0
2015-10-27,11.42,11.82,11.19,11.51,62151.0
2015-10-28,11.96,12.0,10.69,10.96,54770.0
