Date,Open,High,Low,Close,Volume
2010-01-04,62.4,62.4,61.55,62.4,2395.0
2010-01-05,61.12,62.19,61.12,62.19,127.0
2010-01-07,61.12,61.97,60.48,61.97,13104.0
2010-01-08,61.33,61.33,60.26,60.69,11370.0
2010-01-11,60.69,61.33,59.2,59.62,7533.0
2010-01-12,59.62,59.62,56.85,58.13,6373.0
2010-01-13,57.27,59.41,56.85,59.41,28182.0
2010-01-14,59.41,61.97,59.41,61.55,5740.0
2010-01-15,61.55,61.55,60.69,60.69,3694.0
2010-01-18,59.84,61.55,59.84,61.12,2794.0
2010-01-19,60.69,61.55,59.84,61.55,7370.0
2010-01-20,61.76,61.76,60.91,60.91,124264.0
2010-01-21,61.12,62.4,61.12,62.4,3391.0
2010-01-22,62.4,63.26,62.4,62.4,2528.0
2010-01-25,61.55,62.83,61.12,61.97,106498.0
2010-01-26,61.55,61.97,61.55,61.97,1354.0
2010-01-27,61.12,62.83,61.12,62.83,984.0
2010-01-28,62.83,62.83,61.76,61.76,140.0
2010-01-29,61.97,62.83,61.97,62.83,2530.0
2010-02-01,62.4,62.83,62.4,62.83,765.0
2010-02-02,62.83,64.75,62.83,64.75,3183.0
2010-02-03,64.11,64.11,63.26,63.26,2104.0
2010-02-04,64.97,64.97,60.05,61.97,1158.0
2010-02-05,61.12,62.19,61.12,61.97,1739.0
2010-02-08,61.55,61.55,60.91,60.91,3129.0
2010-02-09,51.29,61.55,51.29,61.55,10020.0
2010-02-10,59.84,60.48,56.85,60.48,1549.0
2010-02-11,61.97,62.19,61.55,61.55,4395.0
2010-02-12,61.55,62.4,61.55,61.55,2143.0
2010-02-15,60.69,65.82,60.69,63.68,5314.0
2010-02-16,64.11,64.33,62.83,63.68,10874.0
2010-02-17,62.83,64.33,62.83,64.33,66421.0
2010-02-18,64.54,66.68,64.54,65.82,112552.0
2010-02-19,67.53,70.95,67.53,70.95,44656.0
2010-02-22,69.45,71.81,69.45,71.81,8921.0
2010-02-23,71.81,71.81,70.74,71.81,3759.0
2010-02-24,70.95,71.16,70.95,71.16,790.0
2010-02-25,70.95,70.95,69.24,70.95,2225.0
2010-02-26,69.03,70.95,69.03,70.95,3120.0
2010-03-01,70.95,71.16,70.95,71.16,421.0
2010-03-02,71.38,71.38,71.38,71.38,50.0
2010-03-03,72.02,72.23,71.81,72.23,1869.0
2010-03-04,71.16,72.23,70.95,72.23,900.0
2010-03-05,70.95,72.23,70.95,72.23,960.0
2010-03-08,72.66,72.87,71.81,72.87,3720.0
2010-03-09,73.09,74.58,72.66,74.58,4547.0
2010-03-10,74.37,74.37,72.87,74.37,509.0
