Date,Open,High,Low,Close,Volume
2010-07-07,5.5,5.5,5.5,5.5,1000.0
2010-07-08,5.5,5.5,5.0,5.5,21000.0
2010-07-09,5.5,5.5,5.5,5.5,5000.0
2010-07-13,5.5,5.5,5.5,5.5,2000.0
2010-07-14,5.5,5.5,5.5,5.5,3000.0
2010-07-15,6.0,7.0,6.0,6.0,11000.0
2010-07-16,6.8,7.75,6.5,6.5,15500.0
2010-07-19,7.0,8.6,7.0,8.5,12100.0
2010-07-20,8.5,8.5,8.5,8.5,3750.0
2010-07-21,9.95,9.95,8.45,9.85,5330.0
2010-07-22,9.75,9.85,8.5,8.7,25500.0
2010-07-23,9.0,9.7,8.5,9.6,22340.0
2010-07-26,9.5,9.5,9.3,9.3,3600.0
2010-07-27,9.2,9.2,8.5,8.5,15095.0
2010-07-28,8.45,8.45,8.0,8.0,5700.0
2010-07-29,8.0,8.0,8.0,8.0,10400.0
2010-07-30,7.95,8.15,7.15,7.15,5100.0
2010-08-02,7.15,7.7,7.15,7.7,15000.0
2010-08-03,7.7,7.7,6.9,6.9,3100.0
2010-08-04,7.5,7.5,6.6,6.6,2500.0
2010-08-05,6.5,6.5,6.5,6.5,2400.0
2010-08-10,7.0,7.0,7.0,7.0,182.0
2010-08-11,7.0,7.1,7.0,7.1,1147.0
2010-08-12,7.0,7.1,7.0,7.1,2500.0
2010-08-13,7.1,7.1,7.1,7.1,845.0
2010-08-16,7.0,7.1,7.0,7.1,1000.0
2010-08-18,7.1,7.4,7.1,7.3,7300.0
2010-08-19,7.35,7.35,7.25,7.25,2000.0
2010-08-20,7.6,7.8,7.5,7.5,10118.0
2010-08-23,7.4,7.5,7.4,7.5,2300.0
2010-08-24,7.5,7.5,7.5,7.5,2700.0
2010-08-25,7.4,7.4,7.35,7.35,3500.0
2010-08-26,7.35,7.35,7.35,7.35,3000.0
2010-08-27,7.5,7.5,7.35,7.35,5050.0
2010-08-30,7.5,7.5,7.1,7.1,2000.0
2010-08-31,7.1,7.1,7.1,7.1,1000.0
2010-09-01,7.1,7.1,7.0,7.0,3372.0
2010-09-02,7.0,7.0,7.0,7.0,600.0
2010-09-06,7.0,7.0,7.0,7.0,700.0
2010-09-07,6.7,7.6,6.7,7.6,8143.0
2010-09-09,6.75,6.75,6.75,6.75,40.0
2010-09-10,6.75,6.75,6.75,6.75,500.0
2010-09-14,6.5,6.5,6.5,6.5,1045.0
2010-09-15,6.5,7.5,6.5,7.5,3455.0
2010-09-16,6.8,6.8,6.8,6.8,360.0
2010-09-20,6.5,6.5,6.5,6.5,10.0
2010-09-21,6.5,6.5,6.5,6.5,560.0
