Date,Open,High,Low,Close,Volume
2014-10-02,-21.22,-21.22,-5.31,-9.9,831375.0
2014-10-03,-11.11,-12.03,-9.94,-10.93,456081.0
2014-10-06,-10.97,-10.97,-9.37,-9.59,148071.0
2014-10-07,-9.52,-9.9,-8.14,-9.73,174552.0
2014-10-08,-8.53,-10.08,-8.53,-10.08,198480.0
2014-10-09,-9.55,-9.55,-8.63,-9.09,64844.0
2014-10-10,-8.84,-9.02,-7.99,-8.67,115130.0
2014-10-13,-8.28,-8.98,-8.28,-8.98,24106.0
2014-10-14,-8.28,-9.06,-7.78,-8.1,79588.0
2014-10-15,-8.1,-8.1,-7.07,-7.22,81617.0
2014-10-16,-7.07,-7.25,-6.19,-7.0,132888.0
2014-10-17,-6.4,-6.54,-6.19,-6.19,41607.0
2014-10-20,-6.54,-6.9,-5.84,-6.15,50494.0
2014-10-21,-6.19,-7.04,-5.94,-7.04,78782.0
2014-10-22,-7.07,-7.07,-5.66,-5.8,118007.0
2014-10-23,-5.84,-5.84,-5.31,-5.55,100291.0
2014-10-24,-5.31,-5.31,-5.2,-5.2,36547.0
2014-10-27,-5.48,-5.48,-5.27,-5.38,52005.0
2014-10-28,-5.16,-5.84,-5.16,-5.77,122193.0
2014-10-29,-5.94,-7.07,-5.94,-6.9,127283.0
2014-10-30,-7.07,-7.43,-6.72,-7.07,90218.0
2014-10-31,-6.54,-6.54,-6.37,-6.37,51058.0
2014-11-03,-6.37,-6.54,-5.38,-5.38,102253.0
2014-11-04,-5.48,-5.48,-5.09,-5.09,117538.0
2014-11-05,-5.31,-5.31,-4.95,-4.95,67621.0
2014-11-06,-4.95,-5.02,-4.6,-4.92,80861.0
2014-11-07,-4.85,-4.85,-4.81,-4.85,23182.0
2014-11-10,-4.92,-5.31,-4.92,-5.2,142931.0
2014-11-11,-5.41,-5.41,-5.13,-5.27,92790.0
2014-11-12,-5.48,-6.01,-5.38,-6.01,145324.0
2014-11-13,-6.54,-6.54,-6.19,-6.23,89051.0
2014-11-14,-6.44,-6.54,-6.15,-6.26,15710.0
2014-11-17,-6.12,-6.12,-5.77,-5.84,82439.0
2014-11-18,-5.84,-6.01,-5.84,-5.94,6157.0
2014-11-19,-5.84,-5.84,-5.48,-5.48,140426.0
2014-11-20,-5.13,-5.66,-5.13,-5.62,236473.0
2014-11-21,-5.84,-5.91,-5.66,-5.66,72660.0
