Date,Open,High,Low,Close,Volume
2014-12-19,7.7,8.0,6.3,6.45,1081501.0
2014-12-22,6.55,6.7,5.8,6.35,538185.0
2014-12-23,6.35,6.5,6.15,6.35,252885.0
2014-12-29,6.3,6.3,5.8,5.8,301241.0
2014-12-30,5.85,6.7,5.8,6.45,267408.0
2015-01-02,6.7,7.0,6.45,6.95,178406.0
2015-01-05,7.0,7.4,7.0,7.3,141472.0
2015-01-07,7.3,7.3,6.95,7.1,155764.0
2015-01-08,7.3,7.3,6.6,7.0,111946.0
2015-01-09,7.0,7.05,6.6,6.7,56771.0
2015-01-12,6.7,6.85,6.55,6.7,60136.0
2015-01-13,6.55,6.7,6.3,6.55,65302.0
2015-01-14,6.55,6.55,5.9,6.4,138007.0
2015-01-15,6.3,6.5,6.0,6.45,68775.0
2015-01-16,6.45,6.45,6.1,6.2,55107.0
2015-01-19,6.2,6.45,6.05,6.3,37936.0
2015-01-20,6.45,6.45,6.25,6.3,20933.0
2015-01-21,6.25,6.25,5.8,6.15,83090.0
2015-01-22,6.15,6.15,5.95,6.05,50754.0
2015-01-23,6.0,6.0,5.65,5.75,135501.0
2015-01-26,5.7,6.6,5.6,6.3,164355.0
2015-01-27,6.2,6.6,6.0,6.05,44426.0
2015-01-28,6.15,6.15,5.9,6.05,21684.0
2015-01-29,6.0,6.35,5.9,6.2,22825.0
2015-01-30,6.4,6.4,5.95,6.15,60974.0
2015-02-02,6.15,6.2,5.85,6.0,57297.0
2015-02-03,6.0,6.0,5.75,5.95,44803.0
2015-02-04,5.8,6.1,5.5,5.75,94449.0
2015-02-05,6.0,6.0,5.2,5.65,116230.0
2015-02-06,5.65,5.75,5.2,5.5,68434.0
2015-02-09,5.4,5.4,5.05,5.1,121013.0
2015-02-10,5.2,5.45,5.15,5.2,68224.0
2015-02-11,5.2,5.45,5.15,5.4,25047.0
2015-02-12,5.4,5.6,5.4,5.6,43817.0
2015-02-13,5.6,5.75,5.5,5.75,28446.0
2015-02-16,5.75,5.95,5.55,5.9,52512.0
2015-02-17,5.9,5.95,5.65,5.95,35155.0
2015-02-18,5.95,5.95,5.55,5.85,36869.0
2015-02-19,5.9,5.95,5.7,5.85,19185.0
2015-02-20,5.8,5.95,5.65,5.65,24168.0
2015-02-23,5.6,5.9,5.6,5.75,30796.0
2015-02-24,5.6,5.8,5.5,5.6,27132.0
2015-02-25,5.6,5.8,5.45,5.7,38632.0
2015-02-26,5.75,5.8,5.65,5.75,25454.0
2015-02-27,5.75,5.95,5.7,5.95,47404.0
2015-03-02,5.95,5.95,5.75,5.95,39943.0
2015-03-03,5.95,5.95,5.7,5.9,21524.0
2015-03-04,5.9,5.9,5.5,5.85,16288.0
2015-03-05,5.85,5.95,5.8,5.85,16873.0
2015-03-06,5.95,6.2,5.95,6.15,40699.0
2015-03-09,6.2,6.2,5.85,6.05,23434.0
2015-03-10,6.1,6.1,5.85,6.0,10440.0
2015-03-11,5.95,6.15,5.7,6.1,23158.0
2015-03-12,6.1,6.1,5.8,6.05,5176.0
2015-03-13,5.95,6.1,5.85,6.1,15614.0
2015-03-16,6.2,6.7,6.15,6.4,383569.0
2015-03-17,6.4,6.5,6.0,6.1,49790.0
2015-03-18,6.05,6.25,6.05,6.25,56518.0
2015-03-19,6.25,6.3,6.1,6.15,49480.0
2015-03-20,6.15,6.2,6.0,6.05,44548.0
2015-03-23,6.05,6.15,5.95,6.1,24631.0
2015-03-24,6.1,6.4,6.1,6.4,54826.0
2015-03-25,6.3,6.5,6.3,6.4,26287.0
2015-03-26,6.25,6.35,6.15,6.35,19650.0
2015-03-27,6.35,6.45,6.15,6.4,22217.0
2015-03-30,6.2,6.4,6.2,6.3,18755.0
2015-03-31,6.2,6.3,6.05,6.3,8703.0
2015-04-01,6.3,6.3,6.1,6.3,14809.0
2015-04-02,6.3,6.35,6.1,6.35,8404.0
2015-04-07,6.35,6.35,6.1,6.25,33962.0
2015-04-08,6.25,6.3,5.9,6.3,76864.0
2015-04-09,6.3,6.3,5.9,6.1,16331.0
2015-04-10,6.15,6.15,5.7,6.0,22620.0
2015-04-13,6.1,6.7,6.0,6.3,170816.0
2015-04-14,6.35,6.4,6.2,6.4,56820.0
2015-04-15,6.35,6.45,6.2,6.2,48975.0
2015-04-16,6.4,6.4,6.2,6.4,21607.0
2015-04-17,6.4,6.45,6.3,6.3,57499.0
2015-04-20,6.4,6.4,6.1,6.2,19922.0
2015-04-21,6.35,6.4,5.85,5.95,59925.0
2015-04-22,5.9,5.95,5.7,5.85,19920.0
2015-04-23,5.85,5.95,5.6,5.95,48691.0
2015-04-24,6.0,6.0,5.8,6.0,5650.0
2015-04-27,6.0,6.05,5.85,6.05,26656.0
2015-04-28,6.0,6.2,5.95,6.1,24217.0
2015-04-29,6.1,6.25,5.75,5.95,44526.0
2015-04-30,5.9,6.05,5.6,5.95,7694.0
2015-05-04,5.95,6.0,5.25,5.65,51286.0
2015-05-05,5.95,5.95,5.4,5.6,40092.0
2015-05-06,5.45,5.7,5.3,5.6,42547.0
2015-05-07,5.6,5.6,5.2,5.3,33486.0
2015-05-08,5.3,5.5,5.25,5.3,25799.0
2015-05-11,5.7,5.7,5.0,5.2,84469.0
2015-05-12,5.35,5.35,4.88,5.25,110540.0
2015-05-13,5.05,5.35,5.05,5.35,12745.0
2015-05-15,5.2,5.2,4.9,4.95,111556.0
