Date,Open,High,Low,Close,Volume
2014-09-26,4.1,4.1,4.1,4.1,2293.0
2014-09-29,4.1,4.1,4.1,4.1,0.0
2014-10-02,3.7,3.7,3.7,3.7,500.0
2014-10-03,3.7,3.7,3.7,3.7,0.0
2014-10-08,3.9,3.9,3.52,3.55,10170.0
2014-10-09,3.55,3.55,3.55,3.55,0.0
2014-10-13,3.65,3.65,3.65,3.65,2000.0
2014-10-14,3.65,3.65,3.65,3.65,0.0
2014-10-15,4.07,4.07,4.07,4.07,125.0
2014-10-16,4.07,4.07,4.07,4.07,0.0
2014-10-20,3.85,4.09,3.8,3.8,7000.0
2014-10-21,4.1,4.16,4.1,4.16,7000.0
2014-10-22,4.16,4.16,4.16,4.16,0.0
2014-10-23,4.25,4.25,4.25,4.25,500.0
2014-10-24,3.77,3.77,3.77,3.77,1000.0
2014-10-27,3.9,3.9,3.9,3.9,1500.0
2014-10-28,3.9,3.9,3.9,3.9,0.0
2014-10-30,3.74,3.74,3.74,3.74,363.0
2014-10-31,3.74,3.74,3.74,3.74,0.0
2014-11-04,4.0,4.0,4.0,4.0,1620.0
2014-11-05,4.0,4.0,4.0,4.0,0.0
2014-11-07,3.85,4.0,3.85,3.91,4293.0
2014-11-10,3.91,3.91,3.91,3.91,0.0
2014-11-13,3.5,3.5,3.5,3.5,32.0
2014-11-14,3.8,4.0,3.8,4.0,1666.0
2014-11-17,4.2,4.2,3.6,3.61,5250.0
2014-11-18,3.6,3.6,3.5,3.5,3104.0
2014-11-19,3.5,3.5,3.5,3.5,0.0
2014-11-20,3.5,3.5,3.5,3.5,100.0
2014-11-24,4.0,4.0,4.0,4.0,1150.0
2014-11-25,4.0,4.0,4.0,4.0,1000.0
2014-11-26,4.0,4.0,3.6,3.6,4000.0
2014-11-27,3.61,3.61,3.61,3.61,50.0
2014-11-28,3.61,3.61,3.61,3.61,0.0
2014-12-02,4.0,4.2,3.8,4.2,30856.0
2014-12-03,4.2,4.2,3.8,3.8,4540.0
2014-12-04,3.81,3.81,3.81,3.81,496.0
2014-12-05,3.81,3.81,3.81,3.81,0.0
2014-12-08,3.81,3.81,3.81,3.81,1464.0
2014-12-09,3.6,3.6,3.6,3.6,2364.0
2014-12-10,3.6,3.6,3.6,3.6,0.0
2014-12-11,3.63,3.63,3.61,3.61,2700.0
2014-12-12,3.61,3.89,3.6,3.89,3636.0
2014-12-15,3.61,3.61,3.51,3.51,2668.0
2014-12-16,3.51,3.51,3.51,3.51,0.0
2014-12-18,3.53,3.53,3.52,3.52,1500.0
2014-12-19,3.74,3.75,3.58,3.58,5600.0
2014-12-22,3.6,3.6,3.6,3.6,2000.0
2014-12-23,3.8,4.5,3.61,4.5,11906.0
2014-12-29,4.49,4.49,3.42,4.4,5362.0
2014-12-30,4.4,4.4,4.4,4.4,736.0
2015-01-02,4.25,4.25,4.25,4.25,35.0
2015-01-05,4.25,4.25,4.25,4.25,0.0
2015-01-08,4.25,4.25,4.25,4.25,71.0
2015-01-09,4.35,4.5,4.35,4.5,1929.0
2015-01-12,3.98,3.98,3.98,3.98,20.0
2015-01-13,3.98,3.98,3.98,3.98,0.0
2015-01-16,3.8,3.8,3.8,3.8,23.0
2015-01-19,3.8,3.8,3.8,3.8,50.0
2015-01-20,3.89,4.29,3.8,4.29,10192.0
2015-01-21,3.61,3.61,3.61,3.61,4000.0
2015-01-30,3.8,3.8,3.8,3.8,1000.0
2015-02-02,3.8,3.8,3.8,3.8,0.0
2015-02-11,3.75,3.8,3.75,3.8,1519.0
2015-02-13,3.9,3.9,3.85,3.85,950.0
2015-02-16,3.85,3.85,3.85,3.85,0.0
2015-02-17,3.75,3.85,3.75,3.85,1257.0
2015-02-24,3.8,3.8,3.8,3.8,1507.0
2015-02-25,3.8,4.2,3.8,4.2,14769.0
2015-02-26,4.2,4.2,4.2,4.2,1910.0
2015-02-27,5.5,5.5,4.15,4.15,9501.0
2015-03-02,4.1,4.1,3.99,4.0,17536.0
2015-03-03,4.99,4.99,3.71,4.04,3964.0
2015-03-04,4.04,4.67,3.7,4.66,4604.0
2015-03-05,4.49,4.5,4.35,4.35,3614.0
2015-03-06,4.35,4.35,4.35,4.35,100.0
2015-03-09,4.35,4.35,4.35,4.35,0.0
2015-03-10,3.71,4.04,3.71,4.04,309.0
2015-03-11,4.04,4.04,4.04,4.04,781.0
2015-03-12,3.83,3.83,3.83,3.83,400.0
2015-03-13,3.83,3.83,3.83,3.83,0.0
2015-03-16,3.82,3.82,3.82,3.82,332028.0
2015-03-17,3.82,3.82,3.82,3.82,0.0
2015-03-18,3.85,3.85,3.85,3.85,3000.0
2015-03-20,3.83,3.83,3.83,3.83,2217.0
2015-03-23,3.83,3.83,3.82,3.82,1179.0
2015-03-24,3.83,3.83,3.82,3.82,3080.0
2015-03-25,3.82,3.82,3.82,3.82,76.0
2015-03-26,3.82,3.82,3.82,3.82,50.0
2015-03-30,4.59,4.59,3.82,4.59,804.0
2015-03-31,4.0,4.0,3.82,3.95,1266.0
2015-04-01,4.09,4.1,4.09,4.1,6369.0
2015-04-07,3.62,4.59,3.62,4.59,204.0
2015-04-08,4.1,4.1,4.1,4.1,10.0
2015-04-10,3.76,4.59,3.76,4.59,29.0
2015-04-13,3.83,3.83,3.83,3.83,160.0
2015-04-14,3.8,3.8,3.8,3.8,10.0
2015-04-15,3.63,3.63,3.63,3.63,100.0
2015-04-16,3.79,3.79,3.79,3.79,67.0
2015-04-17,3.79,3.79,3.79,3.79,0.0
2015-04-20,4.2,4.2,3.76,3.76,4763.0
2015-04-21,3.76,3.76,3.76,3.76,70.0
2015-04-22,3.76,3.76,3.76,3.76,0.0
2015-04-29,4.0,4.0,4.0,4.0,9969.0
2015-05-04,3.76,3.76,3.76,3.76,100.0
2015-05-05,3.77,3.83,3.76,3.76,5270.0
2015-05-06,3.81,3.9,3.76,3.76,23125.0
2015-05-08,3.57,3.75,3.57,3.75,4575.0
2015-05-11,3.75,3.75,3.75,3.75,0.0
2015-05-19,3.4,3.66,3.33,3.66,27075.0
2015-05-20,3.66,3.66,3.66,3.66,0.0
2015-05-21,3.5,3.5,3.48,3.48,400.0
2015-05-22,3.48,3.48,3.48,3.48,0.0
2015-05-25,4.0,4.0,4.0,4.0,5950.0
2015-05-26,4.0,4.0,4.0,4.0,5450.0
2015-05-27,3.75,4.0,3.75,4.0,10000.0
2015-05-29,3.84,3.84,3.84,3.84,1000.0
2015-06-01,3.71,3.8,3.49,3.7,61937.0
2015-06-02,3.81,3.81,3.8,3.8,3494.0
