Date,Open,High,Low,Close,Volume
2018-06-19,44.43,44.43,43.5,43.5,777796.0
2018-06-20,43.5,43.96,43.5,43.61,150363.0
2018-06-21,43.61,43.73,43.5,43.5,77277.0
2018-06-22,43.5,43.5,43.5,43.5,0.0
2018-06-25,43.5,43.69,43.5,43.5,26423.0
2018-06-26,43.5,43.54,43.36,43.53,250486.0
2018-06-27,43.53,45.81,43.5,45.81,35258.0
2018-06-28,45.91,46.74,44.43,46.74,12664.0
2018-06-29,46.74,47.02,45.35,46.65,64598.0
2018-07-02,46.65,46.74,44.43,44.89,6943.0
2018-07-03,44.24,46.51,44.24,46.51,6923.0
2018-07-04,46.51,46.51,44.89,46.51,2936.0
2018-07-05,46.51,46.51,44.43,46.28,11496.0
2018-07-06,46.28,46.28,45.81,46.02,106776.0
2018-07-09,45.82,46.23,45.81,46.23,3693.0
2018-07-10,46.23,46.23,45.81,45.81,3650.0
2018-07-11,45.81,46.05,45.26,45.81,37641.0
2018-07-12,45.81,45.81,44.43,44.5,4415.0
2018-07-13,44.57,45.72,44.43,44.43,2124.0
2018-07-16,44.43,44.43,43.96,44.01,1916.0
2018-07-17,43.79,44.88,43.79,44.31,2787.0
2018-07-18,44.31,44.43,43.96,44.08,2798.0
2018-07-19,43.98,44.43,43.5,43.96,41384.0
2018-07-20,44.43,44.43,43.54,44.16,4336.0
2018-07-23,44.16,44.98,43.73,44.55,3910.0
2018-07-24,44.55,44.55,43.69,44.54,4002.0
2018-07-25,43.78,44.43,43.73,44.42,4639.0
2018-07-26,43.78,44.43,43.5,44.41,6083.0
2018-07-27,44.32,44.41,43.5,44.2,4059.0
2018-07-30,44.43,44.43,43.5,44.25,10377.0
2018-07-31,43.51,44.24,43.51,43.96,1673.0
2018-08-01,44.24,44.24,43.5,43.96,727.0
2018-08-02,43.96,44.06,43.87,43.87,1236.0
2018-08-03,43.69,43.96,43.5,43.69,1105.0
2018-08-06,44.17,44.17,43.69,44.15,5224.0
2018-08-07,43.74,44.15,43.69,43.95,2136.0
2018-08-08,44.07,44.07,43.5,43.78,27093.0
2018-08-09,43.78,43.78,43.5,43.78,153738.0
2018-08-10,43.55,43.73,43.55,43.73,1553.0
2018-08-13,43.5,43.91,41.65,43.04,2514.0
2018-08-14,43.04,43.04,41.65,42.57,1188.0
2018-08-15,44.11,44.68,43.96,43.96,31483.0
2018-08-16,44.71,45.35,43.96,43.96,23594.0
2018-08-17,43.96,43.96,43.73,43.73,12398.0
2018-08-20,43.74,44.42,43.74,43.96,11744.0
2018-08-21,44.43,48.13,44.43,44.44,37528.0
2018-08-22,44.89,45.35,44.43,44.53,6582.0
2018-08-23,44.53,44.88,44.0,44.54,7278.0
2018-08-24,44.43,44.5,44.06,44.42,4676.0
2018-08-27,44.42,44.42,43.5,43.5,7013.0
2018-08-28,43.5,44.8,43.5,44.33,111207.0
2018-08-29,44.32,44.32,43.5,43.78,3204.0
2018-08-30,43.87,43.96,43.32,43.32,7040.0
2018-08-31,43.04,43.87,42.57,43.87,9694.0
2018-09-03,43.85,43.85,43.04,43.32,8836.0
2018-09-04,43.13,43.68,43.13,43.68,2862.0
