Date,Open,High,Low,Close,Volume
2011-04-07,9.61,15.46,9.61,13.62,50082.0
2011-04-08,13.62,14.1,12.01,12.5,16424.0
2011-04-11,12.01,12.98,11.61,12.42,9445.0
2011-04-12,12.01,12.01,11.33,11.81,4599.0
2011-04-13,11.61,11.61,11.09,11.09,2848.0
2011-04-14,11.05,11.85,10.81,11.37,25823.0
2011-04-15,11.53,11.53,11.21,11.21,11075.0
2011-04-18,11.61,13.22,11.21,13.22,18314.0
2011-04-19,13.06,13.06,12.82,12.82,1427.0
2011-04-20,12.42,12.42,12.42,12.42,1271.0
2011-04-21,12.01,12.58,12.01,12.58,6345.0
2011-04-26,12.58,12.98,12.58,12.98,4894.0
2011-04-27,13.38,13.54,13.3,13.54,2712.0
2011-04-28,13.54,13.54,12.82,13.38,4295.0
2011-04-29,13.78,14.98,13.78,14.98,8181.0
2011-05-02,14.9,14.9,14.42,14.42,2873.0
2011-05-04,14.58,14.58,14.58,14.58,20.0
2011-05-05,14.26,14.26,14.18,14.18,1248.0
2011-05-06,14.02,14.02,12.66,12.82,13551.0
2011-05-09,12.82,12.82,12.82,12.82,1125.0
2011-05-10,12.82,12.82,12.74,12.74,4194.0
2011-05-11,12.26,12.5,11.61,12.5,9934.0
2011-05-12,12.42,12.5,12.34,12.5,6038.0
2011-05-13,12.58,12.58,12.5,12.5,809.0
2011-05-16,12.09,12.26,12.09,12.26,3533.0
2011-05-17,12.5,12.5,12.42,12.42,5343.0
2011-05-18,12.42,12.58,12.42,12.42,6016.0
2011-05-19,12.58,13.22,12.58,13.22,1798.0
2011-05-20,12.98,13.3,12.98,13.3,1854.0
2011-05-23,13.22,13.22,12.82,12.82,2482.0
2011-05-24,12.82,13.22,12.82,13.22,5206.0
2011-05-25,13.14,13.22,12.9,13.22,999.0
2011-05-26,13.2,13.44,13.11,13.44,13128.0
2011-05-27,13.28,13.52,13.11,13.52,22081.0
2011-05-30,12.7,12.87,12.7,12.87,1525.0
2011-05-31,12.7,12.7,12.29,12.62,972.0
2011-06-01,12.38,12.7,12.38,12.7,914.0
2011-06-03,12.38,12.62,12.38,12.62,1730.0
2011-06-07,12.54,12.7,12.05,12.7,22446.0
2011-06-08,12.29,12.46,12.29,12.29,9345.0
2011-06-09,12.46,12.46,12.46,12.46,4821.0
2011-06-10,12.46,12.54,12.38,12.54,1724.0
2011-06-13,12.38,12.62,12.29,12.62,2135.0
2011-06-14,12.62,12.62,12.17,12.17,1966.0
2011-06-15,13.11,13.11,12.46,12.46,5002.0
2011-06-16,12.38,12.38,12.09,12.29,3200.0
2011-06-17,12.38,12.38,11.6,11.97,1801.0
2011-06-20,11.6,12.05,11.6,12.05,2196.0
2011-06-21,11.88,12.54,11.88,12.54,10701.0
2011-06-22,12.62,12.7,11.47,11.47,12674.0
2011-06-23,11.76,11.88,11.47,11.47,3948.0
2011-06-27,11.27,11.27,11.27,11.27,622.0
2011-06-28,10.98,11.39,10.98,11.39,124.0
2011-06-29,10.98,10.98,10.98,10.98,142.0
2011-07-07,10.65,10.65,10.65,10.65,949.0
2011-07-08,10.65,10.65,10.65,10.65,404.0
2011-07-11,10.33,10.33,10.33,10.33,731.0
2011-07-12,10.12,10.12,10.08,10.08,1292.0
2011-07-14,10.08,10.25,10.08,10.25,1556.0
2011-07-15,9.84,9.92,9.84,9.92,1342.0
2011-07-18,9.92,9.92,9.92,9.92,2562.0
2011-07-20,9.84,9.92,9.84,9.92,172.0
2011-07-21,9.63,9.63,9.02,9.43,5572.0
2011-07-22,9.51,9.51,9.51,9.51,1203.0
2011-07-25,9.02,9.02,9.02,9.02,3965.0
2011-07-26,8.61,9.02,8.61,8.81,7062.0
2011-07-27,9.1,9.1,9.02,9.02,3782.0
2011-07-28,9.02,9.02,9.02,9.02,1080.0
2011-07-29,9.02,9.02,9.02,9.02,1220.0
2011-08-01,9.02,9.02,9.02,9.02,1701.0
2011-08-02,9.02,9.02,9.02,9.02,3314.0
2011-08-03,9.02,9.02,9.02,9.02,1399.0
2011-08-04,8.93,8.93,8.16,8.16,2646.0
2011-08-05,7.17,7.7,6.72,7.7,9988.0
2011-08-08,6.88,6.97,6.88,6.97,4180.0
2011-08-09,6.72,7.5,6.31,7.46,15083.0
2011-08-10,7.38,7.38,7.29,7.29,4891.0
2011-08-11,7.09,7.09,6.84,6.84,2267.0
2011-08-12,7.09,7.09,7.09,7.09,155.0
2011-08-15,6.8,6.8,6.8,6.8,938.0
2011-08-16,6.56,6.72,6.56,6.72,1049.0
2011-08-17,6.56,6.56,6.56,6.56,55636.0
2011-08-18,6.56,6.56,6.56,6.56,122.0
2011-08-19,6.15,6.15,6.15,6.15,1952.0
2011-08-22,5.94,5.94,5.94,5.94,107.0
2011-08-23,6.19,6.52,6.19,6.52,3580.0
2011-08-24,6.19,6.35,6.19,6.35,2744.0
2011-08-25,6.47,6.47,6.47,6.47,2440.0
2011-08-26,6.43,6.43,6.43,6.43,1220.0
2011-08-29,6.23,6.23,6.23,6.23,397.0
2011-08-30,6.35,6.76,6.35,6.76,3377.0
2011-08-31,6.68,6.8,6.43,6.8,4602.0
2011-09-01,6.97,6.97,6.97,6.97,183.0
2011-09-02,7.01,7.17,7.01,7.17,3660.0
2011-09-05,6.97,6.97,6.88,6.88,1796.0
2011-09-06,6.88,6.97,6.88,6.97,1220.0
2011-09-07,6.76,6.76,6.76,6.76,598.0
2011-09-09,6.68,6.68,6.6,6.6,10156.0
2011-09-12,6.35,6.35,6.35,6.35,128.0
2011-09-14,6.15,6.23,6.15,6.23,3807.0
2011-09-15,6.23,6.35,6.23,6.35,3746.0
2011-09-19,6.27,6.43,6.27,6.43,5368.0
2011-09-20,6.43,6.56,6.43,6.43,8539.0
2011-09-21,6.43,6.43,6.43,6.43,293.0
2011-09-22,6.31,6.31,6.31,6.31,2440.0
2011-09-26,6.35,6.35,6.35,6.35,769.0
2011-09-27,6.23,6.39,6.23,6.39,1674.0
2011-09-28,6.23,6.23,6.23,6.23,610.0
2011-09-29,6.72,7.87,6.72,7.87,25353.0
2011-09-30,7.87,9.55,7.87,9.1,12262.0
2011-10-03,9.1,9.1,8.61,8.97,8393.0
2011-10-04,9.02,9.02,8.97,8.97,500.0
2011-10-05,8.93,8.97,8.44,8.44,4417.0
2011-10-06,8.85,11.47,8.85,9.84,3965.0
2011-10-07,9.96,10.33,9.96,10.33,3764.0
2011-10-10,10.25,10.25,10.08,10.12,1429.0
2011-10-11,10.08,10.12,10.08,10.12,793.0
2011-10-12,10.2,10.2,10.2,10.2,1232.0
2011-10-13,10.33,11.23,10.33,10.9,4185.0
2011-10-14,10.9,11.43,10.9,11.43,4756.0
2011-10-17,11.06,11.43,10.57,10.98,8968.0
2011-10-18,10.41,10.82,10.25,10.65,2282.0
2011-10-19,10.65,10.65,9.84,10.2,4545.0
2011-10-20,9.67,10.04,9.67,10.04,1830.0
2011-10-21,9.84,9.84,9.02,9.3,4322.0
2011-10-24,9.26,9.26,8.85,8.93,3831.0
2011-10-25,8.73,8.73,8.73,8.73,3355.0
2011-10-26,8.48,8.48,8.2,8.48,3136.0
2011-10-27,7.95,8.2,7.62,8.2,9895.0
2011-10-28,7.79,7.79,7.58,7.75,969.0
2011-10-31,7.75,7.75,7.62,7.75,1659.0
2011-11-02,7.62,7.75,7.38,7.75,10976.0
2011-11-03,7.75,7.75,7.75,7.75,6100.0
2011-11-04,7.75,7.75,7.75,7.75,205.0
2011-11-07,7.75,7.75,7.58,7.62,3380.0
2011-11-10,7.38,7.38,7.38,7.38,2164.0
2011-11-11,7.46,7.75,7.38,7.75,3397.0
2011-11-15,7.25,7.54,7.25,7.54,229.0
2011-11-16,7.42,7.42,7.42,7.42,488.0
2011-11-17,7.42,7.42,7.42,7.42,0.0
2011-11-18,7.17,7.17,7.17,7.17,2440.0
2011-11-21,7.46,7.46,7.38,7.38,5734.0
2011-11-22,7.38,7.38,7.38,7.38,17.0
2011-11-23,7.38,7.38,7.21,7.38,1582.0
2011-11-24,7.21,7.21,7.21,7.21,171.0
2011-11-25,7.13,7.25,7.13,7.25,883.0
2011-11-28,7.13,7.13,6.88,7.13,8327.0
2011-11-29,6.8,7.13,6.8,7.13,4972.0
2011-11-30,6.76,6.76,6.64,6.64,1121.0
2011-12-01,6.52,6.6,6.52,6.6,305.0
2011-12-02,6.52,6.97,6.52,6.64,5122.0
2011-12-05,6.97,6.97,6.72,6.72,4973.0
2011-12-06,6.72,6.97,6.52,6.97,14363.0
2011-12-07,6.76,6.76,6.52,6.52,5744.0
2011-12-08,6.56,6.76,6.56,6.76,5862.0
2011-12-09,6.68,6.68,6.56,6.56,1046.0
2011-12-12,6.56,6.56,6.23,6.23,12201.0
2011-12-13,6.23,6.8,6.23,6.64,26476.0
2011-12-14,6.64,6.64,6.64,6.64,0.0
2011-12-15,6.8,6.97,6.8,6.8,6784.0
2011-12-16,6.84,7.05,6.84,7.05,2465.0
2011-12-19,7.01,7.05,7.01,7.05,7931.0
2011-12-20,7.05,7.21,6.88,7.21,23366.0
2011-12-21,6.97,7.09,6.97,7.09,221.0
