Date,Open,High,Low,Close,Volume
2010-01-04,17.41,17.41,17.14,17.14,3906.0
2010-01-05,17.14,17.23,17.14,17.23,3431.0
2010-01-07,17.14,17.14,16.78,17.05,18115.0
2010-01-08,17.14,17.14,16.87,17.14,16402.0
2010-01-11,17.05,17.41,17.05,17.05,14087.0
2010-01-12,17.14,17.14,16.78,17.14,7950.0
2010-01-13,17.05,17.05,17.05,17.05,2800.0
2010-01-14,17.05,17.05,16.6,16.96,10400.0
2010-01-15,16.6,16.96,16.6,16.96,14511.0
2010-01-18,17.05,17.05,17.05,17.05,3650.0
2010-01-19,16.96,17.05,16.69,17.05,18846.0
2010-01-20,17.05,17.05,17.05,17.05,800.0
2010-01-21,16.69,16.96,16.69,16.96,2510.0
2010-01-22,16.96,16.96,16.69,16.69,0.0
2010-01-25,16.69,16.87,16.42,16.87,7160.0
2010-01-26,16.87,16.87,16.78,16.87,3605.0
2010-01-27,16.87,17.5,16.87,17.14,14500.0
2010-01-28,17.14,17.14,16.87,17.05,2625.0
2010-01-29,16.87,17.14,16.87,17.14,5632.0
2010-02-01,17.14,17.14,16.6,17.14,2490.0
2010-02-02,17.23,17.59,17.23,17.5,27449.0
2010-02-03,17.5,17.59,17.41,17.59,5741.0
2010-02-04,17.68,17.77,17.59,17.77,15960.0
2010-02-05,16.87,16.87,16.24,16.87,20196.0
2010-02-08,16.33,16.33,16.15,16.15,6700.0
2010-02-09,16.15,16.15,15.79,16.06,5700.0
2010-02-10,15.33,15.88,15.33,15.79,2788.0
2010-02-11,15.42,15.6,15.42,15.51,4050.0
2010-02-12,15.06,15.51,14.88,14.88,12015.0
2010-02-15,14.79,15.15,14.79,15.15,2500.0
2010-02-16,15.15,15.15,14.61,14.61,9362.0
2010-02-17,14.61,14.88,14.52,14.52,260478.0
2010-02-18,14.52,14.88,14.43,14.43,2540.0
2010-02-19,14.97,15.79,14.88,15.51,19401.0
2010-02-22,15.69,15.69,14.88,15.24,14198.0
2010-02-23,15.15,15.15,15.15,15.15,1000.0
2010-02-24,15.15,15.24,14.79,15.06,10149.0
2010-02-25,14.88,15.33,14.88,15.33,5270.0
2010-02-26,14.79,14.88,14.43,14.88,6334.0
2010-03-01,14.88,14.88,14.61,14.88,9441.0
2010-03-02,14.88,14.97,14.7,14.97,3100.0
2010-03-03,15.15,15.33,15.15,15.24,11409.0
2010-03-04,15.33,15.51,15.33,15.51,5023.0
2010-03-05,15.51,15.79,15.42,15.79,2700.0
2010-03-08,15.97,16.06,15.97,16.06,3800.0
2010-03-09,16.33,16.78,15.79,15.79,16060.0
2010-03-10,15.42,15.79,15.33,15.6,5570.0
2010-03-11,15.42,15.88,15.42,15.88,1875.0
2010-03-12,15.69,16.24,15.69,16.24,7700.0
2010-03-15,16.24,16.24,16.24,16.24,247.0
2010-03-16,16.24,16.24,16.24,16.24,4743.0
2010-03-17,16.24,16.51,16.24,16.51,3000.0
2010-03-18,16.6,16.69,16.6,16.69,4299.0
2010-03-19,16.69,16.69,16.69,16.69,1200.0
2010-03-22,16.6,16.6,16.42,16.42,3148.0
2010-03-23,16.42,16.42,16.24,16.24,2500.0
2010-03-24,16.24,16.6,16.24,16.6,2361.0
2010-03-25,16.6,16.78,16.6,16.78,5444.0
2010-03-26,16.78,16.78,16.6,16.78,3123.0
2010-03-29,16.6,16.96,16.6,16.96,1400.0
2010-03-30,16.96,16.96,16.51,16.51,0.0
2010-03-31,16.96,16.96,16.6,16.6,2000.0
2010-04-01,16.24,16.78,16.24,16.78,12341.0
2010-04-06,16.69,16.87,16.42,16.6,5120.0
2010-04-07,16.51,16.6,16.42,16.6,2200.0
2010-04-08,16.96,17.14,16.69,16.87,13459.0
2010-04-09,16.6,17.14,16.6,17.14,730.0
2010-04-12,16.69,16.87,16.6,16.87,9336.0
2010-04-13,16.69,16.69,16.69,16.69,700.0
2010-04-14,17.14,17.23,17.14,17.23,2900.0
2010-04-15,17.5,17.86,17.5,17.5,12500.0
2010-04-16,17.5,17.95,17.5,17.95,13795.0
2010-04-19,17.14,17.14,17.05,17.05,3328.0
2010-04-20,17.14,17.32,17.14,17.32,4500.0
2010-04-21,17.32,18.04,17.32,18.04,10105.0
2010-04-22,17.59,18.22,17.59,17.59,3672.0
2010-04-23,17.59,17.59,17.59,17.59,3000.0
2010-04-26,18.04,18.04,17.77,17.77,4535.0
2010-04-27,18.04,18.04,17.14,17.68,6561.0
2010-04-28,17.14,17.68,17.14,17.32,3927.0
2010-04-29,17.14,17.59,17.14,17.59,6490.0
2010-04-30,18.49,19.93,18.49,19.39,65318.0
2010-05-03,19.39,19.57,19.39,19.57,3890.0
2010-05-04,19.39,19.39,18.67,18.76,16035.0
2010-05-05,18.31,18.76,18.04,18.04,13150.0
2010-05-06,17.95,18.94,17.59,18.67,20222.0
2010-05-07,17.86,18.58,16.69,17.95,39950.0
2010-05-10,18.13,18.94,18.04,18.94,12040.0
2010-05-11,18.49,18.49,18.04,18.04,2200.0
2010-05-12,18.76,18.76,18.4,18.76,1300.0
2010-05-14,18.49,18.94,18.49,18.94,1200.0
2010-05-17,18.85,18.85,18.31,18.58,3649.0
2010-05-18,18.76,18.76,18.76,18.76,500.0
2010-05-19,18.67,18.67,18.04,18.04,0.0
2010-05-20,17.86,18.49,17.86,18.4,5080.0
2010-05-21,17.95,18.13,17.5,18.13,6750.0
2010-05-24,18.13,18.58,18.04,18.49,1150.0
2010-05-25,18.04,18.04,17.77,17.77,17162.0
2010-05-26,18.13,18.49,18.13,18.4,5969.0
2010-05-27,18.04,18.58,18.04,18.58,7550.0
2010-05-28,18.22,18.76,18.22,18.58,10193.0
2010-05-31,18.94,19.21,18.31,19.12,5643.0
2010-06-01,18.49,18.85,18.49,18.85,1710.0
2010-06-02,18.76,18.85,18.58,18.85,2300.0
2010-06-03,18.94,19.3,18.94,19.3,16850.0
2010-06-04,19.21,19.66,18.85,19.3,13850.0
2010-06-07,18.31,19.3,18.31,19.3,3584.0
2010-06-08,19.21,19.21,18.76,18.76,0.0
2010-06-09,19.39,19.66,18.67,19.66,4100.0
2010-06-10,19.48,19.66,19.39,19.66,10025.0
2010-06-11,19.12,19.66,19.12,19.66,3500.0
2010-06-14,19.66,20.3,19.66,20.2,24269.0
2010-06-15,19.84,20.2,19.84,20.2,6845.0
2010-06-16,19.93,19.93,19.93,19.93,500.0
2010-06-17,19.84,20.11,19.84,20.11,500.0
2010-06-18,20.11,20.11,19.48,19.84,1550.0
2010-06-21,19.84,20.02,19.84,19.84,1080.0
2010-06-22,19.21,19.48,19.21,19.39,2900.0
2010-06-23,19.21,19.48,18.85,19.48,3200.0
2010-06-24,19.66,19.75,19.66,19.66,8475.0
2010-06-28,19.39,19.84,19.39,19.66,2400.0
2010-06-29,19.12,19.57,19.12,19.57,241.0
2010-06-30,19.39,19.39,18.76,18.76,0.0
2010-07-01,19.39,19.39,19.39,19.39,6.0
2010-07-02,19.3,19.39,19.3,19.39,600.0
2010-07-05,18.67,19.12,18.49,19.12,900.0
2010-07-06,18.94,19.39,18.94,19.39,1050.0
2010-07-07,18.67,19.39,18.4,18.94,13116.0
