Date,Open,High,Low,Close,Volume
2009-12-03,4.04,4.19,4.04,4.12,422376.0
2009-12-04,4.04,4.12,3.96,4.04,542269.0
2009-12-07,4.04,4.12,3.96,4.04,243479.0
2009-12-08,3.96,4.04,3.96,4.04,487370.0
2009-12-09,4.04,4.04,3.8,3.88,664392.0
2009-12-10,3.88,4.12,3.72,3.8,2738252.0
2009-12-11,3.8,3.8,3.64,3.72,775984.0
2009-12-14,3.88,3.96,3.8,3.96,1204724.0
2009-12-15,3.96,4.04,3.8,3.88,551839.0
2009-12-16,3.8,3.88,3.8,3.88,261728.0
2009-12-17,3.88,3.88,3.72,3.8,912763.0
2009-12-18,3.8,3.88,3.72,3.72,811723.0
2009-12-21,3.72,3.8,3.56,3.64,1428595.0
2009-12-22,3.64,3.96,3.56,3.88,1761448.0
2009-12-23,3.96,4.04,3.88,3.96,323302.0
2009-12-28,3.88,3.96,3.8,3.88,595844.0
2009-12-29,3.88,4.19,3.8,4.12,1513598.0
2009-12-30,4.12,4.19,4.04,4.12,677849.0
2010-01-04,4.19,4.35,4.19,4.27,594951.0
2010-01-05,4.27,4.35,4.27,4.35,114100.0
2010-01-07,4.35,4.35,4.19,4.35,696967.0
2010-01-08,4.35,4.51,4.27,4.43,581884.0
2010-01-11,4.43,4.99,4.35,4.91,1078625.0
2010-01-12,4.91,4.91,4.67,4.67,422662.0
2010-01-13,4.67,4.83,4.59,4.83,582837.0
2010-01-14,4.75,4.83,4.59,4.67,488356.0
2010-01-15,4.75,4.75,4.51,4.59,656314.0
2010-01-18,4.51,4.59,4.43,4.51,292210.0
2010-01-19,4.51,4.59,4.35,4.59,295746.0
2010-01-20,4.59,4.59,4.43,4.51,79838.0
2010-01-21,4.51,4.67,4.43,4.43,379215.0
2010-01-22,4.35,4.43,4.19,4.43,588070.0
2010-01-25,4.27,4.43,4.19,4.27,141534.0
2010-01-26,4.35,4.35,4.19,4.27,409483.0
2010-01-27,4.19,4.43,4.19,4.35,329053.0
2010-01-28,4.43,4.43,4.27,4.35,112975.0
2010-01-29,4.35,4.51,4.35,4.43,168543.0
2010-02-01,4.43,4.59,4.43,4.59,281299.0
2010-02-02,4.51,4.75,4.43,4.75,572986.0
2010-02-03,4.67,4.75,4.59,4.67,139651.0
2010-02-04,4.59,4.67,4.51,4.59,131415.0
