Date,Open,High,Low,Close,Volume
2010-01-04,53.01,53.01,51.28,52.14,34242.0
2010-01-05,51.93,53.01,51.5,52.36,37562.0
2010-01-07,52.57,52.79,51.28,52.14,14252.0
2010-01-08,50.85,51.93,50.85,51.71,6740.0
2010-01-11,51.5,51.71,49.99,51.5,37718.0
2010-01-12,50.85,51.5,49.99,50.85,21024.0
2010-01-13,50.64,53.01,50.64,51.71,22742.0
2010-01-14,51.71,52.36,51.28,52.14,46022.0
2010-01-15,52.14,52.57,50.85,52.36,10673.0
2010-01-18,52.14,53.01,50.85,51.71,9701.0
2010-01-19,51.28,52.14,50.2,51.28,43214.0
2010-01-20,51.28,51.28,50.42,50.85,25368.0
2010-01-21,50.85,51.07,49.34,50.85,26196.0
2010-01-22,51.28,51.28,49.13,50.64,15876.0
2010-01-25,49.56,49.99,48.48,49.56,20935.0
2010-01-26,49.34,49.34,48.27,49.13,17488.0
2010-01-27,48.27,49.99,47.83,49.34,12173.0
2010-01-28,49.77,51.71,47.4,50.85,197318.0
2010-01-29,51.5,51.5,50.2,51.5,23978.0
2010-02-01,50.42,50.64,45.68,48.7,99130.0
2010-02-02,47.4,48.7,46.54,48.27,49531.0
2010-02-03,48.27,48.91,47.83,48.91,22564.0
2010-02-04,48.27,48.91,47.83,48.91,19884.0
2010-02-05,47.19,48.91,46.97,48.91,10733.0
2010-02-08,47.4,51.71,47.4,49.99,29985.0
2010-02-09,49.99,51.28,49.56,50.85,16004.0
2010-02-10,50.85,51.71,50.42,51.28,11014.0
2010-02-11,51.28,51.28,49.13,50.85,5512.0
2010-02-12,50.2,50.2,49.13,50.2,3392.0
2010-02-15,48.7,50.85,46.54,50.42,9196.0
2010-02-16,49.56,51.07,49.13,51.07,17709.0
2010-02-17,50.64,51.28,49.99,50.64,9044.0
2010-02-18,51.5,51.5,49.13,51.28,9742.0
2010-02-19,50.2,51.5,50.2,51.5,9809.0
2010-02-22,50.85,51.28,50.85,51.28,12900.0
2010-02-23,51.28,51.28,49.99,51.07,3906.0
2010-02-24,50.85,51.93,49.56,51.71,27108.0
2010-02-25,50.42,51.71,49.99,51.5,6414.0
2010-02-26,51.71,53.22,51.5,53.22,26814.0
2010-03-01,53.22,54.73,51.93,52.57,17982.0
2010-03-02,51.28,53.01,51.28,53.01,16182.0
2010-03-03,53.01,53.44,52.57,53.01,4252.0
2010-03-04,53.01,53.87,52.14,53.01,38396.0
2010-03-05,51.5,53.01,51.5,53.01,6651.0
2010-03-08,52.14,53.01,52.14,52.57,9549.0
2010-03-09,51.93,53.01,51.28,52.79,13771.0
2010-03-10,52.57,52.79,51.71,52.36,5071.0
2010-03-11,51.71,53.01,51.07,52.36,7093.0
2010-03-12,52.57,53.01,52.14,53.01,27691.0
2010-03-15,53.22,54.3,50.85,53.01,29320.0
2010-03-16,52.79,52.79,51.71,52.57,11182.0
2010-03-17,53.01,53.01,51.71,52.79,8111.0
2010-03-18,51.5,52.57,48.27,51.71,23102.0
2010-03-19,49.99,52.79,49.99,51.28,1957.0
2010-03-22,51.71,51.71,49.56,50.85,8363.0
2010-03-23,51.07,51.71,49.56,50.85,9128.0
2010-03-24,49.34,50.85,49.34,50.85,5591.0
2010-03-25,50.64,53.01,50.64,51.28,14628.0
2010-03-26,51.28,51.28,49.99,51.07,4675.0
2010-03-29,51.28,51.28,49.99,50.64,7096.0
2010-03-30,50.42,50.42,49.56,50.42,1903.0
2010-03-31,50.42,50.64,48.27,50.64,8695.0
2010-04-01,49.99,51.71,48.91,51.71,6346.0
2010-04-06,51.28,51.71,49.13,51.71,14496.0
2010-04-07,51.5,51.5,50.2,50.85,3471.0
2010-04-08,50.85,50.85,49.99,50.85,816.0
2010-04-09,49.34,51.28,49.34,50.85,7160.0
2010-04-12,50.42,51.71,50.42,51.5,15425.0
2010-04-13,51.28,51.5,49.99,51.5,17703.0
2010-04-14,49.99,51.5,49.99,51.5,1891.0
2010-04-15,50.2,52.14,49.99,51.93,70191.0
2010-04-16,51.5,51.71,49.99,50.85,11726.0
2010-04-19,50.64,50.64,49.99,50.42,7371.0
2010-04-20,49.13,50.64,49.13,50.42,3654.0
2010-04-21,50.64,51.28,49.56,51.28,7254.0
2010-04-22,51.28,51.71,49.34,49.56,5058.0
2010-04-23,50.02,52.19,49.58,51.54,16960.0
2010-04-26,51.32,51.98,50.45,51.98,12904.0
2010-04-27,51.98,51.98,50.89,51.98,4782.0
2010-04-28,50.45,51.98,50.45,50.67,3706.0
2010-04-29,51.76,51.76,50.45,51.11,5667.0
2010-04-30,51.54,51.76,49.8,51.76,9443.0
2010-05-03,51.11,51.11,48.71,50.89,6575.0
2010-05-04,51.32,51.32,49.58,50.45,3419.0
2010-05-05,49.15,51.11,47.63,49.37,10346.0
2010-05-06,47.84,49.15,47.41,48.28,9364.0
2010-05-07,46.1,47.19,42.62,46.97,26796.0
