Date,Open,High,Low,Close,Volume
2010-01-04,33.04,33.04,33.04,33.04,581.0
2010-01-05,33.04,33.04,33.04,33.04,0.0
2010-01-07,33.64,33.64,33.26,33.56,465.0
2010-01-08,34.02,34.02,33.56,33.56,6013.0
2010-01-11,33.56,33.56,33.56,33.56,12.0
2010-01-12,34.02,34.02,34.02,34.02,16915.0
2010-01-13,34.09,34.09,34.09,34.09,168.0
2010-01-14,33.64,33.64,32.88,33.26,1442.0
2010-01-15,32.88,33.64,32.88,33.64,612.0
2010-01-18,33.64,34.02,33.64,34.02,1518.0
2010-01-19,34.02,34.4,33.64,34.4,992.0
2010-01-20,34.55,35.3,34.55,35.3,734.0
2010-01-21,35.23,35.23,34.47,34.47,135.0
2010-01-22,35.15,35.15,35.15,35.15,313.0
2010-01-25,35.53,35.53,35.15,35.15,0.0
2010-01-26,35.15,35.15,35.15,35.15,9.0
2010-01-27,35.53,35.53,34.4,34.4,0.0
2010-01-28,34.32,34.32,34.32,34.32,87.0
2010-01-29,34.32,34.32,34.25,34.32,1154.0
2010-02-01,34.7,35.45,34.7,35.45,2164.0
2010-02-02,36.29,36.29,35.53,35.53,2187.0
2010-02-03,34.93,34.93,34.25,34.25,3208.0
2010-02-04,33.19,33.19,33.19,33.19,548.0
2010-02-05,33.26,33.26,33.26,33.26,232.0
2010-02-08,34.4,34.4,34.4,34.4,581.0
2010-02-09,35.3,35.3,34.02,34.02,0.0
2010-02-10,34.4,34.4,34.4,34.4,6.0
2010-02-11,34.02,34.02,34.02,34.02,885.0
2010-02-12,36.29,36.29,32.51,32.51,0.0
2010-02-15,34.17,34.17,32.88,32.88,0.0
2010-02-16,34.02,34.55,34.02,34.55,441.0
2010-02-17,33.56,35.08,33.56,35.08,853.0
2010-02-18,35.08,35.61,35.08,35.61,457.0
2010-02-19,35.45,35.45,35.45,35.45,457.0
2010-02-22,35.15,35.15,35.15,35.15,2.0
2010-02-23,35.45,35.45,34.77,35.23,2788.0
2010-02-24,34.4,34.4,33.79,34.02,2541.0
2010-02-25,34.17,34.17,34.17,34.17,116.0
2010-02-26,34.02,34.02,33.26,33.26,2111.0
2010-03-01,35.15,36.97,35.15,35.91,21459.0
2010-03-02,37.04,39.88,37.04,38.55,29485.0
2010-03-03,38.37,41.96,38.18,39.31,33448.0
2010-03-04,39.5,40.07,38.55,40.07,11891.0
2010-03-05,40.82,40.82,38.93,39.31,8109.0
2010-03-08,38.55,38.55,37.42,38.55,8571.0
2010-03-09,37.5,37.5,37.04,37.42,7398.0
2010-03-10,38.18,38.55,37.42,38.55,1998.0
2010-03-11,37.27,37.8,36.36,37.8,3018.0
2010-03-12,37.8,37.8,37.8,37.8,2724.0
2010-03-15,39.12,39.12,37.5,37.57,2499.0
2010-03-16,38.55,38.55,37.42,37.42,4091.0
2010-03-17,37.19,38.55,37.19,37.8,2788.0
2010-03-18,37.12,37.42,37.12,37.42,1236.0
2010-03-19,37.04,38.18,36.66,37.42,10619.0
2010-03-22,38.37,38.37,37.8,37.8,174.0
2010-03-23,37.8,37.8,36.97,36.97,10198.0
2010-03-24,36.74,36.97,36.74,36.97,8863.0
2010-03-25,36.74,36.74,36.66,36.66,232.0
2010-03-26,37.34,37.8,37.34,37.8,2637.0
2010-03-29,36.74,37.8,36.74,37.8,3718.0
2010-03-30,37.12,37.42,37.12,37.42,1983.0
2010-03-31,37.42,37.42,37.42,37.42,9.0
2010-04-01,31.56,31.56,31.56,31.56,0.0
2010-04-06,36.66,36.66,36.21,36.21,3248.0
2010-04-07,36.97,36.97,36.66,36.66,1190.0
2010-04-08,36.29,36.97,36.21,36.21,1163.0
2010-04-09,36.13,36.97,35.98,36.97,2585.0
2010-04-12,37.04,37.04,35.53,35.61,4896.0
2010-04-13,35.98,36.06,35.98,36.06,250.0
2010-04-14,35.91,35.91,35.91,35.91,215.0
2010-04-15,36.74,36.74,35.98,35.98,0.0
2010-04-16,35.91,35.91,35.83,35.83,1670.0
2010-04-19,35.53,36.74,35.15,36.74,3008.0
2010-04-20,35.83,35.91,35.83,35.91,3075.0
2010-04-21,36.13,36.13,35.53,36.13,3137.0
2010-04-22,36.29,37.57,35.38,37.57,12932.0
2010-04-23,37.42,38.55,37.42,37.8,12824.0
2010-04-26,37.8,37.8,37.04,37.8,17225.0
2010-04-27,36.66,37.99,36.66,37.8,6390.0
2010-04-28,37.42,37.8,37.42,37.8,3706.0
2010-04-29,38.55,39.12,37.99,38.55,2504.0
2010-04-30,38.74,38.74,38.18,38.74,1084.0
2010-05-03,38.18,38.93,37.5,38.93,3135.0
2010-05-04,38.93,38.93,37.8,37.8,4227.0
2010-05-05,37.8,38.55,37.34,37.34,3369.0
2010-05-06,37.12,37.12,35.98,35.98,715.0
2010-05-07,34.02,34.02,32.13,33.87,12393.0
2010-05-10,34.4,36.13,32.05,36.13,3185.0
2010-05-11,36.66,36.66,34.77,34.93,2219.0
2010-05-12,35.15,35.15,35.15,35.15,778.0
2010-05-14,34.77,35.38,34.77,35.38,1774.0
2010-05-17,34.32,34.77,34.32,34.77,1951.0
2010-05-19,34.4,34.77,34.4,34.77,139.0
2010-05-20,34.25,34.25,34.25,34.25,674.0
2010-05-21,34.55,34.55,34.02,34.02,813.0
2010-05-24,34.02,34.02,34.02,34.02,116.0
2010-05-25,34.02,34.02,33.11,33.11,0.0
2010-05-26,34.02,34.55,34.02,34.4,1257.0
2010-05-27,34.32,34.32,34.32,34.32,2312.0
2010-05-28,33.64,34.4,33.64,33.79,283.0
2010-05-31,34.55,34.55,34.55,34.55,812.0
2010-06-01,35.61,35.61,35.61,35.61,1623.0
2010-06-02,35.15,35.15,35.15,35.15,534.0
2010-06-03,36.29,36.29,36.29,36.29,186.0
2010-06-04,35.53,35.53,35.3,35.3,5704.0
2010-06-07,36.29,36.29,35.08,35.08,0.0
2010-06-08,35.53,35.53,35.08,35.08,0.0
2010-06-09,35.08,35.15,35.08,35.15,698.0
2010-06-10,35.15,35.53,35.15,35.53,62157.0
2010-06-11,35.91,35.91,35.83,35.83,0.0
2010-06-14,34.77,34.85,34.77,34.85,1749.0
2010-06-15,34.77,35.3,34.77,34.77,701.0
2010-06-16,34.85,36.29,34.85,36.29,119121.0
2010-06-17,36.29,36.29,35.61,35.61,1278.0
2010-06-18,35.61,35.91,35.61,35.91,4073.0
2010-06-21,35.91,36.29,35.61,35.91,4996.0
2010-06-22,35.45,35.76,35.45,35.76,871.0
2010-06-23,35.45,35.45,35.08,35.08,0.0
2010-06-24,35.38,35.38,35.38,35.38,50.0
2010-06-28,35.38,35.38,35.15,35.15,1760.0
2010-06-29,35.15,35.15,35.15,35.15,1046.0
2010-06-30,35.15,35.15,34.77,34.77,1229.0
2010-07-01,34.77,34.77,28.73,28.73,0.0
2010-07-02,34.4,34.4,33.26,33.26,0.0
2010-07-05,34.7,34.7,34.7,34.7,12.0
2010-07-06,34.7,34.7,34.02,34.02,0.0
2010-07-07,34.7,34.7,34.4,34.4,2673.0
2010-07-08,33.79,34.02,33.79,34.02,581.0
2010-07-09,34.7,34.77,34.7,34.77,2324.0
2010-07-12,34.77,34.77,34.17,34.17,0.0
2010-07-13,34.25,34.77,34.25,34.77,28168.0
2010-07-14,34.77,34.77,33.64,34.32,2035.0
