Date,Open,High,Low,Close,Volume
2017-07-06,16.34,16.34,10.8,11.91,85539.0
2017-07-07,12.47,12.86,11.61,12.21,47046.0
2017-07-10,12.47,12.47,11.23,11.27,8988.0
2017-07-11,11.31,12.6,11.18,11.78,34083.0
2017-07-12,11.78,12.82,11.61,12.6,35620.0
2017-07-13,12.04,12.04,11.61,11.7,5294.0
2017-07-14,12.04,12.04,11.53,11.78,43207.0
2017-07-17,11.78,11.78,11.18,11.18,9509.0
2017-07-18,11.18,11.44,11.18,11.44,484.0
2017-07-19,11.18,11.61,11.18,11.35,14119.0
2017-07-20,11.18,11.78,11.18,11.18,6917.0
2017-07-21,11.35,11.35,10.92,11.35,16450.0
2017-07-24,11.01,11.01,11.01,11.01,1383.0
2017-07-25,11.18,11.91,11.18,11.61,215179.0
2017-07-26,11.61,11.61,11.53,11.57,1872.0
2017-07-27,11.53,12.34,11.53,11.7,8448.0
2017-07-28,11.7,12.43,11.61,11.61,36352.0
2017-07-31,11.7,12.3,11.7,12.04,3163.0
2017-08-01,12.3,12.86,12.13,12.73,6353.0
2017-08-02,12.34,12.43,12.04,12.04,3398.0
2017-08-03,11.61,11.83,11.23,11.53,81368.0
2017-08-04,11.35,12.04,11.27,11.78,20542.0
2017-08-07,12.0,12.0,11.31,11.61,28099.0
2017-08-08,11.31,11.61,11.18,11.61,7819.0
2017-08-09,11.27,11.78,11.23,11.78,3953.0
2017-08-10,11.57,11.57,11.18,11.18,1841.0
2017-08-11,11.18,11.57,11.1,11.35,151187.0
2017-08-14,11.48,11.74,11.23,11.74,147699.0
2017-08-15,12.0,12.47,11.53,12.43,129543.0
2017-08-16,12.0,12.86,12.0,12.86,59972.0
2017-08-17,12.13,13.59,12.09,13.33,65790.0
2017-08-18,13.16,13.16,12.64,12.77,52456.0
2017-08-21,12.77,13.59,12.77,13.42,15962.0
2017-08-22,13.42,15.05,13.42,14.62,99083.0
2017-08-23,14.71,14.8,14.11,14.11,32590.0
2017-08-24,14.19,14.37,14.02,14.37,16407.0
2017-08-25,14.71,15.14,14.62,14.71,47647.0
2017-08-28,13.85,14.54,13.76,14.37,42409.0
2017-08-29,14.54,14.71,14.19,14.62,26167.0
2017-08-30,14.28,14.28,13.85,14.19,12090.0
2017-08-31,14.37,14.71,14.37,14.54,128.0
2017-09-01,16.17,16.17,14.02,14.11,7553.0
2017-09-04,14.11,14.11,13.51,13.94,1571.0
2017-09-05,13.07,13.59,13.07,13.33,3993.0
2017-09-06,13.07,13.25,12.9,13.07,13772.0
2017-09-07,13.94,13.94,12.9,13.33,6013.0
2017-09-08,13.59,13.59,12.86,13.07,1936.0
2017-09-11,13.68,13.68,12.77,13.33,2403.0
2017-09-12,12.64,14.11,12.64,13.68,32608.0
2017-09-13,13.94,13.94,13.85,13.94,1268.0
2017-09-14,14.02,15.31,13.94,14.37,8514.0
2017-09-15,14.54,14.54,13.94,14.37,14722.0
2017-09-18,14.62,14.62,13.94,13.94,1958.0
2017-09-19,13.94,14.37,13.94,13.94,6629.0
2017-09-20,13.94,14.37,12.99,13.85,16052.0
2017-09-21,14.02,14.11,13.59,13.76,76695.0
2017-09-22,13.33,13.76,13.33,13.51,20384.0
2017-09-25,14.19,14.19,13.33,13.68,11218.0
2017-09-26,13.85,13.85,13.33,13.51,15721.0
2017-09-27,14.11,14.11,14.11,14.11,6.0
2017-09-28,13.42,13.59,13.25,13.59,14544.0
2017-09-29,13.59,13.76,12.9,13.76,25824.0
2017-10-02,13.76,13.85,13.25,13.42,18638.0
2017-10-03,13.42,13.42,12.99,13.07,19557.0
2017-10-04,13.07,13.07,12.9,12.9,9597.0
2017-10-05,13.16,13.25,12.99,12.99,2153.0
2017-10-06,13.25,13.59,12.99,13.07,2627.0
2017-10-09,12.9,12.99,12.82,12.82,6338.0
2017-10-10,12.82,12.82,12.82,12.82,3153.0
2017-10-11,12.9,12.99,12.64,12.99,3199.0
2017-10-12,12.52,13.07,12.52,12.82,13519.0
2017-10-13,12.47,12.86,12.34,12.6,9053.0
2017-10-16,12.6,12.6,12.34,12.39,34478.0
2017-10-17,12.26,12.47,12.26,12.47,2784.0
2017-10-18,12.82,12.82,12.56,12.56,6172.0
2017-10-19,12.64,12.64,12.21,12.21,14532.0
2017-10-20,12.43,13.42,12.43,13.42,7717.0
2017-10-23,12.86,13.68,12.86,13.59,1186.0
2017-10-24,13.25,13.25,12.39,12.86,8154.0
2017-10-25,12.9,13.33,12.86,12.9,11771.0
2017-10-26,12.52,12.69,12.52,12.69,5720.0
2017-10-27,12.9,12.9,12.77,12.82,2046.0
2017-10-30,12.82,12.86,12.39,12.43,1151.0
2017-10-31,12.69,12.69,12.47,12.47,3100.0
2017-11-01,12.64,12.86,12.47,12.47,2173.0
2017-11-02,12.82,12.82,12.47,12.47,1299.0
2017-11-03,12.47,12.82,12.47,12.82,2325.0
2017-11-06,12.73,13.59,12.69,13.59,11015.0
2017-11-07,13.68,13.94,13.51,13.76,40006.0
2017-11-08,13.85,14.45,13.76,13.94,23290.0
2017-11-09,13.76,13.85,13.68,13.68,4090.0
2017-11-10,13.76,13.76,13.25,13.59,4633.0
2017-11-13,13.42,13.42,12.3,13.42,3840.0
2017-11-14,14.11,14.54,12.56,13.16,19611.0
2017-11-15,13.16,13.42,13.16,13.42,1960.0
2017-11-16,13.42,13.42,13.42,13.42,0.0
2017-11-17,12.52,13.59,12.52,12.69,11868.0
2017-11-20,12.69,13.94,11.7,12.9,4834.0
2017-11-21,12.9,12.9,12.47,12.9,3145.0
2017-11-22,12.52,12.9,12.47,12.47,1494.0
2017-11-23,12.52,12.86,12.47,12.86,1808.0
2017-11-24,13.76,13.76,12.69,12.9,15653.0
2017-11-27,12.99,12.99,12.56,12.56,6655.0
2017-11-28,12.9,12.9,12.86,12.86,40.0
2017-11-29,12.47,12.47,12.39,12.43,2494.0
2017-11-30,12.34,12.82,12.34,12.47,5878.0
2017-12-01,13.76,13.76,12.47,12.69,4977.0
2017-12-04,12.56,12.82,12.0,12.47,19235.0
2017-12-05,12.47,12.47,11.66,12.04,1918.0
2017-12-06,11.66,12.26,11.66,12.26,4740.0
2017-12-07,12.3,12.3,12.3,12.3,1744.0
2017-12-08,12.47,12.47,12.04,12.04,5987.0
2017-12-11,12.04,12.04,11.96,12.04,1476.0
2017-12-12,12.04,12.04,11.35,11.35,4359.0
2017-12-13,11.23,11.61,11.18,11.61,14373.0
2017-12-14,11.61,11.7,11.18,11.66,13218.0
2017-12-15,11.31,11.31,11.18,11.18,5336.0
2017-12-18,10.8,11.01,10.62,10.92,7115.0
2017-12-19,10.88,10.92,10.75,10.92,7016.0
2017-12-20,10.92,10.92,10.8,10.8,12846.0
2017-12-21,10.67,10.84,10.67,10.8,3545.0
2017-12-22,10.58,10.84,10.58,10.84,6918.0
2017-12-27,10.84,10.84,9.94,10.58,8061.0
2017-12-28,10.67,12.0,10.67,10.88,3910.0
2017-12-29,10.88,11.23,10.41,10.92,25179.0
2018-01-02,11.18,12.39,10.75,12.39,9044.0
2018-01-03,12.39,12.39,9.68,10.75,1504.0
2018-01-04,10.75,10.75,10.49,10.49,5494.0
2018-01-05,10.49,10.58,10.49,10.54,1295.0
2018-01-08,10.54,11.1,10.19,10.19,8276.0
2018-01-09,10.06,10.32,10.06,10.32,3063.0
2018-01-10,10.24,10.92,9.46,10.37,33375.0
2018-01-11,10.71,10.71,10.06,10.06,3329.0
2018-01-12,10.06,11.35,10.06,10.62,8323.0
2018-01-15,10.75,11.1,10.75,10.75,1436.0
2018-01-16,10.37,11.01,10.37,10.75,1922.0
2018-01-17,10.37,10.37,9.63,10.06,12305.0
2018-01-18,10.19,10.19,10.19,10.19,174.0
2018-01-19,9.94,10.49,9.89,10.28,9056.0
2018-01-22,9.89,10.11,9.81,10.11,6987.0
2018-01-23,9.85,10.32,9.85,10.32,10016.0
2018-01-24,10.37,10.37,10.06,10.06,10426.0
2018-01-25,10.06,10.75,10.06,10.32,4804.0
2018-01-26,10.32,10.32,9.94,10.06,3405.0
2018-01-29,9.89,9.89,9.89,9.89,872.0
2018-01-30,9.81,9.85,9.81,9.81,314.0
2018-01-31,9.81,9.81,9.81,9.81,0.0
2018-02-01,10.67,11.31,10.02,10.58,12429.0
2018-02-02,10.15,10.71,10.11,10.24,6208.0
2018-02-05,9.81,9.81,8.99,9.03,29462.0
2018-02-06,9.03,9.68,7.88,9.68,1113.0
2018-02-07,8.6,9.59,8.6,9.55,56659.0
2018-02-08,9.25,9.59,9.2,9.59,18903.0
2018-02-09,9.51,9.51,8.9,8.99,7533.0
2018-02-12,9.51,9.51,8.99,8.99,10910.0
2018-02-13,8.99,8.99,8.99,8.99,0.0
2018-02-14,8.69,8.86,8.69,8.77,452.0
2018-02-15,8.95,8.95,8.95,8.95,215.0
2018-02-16,8.95,8.95,8.95,8.95,0.0
2018-02-19,9.68,9.68,9.59,9.59,1192.0
2018-02-20,9.89,9.89,9.89,9.89,151.0
2018-02-21,8.9,9.81,8.9,9.81,834.0
2018-02-22,9.46,9.46,9.46,9.46,1163.0
2018-02-23,9.25,9.25,9.25,9.25,463.0
2018-02-26,9.25,9.25,9.25,9.25,0.0
2018-02-27,8.99,8.99,8.99,8.99,291.0
2018-02-28,8.99,8.99,8.99,8.99,1221.0
2018-03-01,8.99,9.42,8.58,8.95,12486.0
2018-03-02,8.64,8.64,8.55,8.6,7123.0
2018-03-05,8.6,8.6,8.6,8.6,4155.0
2018-03-06,8.17,8.69,8.17,8.69,1314.0
2018-03-07,8.69,8.69,8.69,8.69,442.0
2018-03-08,8.6,8.6,8.19,8.6,4824.0
2018-03-09,8.6,8.6,8.6,8.6,0.0
