Date,Open,High,Low,Close,Volume
2010-12-17,23.52,23.52,22.19,23.08,1851632.0
2010-12-20,23.52,23.52,22.19,22.19,1869884.0
2010-12-21,22.12,22.26,20.93,21.15,3308322.0
2010-12-22,21.08,21.6,20.56,21.45,1266880.0
2010-12-23,21.3,21.67,21.23,21.45,1098608.0
2010-12-27,21.15,21.67,21.08,21.23,812969.0
2010-12-28,21.23,22.93,21.23,22.78,890496.0
2010-12-29,22.93,23.08,22.56,22.93,497772.0
2010-12-30,23.23,23.52,22.93,23.0,1133850.0
2011-01-03,23.08,24.48,22.63,24.48,823538.0
2011-01-04,24.63,24.78,23.52,23.74,1405191.0
2011-01-05,17.56,17.56,17.56,17.56,0.0
2011-01-07,23.67,24.04,23.15,23.6,955698.0
2011-01-10,24.41,25.07,23.6,24.7,767482.0
2011-01-11,24.41,24.56,23.67,23.97,1772631.0
2011-01-12,24.04,24.93,24.04,24.93,868460.0
2011-01-13,24.78,24.93,23.97,24.48,1072873.0
2011-01-14,24.26,24.7,23.82,24.26,243027.0
2011-01-17,24.7,24.85,24.26,24.48,414350.0
2011-01-18,24.78,24.85,23.52,23.67,2493175.0
2011-01-19,24.11,24.11,23.37,23.45,474455.0
2011-01-20,23.3,23.67,22.19,22.63,483059.0
2011-01-21,22.71,23.15,22.34,22.78,856611.0
2011-01-24,22.93,23.08,21.89,22.49,509154.0
2011-01-25,22.71,23.0,22.41,22.63,382180.0
2011-01-26,22.71,22.93,22.26,22.26,529563.0
2011-01-27,22.41,22.93,21.89,22.78,1240241.0
2011-01-28,22.63,23.82,22.56,23.6,457591.0
2011-01-31,23.82,24.26,23.08,23.67,205059.0
2011-02-01,23.82,24.19,23.08,24.04,1053434.0
2011-02-02,23.67,24.26,22.63,23.3,965977.0
2011-02-03,23.3,23.67,22.63,22.93,544936.0
2011-02-04,23.0,23.15,22.41,22.93,294790.0
2011-02-07,23.52,24.04,23.37,23.67,622609.0
2011-02-08,23.67,23.97,23.6,23.74,314322.0
2011-02-09,23.74,23.89,23.3,23.74,434144.0
2011-02-10,23.89,23.89,23.15,23.52,282797.0
2011-02-11,23.74,23.82,23.08,23.67,560620.0
2011-02-14,23.67,23.82,23.52,23.67,508146.0
2011-02-15,23.67,23.74,22.86,22.93,242040.0
2011-02-16,22.93,23.15,22.63,23.15,459202.0
2011-02-17,23.0,23.67,22.71,23.45,359142.0
2011-02-18,23.67,23.82,23.37,23.67,134055.0
2011-02-21,23.52,23.97,23.52,23.67,646015.0
2011-02-22,23.67,23.89,23.37,23.74,272282.0
2011-02-23,23.67,23.74,23.37,23.6,366933.0
