Date,Open,High,Low,Close,Volume
2010-01-04,1.31,1.31,1.31,1.31,1000.0
2010-01-05,1.31,1.31,1.31,1.31,0.0
2010-01-07,1.28,1.28,1.26,1.26,22750.0
2010-01-08,1.29,1.29,1.29,1.29,1500.0
2010-01-11,1.29,1.29,1.19,1.21,12000.0
2010-01-12,1.22,1.22,1.22,1.22,20750.0
2010-01-13,1.22,1.25,1.22,1.25,11500.0
2010-01-14,1.25,1.25,1.23,1.23,10750.0
2010-01-15,1.25,1.25,1.23,1.23,12500.0
2010-01-18,1.24,1.26,1.24,1.24,2675.0
2010-01-19,1.17,1.23,1.16,1.23,30000.0
2010-01-20,1.16,1.16,1.16,1.16,10000.0
2010-01-21,1.21,1.21,1.15,1.15,15250.0
2010-01-22,1.2,1.21,1.2,1.21,54000.0
2010-01-25,1.19,1.19,1.19,1.19,1575.0
2010-01-26,1.39,1.39,1.19,1.19,30050.0
2010-01-27,1.39,1.39,1.18,1.18,800.0
2010-01-28,1.3,1.3,1.26,1.26,6425.0
2010-01-29,1.26,1.26,1.26,1.26,0.0
2010-02-01,1.26,1.26,1.23,1.23,13075.0
2010-02-02,1.23,1.23,1.23,1.23,0.0
2010-02-03,1.26,1.26,1.26,1.26,15000.0
2010-02-04,1.29,1.29,1.22,1.22,4250.0
2010-02-05,1.22,1.23,1.22,1.23,1575.0
2010-02-08,1.23,1.23,1.23,1.23,17250.0
2010-02-09,1.19,1.19,1.19,1.19,500.0
2010-02-10,1.19,1.19,1.18,1.19,22990.0
2010-02-11,1.19,1.19,1.19,1.19,0.0
2010-02-12,1.18,1.18,1.18,1.18,10000.0
2010-02-15,1.18,1.18,1.18,1.18,0.0
2010-02-17,1.17,1.17,1.17,1.17,1875.0
2010-02-18,1.18,1.18,1.18,1.18,1250.0
2010-02-19,1.21,1.21,1.21,1.21,8000.0
2010-02-22,1.21,1.21,1.21,1.21,0.0
2010-02-23,1.21,1.21,1.21,1.21,1000.0
2010-02-25,1.31,1.5,1.31,1.31,5150.0
2010-02-26,1.44,1.44,1.3,1.3,14330.0
2010-03-01,1.3,1.3,1.3,1.3,2645.0
2010-03-02,1.3,1.3,1.3,1.3,0.0
2010-03-03,1.44,1.44,1.23,1.25,15000.0
2010-03-04,1.25,1.25,1.25,1.25,0.0
2010-03-05,1.36,1.36,1.36,1.36,5.0
2010-03-08,1.37,1.38,1.37,1.38,21770.0
2010-03-09,1.4,1.4,1.36,1.36,10250.0
2010-03-10,1.36,1.36,1.36,1.36,0.0
2010-03-11,1.4,1.4,1.36,1.36,21420.0
2010-03-12,1.36,1.38,1.36,1.38,3800.0
2010-03-15,1.38,1.38,1.38,1.38,13000.0
2010-03-16,1.28,1.3,1.28,1.3,5040.0
2010-03-17,1.37,1.37,1.3,1.3,22960.0
2010-03-18,1.38,1.38,1.3,1.3,12100.0
2010-03-19,1.47,1.6,1.47,1.6,125.0
2010-03-22,1.55,1.55,1.55,1.55,7500.0
2010-03-23,1.53,1.57,1.53,1.57,5925.0
2010-03-24,1.57,1.57,1.57,1.57,3500.0
2010-03-25,1.57,1.57,1.57,1.57,0.0
2010-03-31,1.51,1.57,1.51,1.57,6325.0
2010-04-01,1.5,1.57,1.5,1.57,8425.0
2010-04-06,1.57,1.57,1.5,1.5,18650.0
2010-04-07,1.5,1.5,1.5,1.5,0.0
2010-04-08,1.5,1.5,1.5,1.5,20000.0
2010-04-09,1.48,1.48,1.48,1.48,6500.0
2010-04-12,1.48,1.48,1.48,1.48,2500.0
2010-04-13,1.48,1.48,1.48,1.48,0.0
2010-04-14,1.51,1.52,1.51,1.52,4200.0
2010-04-15,1.59,1.59,1.57,1.57,4500.0
2010-04-16,1.57,1.57,1.52,1.52,6500.0
2010-04-19,1.5,1.63,1.5,1.63,79250.0
2010-04-20,1.63,1.74,1.63,1.74,59950.0
2010-04-21,1.74,1.74,1.74,1.74,2500.0
2010-04-22,1.74,1.74,1.74,1.74,0.0
2010-04-23,1.55,1.74,1.55,1.74,3050.0
2010-04-26,1.69,1.69,1.69,1.69,6500.0
2010-04-27,1.69,1.69,1.69,1.69,0.0
2010-04-28,1.55,1.55,1.55,1.55,900.0
2010-04-29,1.56,1.66,1.56,1.66,13750.0
2010-04-30,1.66,1.66,1.66,1.66,0.0
2010-05-03,1.66,1.66,1.66,1.66,3000.0
2010-05-04,1.65,1.66,1.65,1.66,4085.0
2010-05-05,1.62,1.66,1.62,1.66,12165.0
2010-05-06,1.57,1.57,1.57,1.57,1600.0
2010-05-07,1.51,1.65,1.51,1.65,28995.0
2010-05-10,1.57,1.7,1.57,1.7,11990.0
2010-05-11,1.7,1.7,1.7,1.7,0.0
2010-05-12,1.52,1.52,1.52,1.52,2500.0
2010-05-14,1.63,1.63,1.54,1.54,10250.0
2010-05-17,1.54,1.54,1.54,1.54,0.0
2010-05-18,1.53,1.53,1.52,1.52,7945.0
2010-05-19,1.52,1.52,1.52,1.52,6155.0
2010-05-20,1.52,1.52,1.52,1.52,29845.0
2010-05-21,1.52,1.52,1.52,1.52,0.0
2010-05-25,1.53,1.53,1.52,1.52,6500.0
2010-05-26,1.52,1.52,1.5,1.5,9500.0
