Date,Open,High,Low,Close,Volume
2018-07-02,29.0,29.0,28.45,28.68,2650133.0
2018-07-03,28.71,29.58,28.71,29.5,129804.0
2018-07-04,29.5,29.5,28.2,29.0,105944.0
2018-07-05,29.0,29.7,28.5,29.68,225962.0
2018-07-06,29.7,29.92,29.5,29.92,315752.0
2018-07-09,29.99,30.35,29.6,30.15,84584.0
2018-07-10,30.15,30.38,30.15,30.29,42416.0
2018-07-11,30.3,30.3,29.1,30.0,642533.0
2018-07-12,30.4,30.5,29.9,29.9,109893.0
2018-07-13,30.0,30.0,29.3,29.8,77114.0
2018-07-16,30.0,30.0,29.31,29.9,48634.0
2018-07-17,29.9,29.9,28.48,28.48,1454462.0
2018-07-18,29.87,29.87,28.0,29.0,30693.0
2018-07-19,29.0,29.0,27.5,29.0,18588.0
2018-07-20,29.0,29.2,28.0,29.2,178246.0
2018-07-23,29.2,29.2,28.5,28.95,97510.0
2018-07-24,28.9,28.9,28.5,28.89,85300.0
2018-07-25,28.56,29.0,28.5,29.0,68515.0
2018-07-26,28.52,28.94,28.5,28.75,124321.0
2018-07-27,28.75,29.0,28.41,28.41,91490.0
2018-07-30,28.65,28.99,27.9,28.5,10071.0
2018-07-31,27.56,28.6,27.56,28.0,17584.0
2018-08-01,28.0,28.0,26.5,27.47,31133.0
2018-08-02,26.55,27.39,26.31,27.1,11052.0
2018-08-03,27.1,27.8,26.3,27.0,24289.0
2018-08-06,26.4,27.45,26.4,27.0,18406.0
2018-08-07,26.8,27.35,26.5,27.35,11774.0
2018-08-08,28.14,30.0,28.14,29.09,308218.0
2018-08-09,29.5,29.9,28.41,28.99,142887.0
2018-08-10,28.9,29.0,28.1,28.45,56562.0
2018-08-13,29.55,29.55,27.35,28.3,85658.0
2018-08-14,29.0,29.0,28.3,28.99,27058.0
2018-08-15,28.99,28.99,28.3,28.3,20258.0
2018-08-16,28.3,28.69,27.8,27.85,59590.0
2018-08-17,28.7,28.7,27.2,27.7,63182.0
2018-08-20,27.7,28.0,27.4,27.45,51119.0
2018-08-21,27.45,28.5,27.36,28.5,113825.0
2018-08-22,28.8,29.2,28.3,29.0,123533.0
2018-08-23,29.9,29.9,28.0,28.85,122334.0
2018-08-24,28.85,29.0,27.3,28.3,34084.0
2018-08-27,28.4,28.4,25.0,26.7,70593.0
2018-08-28,26.7,26.7,25.2,25.4,101699.0
2018-08-29,25.78,25.78,24.0,24.2,61070.0
2018-08-30,24.5,24.51,23.0,24.49,62630.0
2018-08-31,24.99,24.99,23.5,24.75,43378.0
2018-09-03,24.75,24.75,23.5,24.08,19865.0
2018-09-04,24.04,24.04,23.4,23.5,30801.0
2018-09-05,23.56,24.63,22.5,23.0,77556.0
2018-09-06,23.44,23.44,22.5,23.0,52683.0
2018-09-07,23.0,24.4,22.61,24.39,69266.0
2018-09-10,24.4,24.5,23.5,23.5,49233.0
2018-09-11,23.5,24.14,23.5,24.0,25711.0
2018-09-12,23.95,23.95,23.26,23.3,20015.0
2018-09-13,24.49,24.49,23.1,23.5,41925.0
2018-09-14,24.36,24.36,22.9,23.52,15065.0
2018-09-17,23.9,23.9,23.02,23.1,12004.0
2018-09-18,23.1,23.1,22.5,22.78,20630.0
2018-09-19,22.57,23.09,22.0,22.42,22673.0
2018-09-20,22.43,22.89,21.01,22.8,27359.0
2018-09-21,21.5,22.48,21.5,22.4,22329.0
2018-09-24,22.4,23.0,22.39,22.6,44123.0
2018-09-25,22.99,23.0,22.0,22.8,99259.0
2018-09-26,23.3,23.39,22.3,22.99,22405.0
2018-09-27,22.99,22.99,21.51,21.6,39692.0
2018-09-28,22.0,22.7,21.6,22.49,14372.0
2018-10-01,22.89,22.89,21.01,22.0,4392.0
2018-10-02,22.0,22.5,21.01,21.44,7177.0
2018-10-03,22.0,22.0,21.2,21.6,7389.0
2018-10-04,22.0,22.0,19.25,19.5,100301.0
2018-10-05,19.5,20.39,19.5,20.3,19221.0
2018-10-08,20.33,21.0,19.55,20.39,38164.0
2018-10-09,19.55,20.39,19.0,20.35,41274.0
2018-10-10,20.35,20.68,19.2,20.0,38443.0
2018-10-11,20.0,20.0,18.25,19.0,14885.0
2018-10-12,18.25,19.98,18.25,19.51,5559.0
2018-10-15,20.0,20.95,20.0,20.0,37930.0
2018-10-16,20.75,20.75,19.9,20.72,7095.0
2018-10-17,20.72,20.72,20.72,20.72,0.0
2018-10-18,21.9,22.99,21.5,22.0,87723.0
2018-10-19,22.0,22.0,21.01,21.6,12582.0
2018-10-22,22.0,23.0,22.0,23.0,244315.0
2018-10-23,22.99,22.99,22.0,22.3,30100.0
2018-10-24,21.63,22.78,20.01,21.6,22402.0
2018-10-25,22.0,22.49,21.6,22.0,26481.0
2018-10-26,21.6,22.34,21.0,21.0,255461.0
2018-10-29,21.1,21.1,21.09,21.09,970.0
2018-10-30,21.5,22.4,21.1,21.75,58637.0
2018-10-31,22.0,22.94,20.0,22.39,13358.0
2018-11-01,22.0,22.0,21.5,21.86,6710.0
2018-11-02,21.86,23.0,21.0,22.88,21465.0
2018-11-05,23.0,23.5,23.0,23.4,34035.0
2018-11-06,23.4,24.9,23.4,24.5,50827.0
2018-11-07,24.5,24.5,23.0,24.48,31936.0
2018-11-08,24.5,24.5,23.51,24.49,3418.0
2018-11-09,23.05,24.8,23.05,24.55,28188.0
2018-11-12,25.09,25.09,24.0,24.5,6122.0
2018-11-13,24.5,24.5,23.86,24.0,8874.0
2018-11-14,23.86,23.86,22.5,23.2,19837.0
2018-11-15,23.2,23.2,22.0,22.9,15912.0
2018-11-16,23.0,23.2,22.0,23.0,18286.0
2018-11-19,23.0,24.99,23.0,23.0,49428.0
2018-11-20,22.0,22.0,21.5,21.9,25756.0
2018-11-21,21.88,21.88,21.0,21.4,97971.0
2018-11-22,22.15,23.89,21.2,23.35,734512.0
2018-11-23,23.35,24.0,23.0,23.0,23683.0
2018-11-26,22.95,23.99,22.5,23.59,13562.0
2018-11-27,22.5,24.0,22.5,23.5,3965.0
2018-11-28,23.6,23.6,22.52,23.59,6121.0
2018-11-29,22.53,23.65,22.53,23.09,173707.0
2018-11-30,23.0,23.38,22.5,23.3,7600.0
2018-12-03,22.5,23.0,22.27,22.7,10598.0
2018-12-04,22.7,22.7,21.5,21.7,13736.0
2018-12-05,21.5,21.6,21.0,21.2,11475.0
2018-12-06,21.2,21.23,20.1,20.76,34469.0
2018-12-07,20.91,21.5,20.65,21.0,25356.0
2018-12-10,20.5,20.7,20.5,20.7,1035.0
2018-12-11,23.0,23.0,21.0,21.5,8743.0
2018-12-12,21.1,22.5,21.01,21.01,12319.0
2018-12-13,21.1,21.1,20.56,21.0,9159.0
2018-12-14,20.56,21.0,20.56,21.0,4287.0
2018-12-17,20.5,20.5,19.97,20.0,108662.0
2018-12-18,19.5,21.0,19.5,20.0,31669.0
2018-12-19,19.6,20.0,19.2,19.54,108016.0
