Date,Open,High,Low,Close,Volume
2009-12-01,88.75,90.0,88.0,90.0,187236
2009-12-02,90.0,90.5,89.0,90.0,217196
2009-12-03,90.25,91.0,89.5,89.5,221794
2009-12-04,89.75,91.25,89.0,91.0,235988
2009-12-07,91.0,92.25,90.25,92.0,294652
2009-12-08,92.0,94.0,91.5,93.0,398320
2009-12-09,93.25,93.25,90.75,91.0,281178
2009-12-10,91.5,92.75,91.0,92.25,665642
2009-12-11,92.5,93.5,90.5,92.5,451592
2009-12-14,92.75,94.5,91.25,92.0,431580
2009-12-15,92.5,92.5,88.0,88.75,660730
2009-12-16,89.0,91.0,88.25,89.0,376476
2009-12-17,89.25,89.5,86.75,88.25,433022
2009-12-18,88.0,89.5,87.75,88.5,662034
2009-12-21,89.0,91.0,88.75,91.0,231844
2009-12-22,90.25,91.5,90.25,91.25,242692
2009-12-23,91.25,92.25,90.75,92.25,156342
2009-12-28,92.5,93.0,91.5,92.25,167330
2009-12-29,92.25,92.5,91.0,92.0,150760
2009-12-30,92.25,93.25,92.0,92.5,218644
2010-01-04,92.75,97.75,92.75,97.0,308816
2010-01-05,98.25,99.25,96.75,98.5,202762
2010-01-07,96.5,97.75,96.0,97.25,579302
2010-01-08,98.0,101.0,98.0,100.0,406856
2010-01-11,101.0,102.25,100.25,100.5,383804
2010-01-12,101.25,101.5,97.0,98.0,664300
2010-01-13,97.0,99.0,96.5,97.75,503656
2010-01-14,99.0,99.5,98.25,98.5,539160
2010-01-15,99.5,99.75,98.25,98.5,362768
2010-01-18,99.5,100.5,98.5,99.5,523790
2010-01-19,99.5,101.5,98.75,100.5,885060
2010-01-20,100.75,104.0,100.75,102.0,1133164
2010-01-21,103.25,104.75,100.75,101.0,1059146
2010-01-22,101.0,103.75,100.5,103.0,772238
2010-01-25,102.25,104.0,100.75,101.25,905852
2010-01-26,100.5,102.0,99.5,101.75,825000
2010-01-27,101.5,103.0,100.5,101.0,1071738
2010-01-28,102.0,103.0,101.25,101.75,829596
2010-01-29,102.0,103.25,101.0,102.75,610028
2010-02-01,103.0,106.25,102.5,105.0,1045334
2010-02-02,105.0,106.0,104.25,105.0,1278364
2010-02-03,105.5,105.75,104.5,105.5,1028220
2010-02-04,105.75,106.0,103.5,104.25,1032314
2010-02-05,103.75,103.75,101.5,101.75,812030
2010-02-08,102.25,102.75,98.5,100.5,765558
2010-02-09,100.5,102.0,100.0,101.0,593802
2010-02-10,102.75,102.75,100.75,101.5,1388246
2010-02-11,104.0,106.0,103.75,104.75,2901696
2010-02-12,105.25,105.75,103.0,103.5,1075488
2010-02-15,104.5,104.5,101.5,102.25,611430
2010-02-16,102.5,103.0,100.5,102.5,822060
2010-02-17,103.0,103.75,102.25,103.5,604124
2010-02-18,103.5,105.5,102.25,105.25,826260
2010-02-19,104.75,108.0,104.75,107.0,1367542
