Date,Open,High,Low,Close,Volume
2010-01-04,28.0,29.16,28.0,28.1,17467.0
2010-01-05,28.49,29.84,28.49,29.36,13385.0
2010-01-07,29.74,29.74,27.62,28.97,41820.0
2010-01-08,29.07,29.84,28.68,28.97,59930.0
2010-01-11,29.55,30.42,29.55,29.94,64782.0
2010-01-12,29.94,30.42,29.55,30.42,27326.0
2010-01-13,29.36,30.71,29.36,29.65,43581.0
2010-01-14,29.84,30.13,29.16,29.16,27232.0
2010-01-15,29.26,30.42,29.26,29.84,22186.0
2010-01-18,29.84,30.42,29.65,29.84,32575.0
2010-01-19,30.23,30.23,29.45,30.03,21985.0
2010-01-20,30.42,30.42,29.26,29.26,30557.0
2010-01-21,29.65,30.61,29.65,30.13,41704.0
2010-01-22,30.23,30.42,29.45,30.03,49143.0
2010-01-25,29.45,30.61,29.36,29.36,59043.0
2010-01-26,29.74,30.13,29.26,29.65,19213.0
2010-01-27,29.65,29.94,28.97,29.84,33055.0
2010-01-28,29.94,30.42,29.94,30.23,47546.0
2010-01-29,30.23,30.71,30.03,30.42,22924.0
2010-02-01,30.32,30.61,29.07,30.42,24965.0
2010-02-02,31.09,33.51,31.09,33.32,310156.0
2010-02-03,33.7,35.92,33.7,35.44,143746.0
2010-02-04,35.54,36.7,35.25,35.54,234175.0
2010-02-05,35.54,36.5,34.76,35.25,78593.0
2010-02-08,35.34,35.73,33.32,33.51,62200.0
2010-02-09,33.03,33.89,32.83,33.8,107500.0
2010-02-10,34.47,34.47,31.96,32.25,21200.0
2010-02-11,32.83,33.8,32.83,33.8,44500.0
2010-02-12,34.38,34.38,33.12,33.51,19000.0
2010-02-15,33.32,33.8,33.22,33.51,27600.0
2010-02-16,33.8,35.34,33.6,33.99,126000.0
2010-02-17,34.67,34.67,33.7,34.09,77475.0
2010-02-18,35.73,38.14,34.47,38.05,783983.0
2010-02-19,38.43,38.43,36.89,37.18,213634.0
2010-02-22,38.05,38.24,36.98,37.18,221884.0
2010-02-23,37.08,37.18,35.92,35.92,100054.0
2010-02-24,35.92,36.21,35.34,35.44,124058.0
2010-02-25,35.34,35.73,34.47,34.67,80309.0
2010-02-26,35.25,35.54,34.67,34.76,46357.0
2010-03-01,36.5,36.5,33.89,34.57,855980.0
2010-03-02,35.25,35.25,33.99,34.09,105772.0
2010-03-03,34.09,35.44,32.93,35.34,122652.0
2010-03-04,35.34,35.34,34.09,34.76,211317.0
2010-03-05,34.76,35.34,34.76,34.86,407324.0
2010-03-08,35.05,35.34,34.28,34.76,154576.0
2010-03-09,34.76,35.73,34.47,35.73,309754.0
2010-03-10,35.73,37.18,35.54,36.79,408984.0
2010-03-11,36.79,39.98,36.7,39.59,233418.0
2010-03-12,39.59,40.07,38.72,39.59,189853.0
2010-03-15,39.59,39.79,38.92,39.4,57527.0
2010-03-16,39.11,39.4,38.63,39.11,36553.0
2010-03-17,39.11,43.26,39.11,41.04,564093.0
2010-03-18,41.43,41.43,39.79,40.56,90067.0
2010-03-19,40.56,41.04,40.17,40.75,38969.0
2010-03-22,40.75,41.91,40.56,41.43,58270.0
2010-03-23,41.91,42.97,41.72,42.01,129329.0
2010-03-24,42.59,43.07,42.3,42.78,72973.0
2010-03-25,43.16,44.61,42.78,44.13,222055.0
2010-03-26,44.81,44.81,43.55,44.13,69869.0
2010-03-29,44.42,44.61,42.59,42.97,71230.0
2010-03-30,43.26,43.84,42.97,43.65,44780.0
2010-03-31,43.65,43.94,42.59,43.07,47576.0
2010-04-01,42.1,43.94,42.1,43.94,26899.0
2010-04-06,44.9,45.29,43.45,43.45,72390.0
2010-04-07,43.45,43.84,42.59,43.45,58041.0
2010-04-08,43.07,43.45,42.49,43.45,43373.0
2010-04-09,43.94,43.94,42.88,42.88,51049.0
2010-04-12,43.07,43.36,42.49,42.59,30063.0
2010-04-13,42.1,42.68,40.07,41.62,133772.0
2010-04-14,41.62,42.01,41.52,41.52,26527.0
2010-04-15,41.52,41.62,40.85,40.94,52453.0
2010-04-16,40.56,42.01,39.98,41.23,75505.0
2010-04-19,40.27,40.65,39.79,40.65,26349.0
2010-04-20,40.94,41.52,40.75,41.52,20181.0
2010-04-21,41.52,42.01,40.75,42.01,43128.0
2010-04-22,42.1,42.1,40.85,41.04,35136.0
2010-04-23,41.52,42.1,41.04,42.1,28918.0
2010-04-26,42.3,42.49,41.04,42.01,39114.0
2010-04-27,40.85,42.3,40.36,41.23,68548.0
2010-04-28,39.98,41.14,39.98,40.27,39974.0
2010-04-29,40.75,41.43,40.27,40.94,7896.0
2010-04-30,41.33,42.1,41.04,42.1,19035.0
2010-05-03,42.01,42.49,40.94,41.43,97979.0
2010-05-04,41.52,42.01,40.85,40.85,35398.0
2010-05-05,40.75,41.23,36.7,37.85,224815.0
2010-05-06,37.08,38.05,36.5,37.27,186228.0
2010-05-07,35.83,36.6,34.47,35.54,248991.0
2010-05-10,35.92,38.63,35.92,37.08,162581.0
2010-05-11,37.76,38.82,37.08,37.47,290647.0
2010-05-12,38.05,39.88,37.47,39.88,61421.0
2010-05-14,40.07,40.07,38.14,38.24,39677.0
2010-05-17,38.63,38.63,37.56,37.56,63420.0
2010-05-18,38.63,38.63,37.27,37.56,48308.0
2010-05-19,37.66,37.66,35.83,36.12,88182.0
2010-05-20,36.41,36.89,34.67,35.25,97707.0
2010-05-21,34.76,35.73,33.8,35.73,44407.0
2010-05-24,35.73,37.47,34.76,34.96,31635.0
2010-05-25,34.18,34.18,31.96,32.35,133596.0
2010-05-26,33.33,35.29,33.33,35.0,78446.0
2010-05-27,35.09,35.78,34.41,35.49,20440.0
2010-05-28,36.17,36.86,35.88,35.98,44810.0
2010-05-31,36.56,37.35,35.98,36.07,13805.0
2010-06-01,36.27,36.27,34.6,34.6,30142.0
2010-06-02,34.9,36.47,34.8,35.98,19589.0
2010-06-03,36.96,38.04,36.86,36.96,37146.0
2010-06-04,37.64,37.94,36.56,36.96,90917.0
2010-06-07,35.98,35.98,34.8,35.09,33160.0
2010-06-08,34.8,36.07,34.02,34.21,101705.0
2010-06-09,35.19,35.29,34.31,34.51,50562.0
2010-06-10,34.8,35.39,34.6,35.19,11184.0
2010-06-11,35.29,36.56,35.29,35.29,71583.0
2010-06-14,35.88,37.74,35.88,36.27,31693.0
2010-06-15,36.86,37.25,36.27,36.66,36241.0
2010-06-16,36.66,37.25,35.39,35.39,42971.0
2010-06-17,35.88,36.27,35.39,35.39,21339.0
2010-06-18,35.39,36.07,34.21,34.9,44323.0
2010-06-21,34.41,35.68,34.31,34.41,38911.0
2010-06-22,35.09,35.09,33.62,34.31,28066.0
2010-06-23,34.31,34.8,33.43,33.43,43861.0
2010-06-24,33.43,34.21,32.45,33.13,55331.0
2010-06-28,32.94,34.11,32.64,33.04,26919.0
2010-06-29,33.04,33.43,30.59,31.37,65165.0
2010-06-30,31.37,33.33,31.37,32.15,86298.0
2010-07-01,33.23,33.23,30.39,30.39,60086.0
2010-07-02,30.68,32.35,30.68,31.08,34053.0
2010-07-05,31.37,32.06,31.37,31.86,21506.0
2010-07-06,32.15,32.55,31.76,31.76,64255.0
2010-07-07,31.76,31.76,31.17,31.47,17647.0
2010-07-08,31.86,32.25,31.47,31.86,28994.0
2010-07-09,31.47,31.96,31.27,31.66,23640.0
2010-07-12,32.25,33.92,31.66,33.33,31584.0
2010-07-13,33.33,34.7,33.33,34.7,26462.0
2010-07-14,34.8,34.8,32.84,33.33,28304.0
2010-07-15,32.94,34.31,32.64,32.94,31558.0
2010-07-16,33.33,33.62,31.47,32.35,19754.0
2010-07-19,32.35,35.19,32.35,35.19,26299.0
2010-07-20,35.09,35.29,34.21,34.6,25959.0
2010-07-21,34.11,35.29,34.02,35.29,25825.0
2010-07-22,34.8,35.29,34.41,35.0,11614.0
2010-07-23,34.9,35.0,34.31,34.31,16883.0
2010-07-26,34.31,34.6,33.92,33.92,11898.0
2010-07-27,33.92,35.29,33.92,34.31,32529.0
2010-07-28,34.31,34.6,33.43,33.43,26674.0
2010-07-29,34.02,35.58,34.02,35.19,49614.0
2010-07-30,35.19,35.58,35.0,35.58,23172.0
2010-08-02,35.88,37.35,35.78,36.17,29800.0
2010-08-03,36.66,36.76,36.17,36.47,35620.0
2010-08-04,36.56,36.76,35.29,36.27,27118.0
2010-08-05,36.27,36.47,35.58,36.47,15164.0
2010-08-06,36.27,36.66,35.58,36.66,11638.0
2010-08-09,37.74,37.74,36.07,36.07,28516.0
2010-08-10,36.07,36.17,36.07,36.17,10537.0
2010-08-11,36.27,36.27,35.29,35.58,18445.0
2010-08-12,35.58,35.58,34.6,35.29,24513.0
2010-08-13,35.29,35.49,34.51,35.29,24123.0
2010-08-16,35.29,35.39,33.82,34.6,14796.0
2010-08-17,34.31,35.29,33.82,34.31,37467.0
2010-08-18,33.82,34.41,33.82,33.82,23786.0
2010-08-19,34.31,37.45,34.31,37.05,284669.0
2010-08-20,37.15,37.25,36.27,36.96,41161.0
2010-08-23,37.25,38.53,36.56,38.53,49298.0
2010-08-24,38.53,38.53,36.66,37.94,58147.0
2010-08-25,37.74,37.94,36.56,37.94,64052.0
2010-08-26,38.43,39.02,37.74,38.82,99175.0
2010-08-27,39.11,39.11,37.05,38.72,96520.0
2010-08-30,38.62,39.7,38.43,39.41,66039.0
2010-08-31,39.21,39.31,38.33,38.62,47156.0
2010-09-01,39.21,39.21,37.05,38.13,40014.0
2010-09-02,38.33,39.21,37.94,38.53,34988.0
2010-09-03,38.53,40.68,38.53,40.09,59821.0
2010-09-06,40.68,41.56,40.19,41.07,85718.0
2010-09-07,40.88,41.07,40.39,40.68,62505.0
2010-09-08,40.29,41.17,39.51,40.88,66708.0
2010-09-09,39.7,41.96,39.7,41.86,156127.0
2010-09-10,41.86,42.54,41.56,42.54,99321.0
2010-09-13,43.33,44.02,41.17,44.02,144021.0
2010-09-14,43.82,45.0,42.64,44.7,115650.0
2010-09-15,44.6,44.6,43.43,44.02,17468.0
2010-09-16,44.11,44.11,42.84,43.43,12203.0
2010-09-17,43.52,44.11,42.74,44.11,45362.0
2010-09-20,43.62,44.11,42.94,44.11,34970.0
2010-09-21,43.43,44.02,43.43,43.82,29608.0
2010-09-22,43.62,44.6,42.64,44.51,274625.0
2010-09-23,44.41,44.41,41.17,41.47,194542.0
2010-09-24,41.17,41.56,40.68,41.07,122270.0
2010-09-27,40.29,41.17,40.29,41.17,62518.0
2010-09-28,40.49,41.17,39.9,40.68,76872.0
2010-09-29,40.68,40.68,39.41,40.39,123761.0
2010-09-30,40.09,41.07,39.11,40.98,92309.0
2010-10-01,40.68,41.47,39.7,40.68,108038.0
2010-10-04,40.68,40.68,39.41,39.9,55131.0
2010-10-05,39.41,40.09,39.31,40.09,40115.0
2010-10-06,40.19,40.19,38.33,39.11,79666.0
2010-10-07,38.72,40.19,38.43,40.19,110376.0
2010-10-08,40.19,40.98,40.09,40.98,61205.0
2010-10-11,40.19,40.98,40.09,40.19,41190.0
2010-10-12,40.19,41.17,38.72,39.21,49132.0
2010-10-13,38.53,39.7,38.53,39.21,59807.0
2010-10-14,39.21,39.21,38.43,38.92,35619.0
2010-10-15,38.43,39.11,37.84,38.23,22458.0
2010-10-18,38.23,38.43,37.05,38.04,50989.0
2010-10-19,37.94,38.43,37.84,38.23,29893.0
2010-10-20,37.74,38.23,37.74,37.74,28857.0
2010-10-21,37.74,38.33,37.45,37.45,26213.0
2010-10-22,37.35,38.23,36.86,36.86,90658.0
2010-10-25,36.86,37.25,36.37,37.25,74802.0
2010-10-26,36.96,37.45,36.86,37.45,67296.0
2010-10-27,37.25,38.23,37.25,37.64,30078.0
2010-10-28,37.25,37.64,36.47,36.76,72271.0
2010-10-29,36.96,40.19,36.66,37.25,383134.0
2010-11-01,37.94,38.13,36.76,37.05,44539.0
2010-11-02,37.35,37.84,36.76,37.25,189866.0
2010-11-03,37.25,38.23,37.25,37.84,22971.0
2010-11-04,37.64,38.43,37.45,37.74,35128.0
2010-11-05,38.04,38.43,38.04,38.23,53230.0
2010-11-08,38.43,38.43,35.58,36.47,255161.0
2010-11-09,36.27,36.27,35.39,35.58,71047.0
2010-11-10,35.39,35.78,34.8,35.78,96323.0
2010-11-11,35.58,36.37,35.49,36.07,33768.0
2010-11-12,35.78,36.27,35.0,35.98,35946.0
2010-11-15,36.27,36.27,35.09,35.78,34739.0
2010-11-16,35.78,35.78,34.11,35.19,37610.0
2010-11-17,34.8,35.29,34.31,35.19,23755.0
2010-11-18,35.09,35.58,35.0,35.0,22195.0
2010-11-19,34.9,35.58,34.9,35.49,17191.0
2010-11-22,35.09,35.68,34.9,34.9,16820.0
2010-11-23,35.49,35.49,34.31,34.31,74523.0
2010-11-24,34.31,35.29,33.62,33.92,36048.0
2010-11-25,33.92,34.31,33.53,33.72,21307.0
2010-11-26,33.53,34.41,33.53,33.62,30499.0
2010-11-29,33.53,34.7,33.53,33.62,21259.0
2010-11-30,34.02,34.31,32.94,34.02,34924.0
2010-12-01,33.82,34.31,33.13,33.82,18876.0
2010-12-02,33.82,34.51,33.33,34.51,46109.0
2010-12-03,34.41,36.66,33.92,36.66,137849.0
2010-12-06,36.66,36.66,35.49,35.88,88931.0
2010-12-07,35.88,36.17,35.49,35.98,44233.0
2010-12-08,35.98,35.98,35.49,35.58,23731.0
2010-12-09,35.29,35.78,35.29,35.49,12433.0
2010-12-10,35.58,36.27,35.58,35.68,118303.0
2010-12-13,36.66,37.64,36.66,37.05,302809.0
2010-12-14,37.05,37.55,37.05,37.15,168802.0
2010-12-15,37.15,37.94,37.15,37.74,41366.0
2010-12-16,37.74,38.62,37.74,38.62,382524.0
2010-12-17,38.13,38.53,37.84,38.53,78790.0
2010-12-20,38.62,38.62,37.84,38.33,26617.0
2010-12-21,37.84,39.02,37.84,38.92,49510.0
2010-12-22,38.92,38.92,38.23,38.82,27527.0
2010-12-23,37.64,38.72,37.64,38.72,21135.0
2010-12-27,38.72,39.11,38.62,38.72,17542.0
2010-12-28,38.72,38.72,37.84,37.84,16544.0
2010-12-29,37.64,37.94,36.86,37.74,44644.0
2010-12-30,37.84,37.84,36.76,37.25,34927.0
2011-01-03,37.25,37.25,35.78,36.47,33940.0
2011-01-04,36.47,37.74,36.27,37.45,60472.0
2011-01-05,37.45,38.72,37.45,38.53,54458.0
2011-01-07,38.92,39.21,37.74,38.82,53448.0
2011-01-10,39.21,39.7,38.92,39.6,58118.0
2011-01-11,39.51,39.8,39.21,39.21,41666.0
