Date,Open,High,Low,Close,Volume
2009-12-01,29.55,29.55,29.07,29.16,9919
2009-12-02,29.07,29.45,28.49,28.97,10358
2009-12-03,29.55,29.74,28.68,28.97,55489
2009-12-04,28.97,29.55,28.97,29.45,37656
2009-12-07,28.97,29.74,28.97,28.97,16362
2009-12-08,29.07,29.45,28.0,28.58,17205
2009-12-09,28.97,29.55,28.97,29.45,10863
2009-12-10,29.36,29.74,28.68,28.97,38504
2009-12-11,29.74,29.74,28.49,28.68,26326
2009-12-14,28.39,29.07,28.2,28.49,38176
2009-12-15,28.2,28.39,27.52,28.1,30031
2009-12-16,28.1,29.26,27.81,27.91,43446
2009-12-17,27.62,28.0,26.94,28.0,26252
2009-12-18,27.91,27.91,27.04,27.52,39609
2009-12-21,27.04,28.2,27.04,28.0,34432
2009-12-22,28.2,28.58,27.81,28.0,51147
2009-12-23,28.0,28.58,27.81,27.81,18200
2009-12-28,28.49,28.87,28.0,28.2,22257
2009-12-29,28.29,28.49,28.0,28.2,21162
2009-12-30,28.49,28.49,27.52,28.49,21460
2010-01-04,28.0,29.16,28.0,28.1,17467
2010-01-05,28.49,29.84,28.49,29.36,13385
2010-01-07,29.74,29.74,27.62,28.97,41820
2010-01-08,29.07,29.84,28.68,28.97,59930
2010-01-11,29.55,30.42,29.55,29.94,64782
2010-01-12,29.94,30.42,29.55,30.42,27326
2010-01-13,29.36,30.71,29.36,29.65,43581
2010-01-14,29.84,30.13,29.16,29.16,27232
2010-01-15,29.26,30.42,29.26,29.84,22186
2010-01-18,29.84,30.42,29.65,29.84,32575
2010-01-19,30.23,30.23,29.45,30.03,21985
2010-01-20,30.42,30.42,29.26,29.26,30557
2010-01-21,29.65,30.61,29.65,30.13,41704
2010-01-22,30.23,30.42,29.45,30.03,49143
2010-01-25,29.45,30.61,29.36,29.36,59043
2010-01-26,29.74,30.13,29.26,29.65,19213
2010-01-27,29.65,29.94,28.97,29.84,33055
2010-01-28,29.94,30.42,29.94,30.23,47546
2010-01-29,30.23,30.71,30.03,30.42,22924
2010-02-01,30.32,30.61,29.07,30.42,24965
2010-02-02,31.09,33.51,31.09,33.32,310156
2010-02-03,33.7,35.92,33.7,35.44,143746
2010-02-04,35.54,36.7,35.25,35.54,234175
2010-02-05,35.54,36.5,34.76,35.25,78593
2010-02-08,35.34,35.73,33.32,33.51,62200
2010-02-09,33.03,33.89,32.83,33.8,107500
2010-02-10,34.47,34.47,31.96,32.25,21200
2010-02-11,32.83,33.8,32.83,33.8,44500
2010-02-12,34.38,34.38,33.12,33.51,19000
2010-02-15,33.32,33.8,33.22,33.51,27600
2010-02-16,33.8,35.34,33.6,33.99,126000
2010-02-17,34.67,34.67,33.7,34.09,77475
2010-02-18,35.73,38.14,34.47,38.05,783983
2010-02-19,38.43,38.43,36.89,37.18,213634
2010-02-22,38.05,38.24,36.98,37.18,221884
2010-02-23,37.08,37.18,35.92,35.92,100054
2010-02-24,35.92,36.21,35.34,35.44,124058
2010-02-25,35.34,35.73,34.47,34.67,80309
2010-02-26,35.25,35.54,34.67,34.76,46357
2010-03-01,36.5,36.5,33.89,34.57,855980
2010-03-02,35.25,35.25,33.99,34.09,105772
2010-03-03,34.09,35.44,32.93,35.34,122652
2010-03-04,35.34,35.34,34.09,34.76,211317
2010-03-05,34.76,35.34,34.76,34.86,407324
2010-03-08,35.05,35.34,34.28,34.76,154576
2010-03-09,34.76,35.73,34.47,35.73,309754
2010-03-10,35.73,37.18,35.54,36.79,408984
2010-03-11,36.79,39.98,36.7,39.59,233418
2010-03-12,39.59,40.07,38.72,39.59,189853
2010-03-15,39.59,39.79,38.92,39.4,57527
2010-03-16,39.11,39.4,38.63,39.11,36553
2010-03-17,39.11,43.26,39.11,41.04,564093
2010-03-18,41.43,41.43,39.79,40.56,90067
2010-03-19,40.56,41.04,40.17,40.75,38969
2010-03-22,40.75,41.91,40.56,41.43,58270
2010-03-23,41.91,42.97,41.72,42.01,129329
2010-03-24,42.59,43.07,42.3,42.78,72973
2010-03-25,43.16,44.61,42.78,44.13,222055
2010-03-26,44.81,44.81,43.55,44.13,69869
2010-03-29,44.42,44.61,42.59,42.97,71230
2010-03-30,43.26,43.84,42.97,43.65,44780
2010-03-31,43.65,43.94,42.59,43.07,47576
2010-04-01,42.1,43.94,42.1,43.94,26899
2010-04-06,44.9,45.29,43.45,43.45,72390
2010-04-07,43.45,43.84,42.59,43.45,58041
2010-04-08,43.07,43.45,42.49,43.45,43373
2010-04-09,43.94,43.94,42.88,42.88,51049
2010-04-12,43.07,43.36,42.49,42.59,30063
2010-04-13,42.1,42.68,40.07,41.62,133772
2010-04-14,41.62,42.01,41.52,41.52,26527
2010-04-15,41.52,41.62,40.85,40.94,52453
2010-04-16,40.56,42.01,39.98,41.23,75505
2010-04-19,40.27,40.65,39.79,40.65,26349
2010-04-20,40.94,41.52,40.75,41.52,20181
2010-04-21,41.52,42.01,40.75,42.01,43128
2010-04-22,42.1,42.1,40.85,41.04,35136
2010-04-23,41.52,42.1,41.04,42.1,28918
