Date,Open,High,Low,Close,Volume
2017-07-14,8.87,9.26,8.33,8.48,876523.0
2017-07-17,8.58,9.26,8.43,9.11,250280.0
2017-07-18,9.26,9.6,8.87,9.16,111006.0
2017-07-19,9.16,9.16,8.48,8.72,88414.0
2017-07-20,8.53,8.72,8.09,8.72,115507.0
2017-07-21,8.82,8.87,8.33,8.58,22018.0
2017-07-24,8.97,8.97,8.04,8.87,78017.0
2017-07-25,8.68,9.07,8.43,8.82,30337.0
2017-07-26,8.82,12.14,8.82,11.7,705970.0
2017-07-27,11.4,11.65,10.33,10.33,258563.0
2017-07-28,10.33,12.67,10.04,12.53,258102.0
2017-07-31,12.53,12.96,11.55,12.09,208104.0
2017-08-01,12.09,12.33,10.97,11.4,63511.0
2017-08-02,11.4,11.65,10.43,11.65,66061.0
2017-08-03,11.65,14.09,11.21,14.09,635923.0
2017-08-04,13.7,13.74,12.72,13.06,345596.0
2017-08-07,12.77,13.55,12.57,12.82,217225.0
2017-08-08,12.82,13.01,12.14,12.48,101473.0
2017-08-09,12.14,12.18,11.79,12.18,82756.0
2017-08-10,12.09,12.87,11.94,12.14,62928.0
2017-08-11,12.14,12.28,11.6,12.18,44951.0
2017-08-14,12.28,12.48,11.6,11.79,60566.0
2017-08-15,11.7,11.75,11.36,11.7,11748.0
2017-08-16,11.84,11.84,11.45,11.75,18727.0
2017-08-17,11.84,11.99,11.5,11.7,40894.0
2017-08-18,11.7,12.14,11.5,11.89,36961.0
2017-08-21,11.89,11.89,11.36,11.75,37302.0
2017-08-22,11.7,12.62,11.7,12.57,40917.0
2017-08-23,12.57,12.57,12.18,12.48,22749.0
2017-08-24,12.62,13.65,12.48,13.45,59292.0
2017-08-25,13.5,13.79,13.26,13.45,37901.0
2017-08-28,13.7,15.21,13.55,13.65,58137.0
2017-08-29,13.65,13.65,12.57,12.82,69667.0
2017-08-30,12.53,13.99,11.75,13.7,84278.0
2017-08-31,13.65,14.48,12.87,13.94,98919.0
2017-09-01,14.04,14.28,13.45,14.13,47677.0
2017-09-04,14.04,14.52,13.35,14.04,45860.0
2017-09-05,14.13,17.06,14.13,17.06,174866.0
2017-09-06,16.96,18.91,16.57,18.81,249952.0
2017-09-07,19.11,19.79,17.35,18.03,203620.0
2017-09-08,17.94,18.72,17.35,18.33,84238.0
2017-09-11,19.01,21.25,18.81,21.25,206415.0
2017-09-12,21.83,24.66,21.44,24.27,271921.0
2017-09-13,24.37,24.86,21.54,22.81,320844.0
2017-09-14,22.81,23.98,21.64,22.42,153462.0
2017-09-15,22.42,23.3,21.44,22.91,135445.0
2017-09-18,22.91,23.3,20.27,21.05,130718.0
2017-09-19,20.96,20.96,19.11,20.27,180280.0
2017-09-20,20.57,23.3,20.47,21.54,137091.0
2017-09-21,21.44,22.71,20.08,22.61,100396.0
2017-09-22,22.91,23.88,22.71,23.78,120996.0
2017-09-25,24.08,25.44,24.08,25.05,127332.0
2017-09-26,24.95,24.95,22.91,22.91,116616.0
2017-09-27,23.1,24.08,22.61,23.39,70163.0
2017-09-28,23.88,24.37,22.03,24.17,61637.0
2017-09-29,24.17,24.27,23.39,23.59,32373.0
2017-10-02,23.88,23.98,21.15,21.93,47332.0
2017-10-03,22.03,22.03,20.08,21.54,123565.0
2017-10-04,21.54,21.83,20.18,21.44,32904.0
2017-10-05,22.42,25.54,22.42,24.86,230245.0
2017-10-06,24.86,26.12,23.49,24.17,198130.0
2017-10-09,24.17,24.17,22.81,23.88,34713.0
2017-10-10,23.88,24.08,22.71,23.3,30672.0
2017-10-11,23.39,23.69,22.61,22.91,17683.0
2017-10-12,23.1,23.2,21.74,22.71,21895.0
2017-10-13,22.71,23.2,21.93,23.2,22616.0
2017-10-16,23.1,23.2,21.93,22.91,15963.0
2017-10-17,22.81,24.27,22.52,23.1,44733.0
2017-10-18,23.39,24.56,22.91,24.37,29556.0
2017-10-19,24.56,24.56,23.49,23.59,15032.0
2017-10-20,23.59,24.08,22.52,23.1,19149.0
2017-10-23,23.0,23.0,22.32,22.61,36261.0
2017-10-24,23.0,23.1,21.83,22.71,22426.0
2017-10-25,23.1,23.49,22.52,23.49,18761.0
2017-10-26,23.49,23.69,22.32,23.69,42319.0
2017-10-27,24.08,24.37,23.69,23.98,15583.0
2017-10-30,23.98,23.98,22.52,23.69,14974.0
2017-10-31,23.98,23.98,23.2,23.78,14391.0
2017-11-01,23.98,24.08,23.3,23.69,10478.0
2017-11-02,23.69,23.69,22.32,23.3,33342.0
2017-11-03,23.3,23.98,22.91,23.69,14721.0
2017-11-06,23.69,23.98,22.91,23.69,21784.0
2017-11-07,23.49,23.88,22.91,23.69,25077.0
2017-11-08,23.59,24.86,23.2,24.86,46523.0
2017-11-09,24.95,27.29,24.17,26.81,93316.0
2017-11-10,26.71,26.81,24.86,26.51,55193.0
2017-11-13,26.32,26.9,25.83,26.81,18215.0
2017-11-14,26.32,28.37,26.32,28.07,71045.0
2017-11-15,28.07,28.07,26.51,27.59,59822.0
2017-11-16,27.49,28.66,26.9,27.49,83045.0
2017-11-17,27.49,27.49,25.54,25.54,41629.0
2017-11-20,25.54,25.54,24.17,24.66,56767.0
2017-11-21,24.86,24.86,22.81,23.2,97546.0
2017-11-22,23.98,24.47,22.13,22.42,65958.0
2017-11-23,22.42,22.91,20.47,22.91,69092.0
2017-11-24,23.1,23.1,21.74,22.13,27326.0
2017-11-27,22.13,22.32,20.76,22.22,39815.0
2017-11-28,21.64,22.32,20.57,20.86,51389.0
2017-11-29,19.79,21.54,17.55,20.18,64508.0
2017-11-30,20.18,20.18,18.42,19.5,106730.0
2017-12-01,19.3,19.5,18.13,18.91,43476.0
2017-12-04,18.91,22.13,18.91,22.13,52975.0
2017-12-05,22.13,22.91,20.57,21.74,37222.0
2017-12-06,22.03,22.03,20.47,21.05,10067.0
2017-12-07,21.05,21.44,20.27,20.86,10790.0
2017-12-08,20.86,21.25,20.57,21.25,7135.0
2017-12-11,21.05,21.05,19.98,20.57,9007.0
2017-12-12,20.57,20.96,19.4,19.4,15273.0
2017-12-13,19.98,19.98,18.91,19.59,15979.0
2017-12-14,19.59,19.59,18.91,19.3,5322.0
2017-12-15,19.3,19.5,18.91,19.5,7834.0
2017-12-18,19.5,19.5,18.72,19.01,11651.0
2017-12-19,19.11,19.3,18.33,18.72,34306.0
2017-12-20,18.42,19.4,18.13,18.62,33346.0
2017-12-21,18.42,20.27,18.23,19.3,27297.0
2017-12-22,19.5,20.18,19.5,19.5,12169.0
2017-12-27,19.5,20.66,19.2,20.57,17945.0
2017-12-28,20.18,21.05,20.18,20.66,26382.0
2017-12-29,20.86,21.15,20.27,20.27,11261.0
2018-01-02,20.47,20.96,20.32,20.81,13667.0
2018-01-03,20.47,21.59,20.47,21.35,29773.0
2018-01-04,21.54,23.0,21.54,22.03,19530.0
2018-01-05,22.03,22.08,21.59,21.59,5590.0
2018-01-08,21.59,22.96,21.59,22.22,18264.0
2018-01-09,22.37,22.96,21.93,22.42,10642.0
2018-01-10,22.71,23.49,22.08,23.39,15325.0
2018-01-11,23.49,23.49,22.91,22.91,14128.0
2018-01-12,23.05,25.34,22.91,25.05,91516.0
2018-01-15,26.22,26.22,24.52,25.15,53055.0
2018-01-16,25.64,25.64,22.91,23.98,48886.0
2018-01-17,24.37,26.07,23.69,23.98,78924.0
2018-01-18,24.37,24.47,23.05,23.49,30887.0
2018-01-19,23.1,23.83,22.47,23.78,45912.0
2018-01-22,24.37,24.37,23.0,23.54,15529.0
2018-01-23,23.88,24.27,23.39,24.13,15995.0
2018-01-24,23.78,24.13,22.86,23.98,18222.0
2018-01-25,23.78,23.78,22.61,23.39,16222.0
2018-01-26,23.39,23.49,22.96,22.96,16492.0
2018-01-29,23.2,23.35,21.79,22.18,34117.0
2018-01-30,22.18,23.69,21.15,21.64,96726.0
2018-01-31,21.54,21.59,20.47,21.35,24280.0
2018-02-01,21.35,21.49,20.27,21.44,58108.0
2018-02-02,21.44,23.39,20.96,21.74,101303.0
2018-02-05,21.44,21.44,19.3,19.98,88358.0
2018-02-06,17.45,19.5,17.45,19.5,90750.0
2018-02-07,19.69,21.05,18.73,19.64,27127.0
2018-02-08,19.59,19.59,18.07,18.52,31396.0
2018-02-09,17.6,18.91,17.55,18.62,59974.0
2018-02-12,18.52,20.37,18.5,19.24,23487.0
2018-02-13,19.64,19.64,19.32,19.32,2992.0
2018-02-14,19.32,19.69,18.64,19.3,17512.0
2018-02-15,19.74,20.08,19.54,20.08,10563.0
2018-02-16,20.18,20.18,19.32,19.89,6321.0
2018-02-19,19.93,20.13,18.95,19.3,5978.0
2018-02-20,18.91,20.13,18.54,19.93,6325.0
2018-02-21,20.18,20.18,19.01,20.13,9705.0
2018-02-22,20.13,20.57,19.01,19.64,23112.0
2018-02-23,19.64,20.37,19.59,19.69,3166.0
2018-02-26,20.08,20.08,19.36,19.69,10786.0
2018-02-27,19.69,19.98,19.32,19.98,6183.0
2018-02-28,20.18,21.1,19.5,20.47,34951.0
2018-03-01,20.47,20.86,19.5,19.5,5823.0
2018-03-02,19.44,20.23,19.44,20.03,9002.0
2018-03-05,19.4,20.13,19.26,19.98,8323.0
2018-03-06,20.18,20.18,19.5,19.79,11622.0
2018-03-07,19.74,21.44,19.74,20.91,29886.0
2018-03-08,20.96,20.96,20.13,20.13,3232.0
2018-03-09,21.4,21.4,19.98,20.32,11426.0
2018-03-12,20.32,21.01,19.54,20.32,9232.0
2018-03-13,19.79,20.86,19.79,19.79,8765.0
2018-03-14,20.13,20.13,19.07,19.34,30588.0
2018-03-15,19.36,19.64,19.05,19.44,15251.0
2018-03-16,19.09,19.42,19.01,19.34,9437.0
2018-03-19,18.89,19.34,18.89,19.24,15418.0
2018-03-20,19.24,19.36,18.87,19.36,3170.0
2018-03-21,19.36,19.44,18.68,19.36,4428.0
2018-03-22,18.91,19.14,18.62,18.68,17245.0
2018-03-23,18.03,18.68,18.03,18.46,16436.0
2018-03-26,18.09,18.42,17.72,17.84,9949.0
2018-03-27,17.78,18.87,17.74,18.54,3807.0
2018-03-28,18.52,18.79,18.05,18.05,9509.0
2018-03-29,16.82,16.82,14.64,14.64,95067.0
2018-04-03,14.64,14.91,13.35,14.19,61528.0
2018-04-04,14.19,15.58,14.19,15.58,31263.0
2018-04-05,15.91,17.55,15.91,17.06,24309.0
2018-04-06,16.86,16.86,16.24,16.67,12131.0
2018-04-09,16.08,16.65,15.48,16.06,10947.0
2018-04-10,16.36,16.36,15.28,15.28,1916.0
2018-04-11,15.56,17.31,15.54,15.56,15506.0
2018-04-12,15.56,15.56,15.32,15.54,7383.0
2018-04-13,15.21,15.58,14.74,15.58,16563.0
2018-04-16,15.19,17.08,14.89,16.08,10594.0
2018-04-17,16.08,16.08,15.56,15.64,9728.0
2018-04-18,16.47,16.47,15.71,15.89,2628.0
2018-04-19,16.47,16.47,15.21,15.23,4636.0
2018-04-20,15.11,15.38,14.93,15.11,5437.0
2018-04-23,15.11,15.28,15.07,15.19,3460.0
2018-04-24,15.19,15.48,14.62,15.03,8482.0
2018-04-25,15.3,15.3,14.74,14.99,1932.0
2018-04-26,15.28,15.28,14.35,14.62,4073.0
2018-04-27,16.65,16.65,14.84,14.84,7228.0
2018-04-30,14.84,14.84,14.84,14.84,0.0
2018-05-02,14.84,15.42,14.23,14.87,26631.0
2018-05-03,15.11,15.13,13.92,14.82,17965.0
2018-05-04,14.82,15.67,14.82,15.67,20916.0
2018-05-07,15.85,15.85,15.38,15.77,7915.0
2018-05-08,15.79,15.79,14.82,14.82,10624.0
2018-05-09,14.82,14.99,14.62,14.66,5060.0
2018-05-11,14.35,14.37,13.78,14.17,13880.0
2018-05-14,13.9,14.31,13.0,13.49,21669.0
2018-05-15,13.32,13.32,12.79,12.81,7424.0
2018-05-16,12.81,13.72,12.67,13.14,16773.0
2018-05-17,13.14,13.39,12.89,13.26,26177.0
2018-05-18,12.96,14.54,12.96,14.13,24325.0
2018-05-21,15.11,15.25,14.45,14.72,10257.0
2018-05-22,14.54,14.87,14.33,14.6,6992.0
2018-05-23,14.86,14.99,13.78,14.99,9998.0
2018-05-24,15.3,15.3,14.41,14.41,4465.0
2018-05-25,14.64,14.95,14.6,14.72,9258.0
2018-05-28,14.62,14.99,14.43,14.58,12325.0
2018-05-29,14.84,15.99,14.04,14.04,67488.0
2018-05-30,13.72,13.86,13.14,13.16,29389.0
2018-05-31,13.22,13.65,13.16,13.16,25247.0
2018-06-01,14.82,14.87,13.69,13.96,13660.0
2018-06-04,13.76,14.62,13.74,14.52,14340.0
2018-06-05,14.52,16.47,14.52,15.87,36354.0
2018-06-06,15.87,15.87,15.87,15.87,0.0
2018-06-07,16.14,18.03,16.14,17.57,36681.0
2018-06-08,17.57,18.15,16.55,17.57,11123.0
2018-06-11,17.57,19.36,17.57,18.25,9475.0
2018-06-12,18.97,19.3,18.56,19.22,26823.0
2018-06-13,19.22,19.22,17.84,19.18,18966.0
2018-06-14,18.81,18.81,17.6,18.19,3802.0
2018-06-15,18.19,18.19,16.84,17.06,23972.0
2018-06-18,17.55,17.55,17.53,17.55,515.0
2018-06-19,16.94,17.84,16.94,17.84,6895.0
2018-06-20,17.16,18.17,17.16,17.55,11950.0
2018-06-21,17.55,17.84,16.57,16.8,8722.0
2018-06-22,16.8,16.8,16.8,16.8,0.0
2018-06-25,17.06,17.06,15.6,16.55,13042.0
2018-06-26,16.57,16.57,15.87,16.34,3564.0
2018-06-27,15.99,16.18,15.64,15.97,5976.0
2018-06-28,15.65,16.26,15.65,15.93,2506.0
2018-06-29,15.99,17.06,15.6,17.06,14243.0
2018-07-02,15.79,18.48,15.79,16.98,9469.0
2018-07-03,17.29,17.6,16.59,16.82,1083.0
2018-07-04,16.84,16.84,16.04,16.14,6258.0
2018-07-05,16.08,16.08,15.81,15.97,3509.0
2018-07-06,15.75,16.63,15.3,16.63,14457.0
2018-07-09,16.26,16.26,15.6,15.99,17253.0
2018-07-10,15.97,16.24,15.6,15.93,13257.0
2018-07-11,16.65,16.65,15.64,15.87,11548.0
2018-07-12,16.14,16.55,15.23,15.6,16571.0
2018-07-13,15.3,15.87,14.99,15.46,23157.0
