Date,Open,High,Low,Close,Volume
2014-04-03,71.49,75.9,71.49,75.68,6272749.0
2014-04-04,77.88,79.21,76.12,77.22,1712913.0
2014-04-07,77.44,78.99,75.9,77.44,414796.0
2014-04-08,77.88,78.55,77.0,77.66,404578.0
2014-04-09,78.1,78.1,76.12,76.78,293694.0
2014-04-10,76.78,76.78,75.02,76.12,257711.0
2014-04-11,75.9,76.34,74.57,75.46,183952.0
2014-04-14,76.34,76.78,74.57,75.46,195421.0
2014-04-15,75.9,75.9,74.57,75.02,181477.0
2014-04-16,74.8,75.68,74.35,75.24,192224.0
2014-04-17,75.24,75.24,74.57,74.8,14105.0
2014-04-22,75.02,75.46,73.91,74.13,72245.0
2014-04-23,74.13,75.02,73.69,74.8,94478.0
2014-04-24,74.57,77.66,74.13,77.0,381374.0
2014-04-25,77.0,77.44,75.9,77.44,176269.0
2014-04-28,76.78,77.44,76.34,76.78,134540.0
2014-04-29,77.66,78.99,77.66,78.99,100906.0
2014-04-30,78.99,78.99,76.78,76.78,77386.0
2014-05-02,77.44,77.66,76.34,76.34,70084.0
2014-05-05,77.44,77.88,75.9,77.66,71841.0
2014-05-06,77.66,80.75,77.22,80.31,164513.0
2014-05-07,80.09,80.09,79.21,80.09,62243.0
2014-05-08,82.96,83.62,81.64,83.62,296322.0
2014-05-09,83.18,85.61,82.96,85.17,326885.0
2014-05-12,85.17,86.27,84.28,85.61,132319.0
2014-05-13,85.61,86.93,82.96,84.94,598065.0
2014-05-14,84.28,86.27,84.28,85.17,149338.0
2014-05-15,85.61,86.05,85.17,85.83,356272.0
2014-05-16,85.61,85.61,84.28,84.72,122894.0
2014-05-19,83.62,85.83,82.52,83.18,39033.0
2014-05-20,83.4,84.28,81.41,82.96,30091.0
2014-05-21,83.18,83.4,82.52,82.96,51364.0
2014-05-22,82.52,85.17,82.52,84.72,62911.0
2014-05-23,85.17,86.49,84.06,84.28,131190.0
2014-05-26,84.5,84.72,83.18,84.06,42403.0
2014-05-27,84.5,85.17,84.06,84.72,41183.0
2014-05-28,85.17,86.49,84.06,86.49,31014.0
2014-05-30,86.27,86.49,85.61,86.49,69805.0
2014-06-02,86.05,86.71,84.72,85.83,110207.0
