Date,Open,High,Low,Close,Volume
2010-01-04,253.28,273.44,253.28,268.4,31509.0
2010-01-05,269.66,277.22,269.66,275.96,39000.0
2010-01-07,277.22,288.56,275.96,287.3,63143.0
2010-01-08,289.82,296.12,278.48,284.78,68080.0
2010-01-11,288.56,288.56,278.48,282.26,37768.0
2010-01-12,281.0,284.78,273.44,283.52,63629.0
2010-01-13,274.7,283.52,265.88,269.66,84329.0
2010-01-14,278.48,292.34,274.7,292.34,124661.0
2010-01-15,292.34,292.34,282.26,286.04,50719.0
2010-01-18,281.0,281.0,274.7,277.22,47591.0
2010-01-19,277.22,278.48,272.18,278.48,37330.0
2010-01-20,277.22,284.78,275.96,278.48,45940.0
2010-01-21,281.0,284.78,272.18,274.7,27923.0
2010-01-22,269.66,274.7,265.88,268.4,32951.0
2010-01-25,268.4,272.18,262.1,262.1,18952.0
2010-01-26,260.84,262.1,250.76,262.1,46684.0
2010-01-27,259.58,274.7,255.8,272.18,24287.0
2010-01-28,279.74,288.56,267.14,281.0,70318.0
2010-01-29,279.74,284.78,274.7,283.52,34746.0
2010-02-01,283.52,287.3,278.48,286.04,43004.0
2010-02-02,287.3,287.3,279.74,283.52,23108.0
2010-02-03,282.26,283.52,278.48,278.48,20077.0
2010-02-04,282.26,282.26,264.62,270.92,30911.0
2010-02-05,267.14,267.14,257.06,264.62,32217.0
2010-02-08,264.62,268.4,248.24,257.06,42615.0
2010-02-09,255.8,255.8,241.94,244.46,32708.0
2010-02-10,244.46,250.76,235.64,249.5,47437.0
2010-02-11,248.24,252.02,245.72,245.72,10846.0
2010-02-12,244.46,246.98,226.82,245.72,52052.0
2010-02-15,241.94,245.72,234.38,234.38,17226.0
2010-02-16,235.64,244.46,234.38,240.68,14882.0
2010-02-17,244.46,263.36,239.42,262.1,20651.0
2010-02-18,264.62,264.62,250.76,255.8,16937.0
2010-02-19,255.8,255.8,250.76,254.54,6225.0
2010-02-22,252.02,254.54,244.46,250.76,12833.0
2010-02-23,250.76,250.76,241.94,244.46,14628.0
2010-02-24,244.46,244.46,233.12,244.46,23363.0
2010-02-25,240.68,248.24,239.42,241.94,9419.0
