Date,Open,High,Low,Close,Volume
2018-07-02,7.7,7.7,6.25,7.6,52500.0
2018-07-03,7.9,8.2,7.72,8.0,26626.0
2018-07-04,8.37,9.1,8.1,8.1,25952.0
2018-07-05,9.0,9.0,8.4,8.65,7652.0
2018-07-06,7.3,7.85,7.3,7.85,1930.0
2018-07-09,7.9,7.9,7.01,7.23,3600.0
2018-07-10,6.9,7.88,6.9,7.88,7860.0
2018-07-11,7.9,8.16,7.9,8.1,13200.0
2018-07-12,8.1,8.5,7.85,8.25,13424.0
2018-07-13,8.55,9.2,8.25,8.6,26208.0
2018-07-16,8.61,8.61,8.28,8.56,8225.0
2018-07-17,8.25,8.25,8.0,8.0,14850.0
2018-07-18,7.6,8.5,7.55,8.45,7329.0
2018-07-19,8.45,8.45,7.7,8.0,5815.0
2018-07-20,7.75,7.9,7.06,7.2,9524.0
2018-07-23,7.19,7.2,7.19,7.2,3222.0
2018-07-24,7.3,8.28,7.3,7.8,8703.0
2018-07-25,7.8,7.83,7.3,7.83,2173.0
2018-07-26,7.51,8.0,7.5,8.0,2688.0
2018-07-27,8.0,8.0,7.4,7.9,9794.0
2018-07-30,8.7,8.7,7.5,7.9,7627.0
2018-07-31,7.5,8.59,7.5,8.59,4283.0
2018-08-01,8.59,8.59,8.1,8.25,4874.0
2018-08-02,8.8,8.8,8.0,8.1,5818.0
2018-08-03,8.0,8.1,8.0,8.1,5143.0
2018-08-06,8.5,8.5,8.0,8.28,5101.0
2018-08-07,7.62,7.63,7.62,7.63,2050.0
2018-08-08,8.48,8.48,7.6,7.6,2273.0
2018-08-09,8.45,8.47,7.83,8.05,655.0
2018-08-10,7.8,7.9,7.8,7.9,6340.0
2018-08-13,8.2,8.3,8.0,8.0,6300.0
2018-08-14,8.0,8.0,7.7,8.0,2288.0
2018-08-15,8.05,8.05,8.0,8.0,4395.0
2018-08-16,8.46,8.46,8.2,8.2,3305.0
2018-08-17,8.0,8.0,7.9,7.9,4200.0
2018-08-20,7.9,8.0,7.51,7.51,14626.0
2018-08-21,7.51,7.51,7.5,7.5,4193.0
2018-08-22,7.5,7.99,7.0,7.99,9893.0
2018-08-23,7.99,8.0,7.0,8.0,6866.0
2018-08-24,8.0,8.0,7.5,7.8,2500.0
2018-08-27,7.8,7.8,7.8,7.8,267.0
2018-08-28,7.26,8.2,7.25,7.5,3020.0
2018-08-29,7.3,7.6,7.3,7.5,3570.0
2018-08-30,8.0,8.0,7.87,7.9,767.0
2018-08-31,8.0,8.45,7.97,7.97,14068.0
2018-09-03,7.97,7.97,7.97,7.97,0.0
2018-09-04,7.12,8.0,7.12,8.0,10799.0
2018-09-05,8.45,8.5,7.5,8.3,18616.0
2018-09-06,8.2,8.28,7.55,7.6,16088.0
2018-09-07,7.61,7.63,7.61,7.62,1551.0
2018-09-10,7.5,8.0,7.5,7.8,9266.0
2018-09-11,7.8,7.8,7.5,7.5,6540.0
2018-09-12,7.5,7.8,7.12,7.8,22911.0
2018-09-13,7.8,7.8,7.6,7.6,499.0
2018-09-14,7.8,7.8,7.8,7.8,1100.0
2018-09-17,7.95,7.95,7.8,7.8,1499.0
2018-09-18,7.8,7.8,7.41,7.8,2322.0
2018-09-19,7.5,7.65,7.25,7.49,27817.0
2018-09-20,7.3,7.3,7.25,7.25,195.0
2018-09-21,7.25,7.45,7.1,7.32,1484.0
2018-09-24,7.11,7.11,7.1,7.11,7801.0
2018-09-25,7.0,8.0,7.0,7.4,18221.0
2018-09-26,7.4,8.0,7.4,7.95,11170.0
2018-09-27,7.95,7.95,7.95,7.95,0.0
2018-09-28,7.9,7.9,7.9,7.9,100.0
2018-10-01,7.22,7.84,7.22,7.84,2443.0
2018-10-02,7.84,7.84,7.84,7.84,0.0
2018-10-03,7.22,7.75,7.0,7.75,18290.0
2018-10-04,7.02,7.2,7.0,7.2,2534.0
2018-10-05,7.0,7.2,7.0,7.0,20972.0
2018-10-08,7.19,7.2,6.5,7.0,5893.0
2018-10-09,7.0,7.0,7.0,7.0,50.0
2018-10-10,7.0,7.03,7.0,7.03,4155.0
