Date,Open,High,Low,Close,Volume
2010-01-04,4.88,5.09,4.88,5.02,717916.0
2010-01-05,5.02,5.17,4.88,5.09,390221.0
2010-01-07,5.09,5.17,4.95,5.02,491246.0
2010-01-08,4.95,5.09,4.95,5.02,424366.0
2010-01-11,5.09,5.31,4.95,5.02,772214.0
2010-01-12,4.95,5.02,4.81,4.95,1504576.0
2010-01-13,4.95,4.95,4.88,4.88,246738.0
2010-01-14,4.88,4.88,4.81,4.88,384758.0
2010-01-15,4.81,4.88,4.74,4.88,306902.0
2010-01-18,4.81,4.95,4.74,4.88,409741.0
2010-01-19,4.95,4.95,4.74,4.88,378644.0
2010-01-20,4.88,4.88,4.74,4.81,205810.0
2010-01-21,4.81,4.88,4.74,4.74,304971.0
2010-01-22,4.74,4.81,4.53,4.67,556813.0
2010-01-25,4.6,4.67,4.53,4.6,644465.0
2010-01-26,4.6,4.6,4.39,4.46,577846.0
2010-01-27,4.39,4.67,4.32,4.6,446243.0
2010-01-28,4.6,4.74,4.6,4.6,766614.0
2010-01-29,4.67,4.74,4.53,4.74,249907.0
2010-02-01,4.74,4.88,4.6,4.88,695095.0
2010-02-02,4.95,5.17,4.74,4.88,2959783.0
2010-02-03,4.95,4.95,4.67,4.81,767992.0
2010-02-04,4.74,4.81,4.6,4.67,299846.0
2010-02-05,4.74,4.74,4.53,4.6,351886.0
2010-02-08,4.6,4.6,4.39,4.46,642761.0
2010-02-09,4.53,4.53,4.46,4.53,147000.0
2010-02-10,4.53,4.6,4.39,4.53,267137.0
2010-02-11,4.53,4.67,4.46,4.6,358102.0
2010-02-12,4.6,4.67,4.46,4.53,99029.0
2010-02-15,4.53,4.67,4.46,4.46,314167.0
2010-02-16,4.6,4.6,4.46,4.6,270789.0
2010-02-17,4.6,4.67,4.53,4.67,234002.0
2010-02-18,4.67,4.67,4.53,4.67,140493.0
2010-02-19,4.67,4.74,4.6,4.67,302910.0
2010-02-22,4.67,4.74,4.6,4.67,165189.0
2010-02-23,4.74,4.74,4.53,4.53,169739.0
2010-02-24,4.53,4.6,4.53,4.53,31078.0
2010-02-25,4.6,4.6,4.53,4.53,263987.0
2010-02-26,4.53,4.6,4.46,4.46,234184.0
2010-03-01,4.46,4.53,4.46,4.46,160784.0
2010-03-02,4.46,4.6,4.46,4.53,264202.0
2010-03-03,4.53,4.6,4.46,4.46,85551.0
2010-03-04,4.46,4.67,4.46,4.67,406790.0
2010-03-05,4.67,4.74,4.6,4.74,343075.0
2010-03-08,4.74,4.81,4.6,4.67,326388.0
2010-03-09,4.74,4.81,4.67,4.81,350211.0
2010-03-10,4.81,5.09,4.81,5.02,1319888.0
2010-03-11,5.02,5.38,4.95,5.31,2094669.0
2010-03-12,5.38,5.38,5.17,5.24,1184371.0
2010-03-15,5.24,5.38,5.09,5.17,698730.0
2010-03-16,5.31,5.31,5.17,5.31,606388.0
