Date,Open,High,Low,Close,Volume
2009-12-03,79.21,79.57,79.02,79.02,168907.0
2009-12-04,79.02,79.93,78.12,78.66,93320.0
2009-12-07,78.48,78.84,76.66,77.75,276986.0
2009-12-08,77.75,78.12,77.21,77.57,174706.0
2009-12-09,77.75,77.93,76.48,77.03,185481.0
2009-12-10,77.39,77.57,76.66,77.39,98208.0
2009-12-11,76.84,80.48,76.84,80.11,178612.0
2009-12-14,80.48,83.93,80.48,82.84,427973.0
2009-12-15,82.66,84.84,82.66,84.84,329983.0
2009-12-16,84.84,87.38,84.84,85.38,352728.0
2009-12-17,85.56,87.2,85.38,85.75,211644.0
2009-12-18,85.75,85.75,83.2,83.57,306973.0
2009-12-21,83.02,85.02,82.11,83.38,288841.0
2009-12-22,83.38,84.47,82.11,82.84,241144.0
2009-12-23,83.02,83.38,81.93,82.48,142009.0
2009-12-28,81.75,82.66,81.2,82.11,47048.0
2009-12-29,81.39,84.47,80.66,84.29,64702.0
2009-12-30,85.2,85.75,84.66,85.75,83383.0
2010-01-04,85.2,85.38,83.57,83.57,164392.0
2010-01-05,84.29,84.29,82.48,82.84,135220.0
2010-01-07,86.47,88.11,84.29,84.84,408177.0
2010-01-08,85.75,86.47,84.66,85.38,241325.0
2010-01-11,85.56,87.38,85.56,86.11,242234.0
2010-01-12,86.11,87.2,85.56,87.2,318388.0
2010-01-13,87.02,89.2,86.47,88.65,269173.0
2010-01-14,89.38,92.1,89.02,92.1,240394.0
2010-01-15,92.29,93.01,90.11,90.83,312805.0
2010-01-18,90.83,91.92,90.83,91.56,73277.0
2010-01-19,92.1,92.1,89.38,90.83,145715.0
2010-01-20,90.83,92.47,90.47,91.74,578296.0
2010-01-21,91.38,93.56,90.65,90.65,466324.0
2010-01-22,90.65,92.29,90.47,91.2,212149.0
2010-01-25,91.56,92.29,89.74,90.11,290917.0
2010-01-26,89.38,90.11,87.38,88.11,158378.0
2010-01-27,89.2,89.2,86.84,87.56,207789.0
2010-01-28,88.11,89.38,87.74,89.02,123935.0
2010-01-29,89.38,89.38,86.11,86.65,369008.0
2010-02-01,86.11,87.02,85.75,87.02,173930.0
2010-02-02,87.2,87.74,85.93,87.38,153959.0
2010-02-03,88.29,88.65,86.65,87.2,111936.0
2010-02-04,87.2,88.83,84.66,85.38,417853.0
2010-02-05,84.29,85.38,83.57,84.29,99295.0
2010-02-08,85.38,85.75,82.84,84.84,98835.0
2010-02-09,84.11,84.84,83.02,83.93,97130.0
2010-02-10,84.29,86.65,84.11,84.84,154009.0
2010-02-11,86.11,86.11,84.66,85.38,162778.0
2010-02-12,81.02,81.57,73.94,73.94,792285.0
2010-02-15,73.94,75.03,69.4,69.76,476314.0
2010-02-16,69.76,71.76,69.58,70.67,260465.0
2010-02-17,71.39,71.39,69.76,70.3,230506.0
2010-02-18,71.21,73.39,70.49,73.39,460104.0
2010-02-19,71.21,74.85,71.21,72.85,418175.0
2010-02-22,73.39,73.39,72.12,72.67,205222.0
2010-02-23,73.03,73.94,71.58,71.94,168272.0
2010-02-24,72.67,73.21,71.03,71.03,287313.0
2010-02-25,70.85,71.94,70.49,70.49,158362.0
2010-02-26,71.58,71.58,69.58,70.3,233046.0
