Date,Open,High,Low,Close,Volume
2015-04-22,16.63,16.63,7.72,11.43,320257.0
2015-04-23,11.01,11.22,9.47,10.59,30197.0
2015-04-24,10.07,11.08,10.07,10.52,20926.0
2015-04-27,10.31,10.31,9.01,9.12,25731.0
2015-04-28,8.98,10.59,8.7,8.98,9149.0
2015-04-29,9.12,9.12,8.7,8.7,998.0
2015-04-30,9.12,9.12,8.77,9.12,1853.0
2015-05-04,8.8,8.8,8.8,8.8,656.0
2015-05-05,8.7,8.7,8.7,8.7,5588.0
2015-05-06,8.7,8.98,8.7,8.98,1597.0
2015-05-07,8.7,8.77,8.7,8.77,21725.0
2015-05-08,8.7,9.12,8.7,8.87,7128.0
2015-05-11,8.7,8.98,8.7,8.7,2281.0
2015-05-12,8.7,8.7,8.7,8.7,3835.0
2015-05-13,8.7,8.7,8.7,8.7,86.0
2015-05-15,8.7,8.94,8.7,8.8,1994.0
2015-05-18,8.8,8.84,8.7,8.84,3051.0
2015-05-19,8.7,8.7,8.7,8.7,171.0
2015-05-20,8.7,9.01,8.7,8.7,969.0
2015-05-21,8.7,8.73,8.7,8.7,3678.0
2015-05-22,8.73,8.84,8.7,8.7,7014.0
2015-05-25,8.7,9.26,8.7,9.26,7705.0
2015-05-26,8.77,8.91,8.77,8.77,1611.0
2015-05-27,8.8,8.8,8.49,8.49,3507.0
2015-05-28,8.49,8.49,7.96,7.96,9152.0
2015-05-29,7.96,7.96,7.96,7.96,1540.0
2015-06-01,7.89,7.89,6.42,7.86,1056.0
2015-06-02,7.08,7.12,6.8,6.94,6937.0
2015-06-03,7.01,7.05,6.66,6.66,3805.0
2015-06-04,6.21,6.59,6.17,6.31,6225.0
2015-06-05,6.07,6.31,5.89,6.31,5688.0
2015-06-08,6.21,6.21,5.72,5.72,2623.0
2015-06-09,5.79,6.87,5.79,6.38,7293.0
2015-06-10,5.47,6.07,5.47,5.72,5046.0
2015-06-11,5.51,5.54,4.98,4.98,5152.0
2015-06-12,5.33,5.4,5.26,5.4,4582.0
2015-06-15,5.33,8.56,5.33,8.42,14335.0
2015-06-16,6.31,7.79,6.17,7.79,399.0
2015-06-17,7.79,7.79,7.79,7.79,143.0
2015-06-18,8.42,8.42,7.79,7.79,61.0
2015-06-22,7.72,8.42,7.72,8.07,6063.0
2015-06-23,7.93,7.93,7.93,7.93,114.0
2015-06-24,7.79,7.86,7.79,7.86,86.0
2015-06-25,7.86,7.86,7.86,7.86,0.0
2015-06-26,7.86,7.86,7.86,7.86,114.0
2015-06-29,8.07,8.07,8.07,8.07,456.0
2015-06-30,7.72,7.75,7.72,7.75,1055.0
2015-07-01,7.75,7.75,7.75,7.75,0.0
2015-07-02,7.93,7.93,7.75,7.75,2124.0
2015-07-03,7.72,7.72,7.72,7.72,285.0
2015-07-06,7.72,7.72,7.72,7.72,0.0
2015-07-07,7.79,7.79,7.79,7.79,29.0
2015-07-08,7.79,7.79,7.72,7.72,4790.0
2015-07-09,7.72,7.72,7.3,7.3,9779.0
2015-07-10,7.01,7.3,7.01,7.16,114.0
2015-07-13,7.16,7.44,7.16,7.16,171.0
2015-07-14,7.12,7.12,7.08,7.08,570.0
2015-07-15,7.01,7.01,6.98,6.98,356.0
2015-07-16,7.01,7.12,7.01,7.12,1825.0
2015-07-17,7.05,7.05,7.05,7.05,29.0
2015-07-20,6.98,7.72,6.94,6.94,114.0
2015-07-21,7.16,7.19,7.16,7.19,2240.0
2015-07-22,7.16,7.16,7.16,7.16,29.0
2015-07-23,7.23,7.23,7.16,7.16,285.0
2015-07-24,7.16,8.42,7.16,8.07,1333.0
2015-07-27,8.07,8.38,8.07,8.07,3051.0
2015-07-28,8.14,8.38,8.07,8.38,1597.0
2015-07-29,7.44,7.72,7.44,7.72,456.0
2015-07-30,7.72,8.42,7.72,8.42,1055.0
2015-07-31,8.66,9.26,8.66,8.8,1668.0
2015-08-03,8.42,8.42,8.42,8.42,29.0
2015-08-04,8.42,8.42,8.42,8.42,86.0
2015-08-05,8.42,8.42,8.42,8.42,584.0
2015-08-06,8.45,8.45,8.42,8.42,114.0
2015-08-07,8.28,8.28,8.28,8.28,29.0
2015-08-10,8.28,8.42,8.28,8.42,399.0
2015-08-11,8.35,8.35,8.28,8.28,285.0
2015-08-13,8.28,8.28,8.28,8.28,0.0
2015-08-17,8.42,8.42,8.07,8.07,5916.0
2015-08-18,7.93,7.93,7.93,7.93,100.0
2015-08-19,7.93,7.93,7.93,7.93,0.0
2015-08-20,7.93,7.93,7.93,7.93,1447.0
2015-08-21,7.93,7.93,7.08,7.12,8126.0
2015-08-24,6.87,6.87,6.07,6.28,5126.0
2015-08-25,5.96,5.96,5.72,5.86,1451.0
2015-08-26,5.54,5.54,5.26,5.26,4003.0
2015-08-27,5.12,5.12,4.56,4.56,7299.0
2015-08-28,4.56,4.66,4.45,4.66,5873.0
2015-08-31,4.31,4.31,3.02,4.24,8873.0
2015-09-01,4.28,4.28,3.39,3.47,15916.0
2015-09-02,3.51,3.51,3.51,3.51,7128.0
2015-09-03,3.41,3.41,3.41,3.41,29.0
2015-09-04,3.23,3.24,3.16,3.16,10307.0
2015-09-07,3.09,3.09,3.09,3.09,57.0
2015-09-08,3.02,3.02,2.8,2.8,15903.0
2015-09-09,2.86,2.86,2.86,2.86,4277.0
2015-09-10,2.94,2.94,2.94,2.94,36.0
2015-09-11,3.01,3.01,3.01,3.01,713.0
2015-09-14,2.95,2.95,2.81,2.95,7858.0
2015-09-15,2.86,2.86,2.86,2.86,29.0
2015-09-16,2.86,2.86,2.86,2.86,57.0
2015-09-17,2.86,2.96,2.86,2.92,713.0
2015-09-18,2.81,2.95,2.81,2.95,1789.0
2015-09-21,2.96,2.97,2.81,2.81,8488.0
2015-09-22,2.81,2.81,2.76,2.76,5374.0
2015-09-23,2.68,2.68,2.68,2.68,827.0
2015-09-24,2.63,2.63,2.63,2.63,29.0
2015-09-25,2.39,2.56,2.39,2.56,10569.0
2015-09-28,2.56,2.62,2.56,2.6,2081.0
2015-09-29,2.6,2.6,2.6,2.6,0.0
2015-10-01,2.1,2.29,2.04,2.29,428.0
2015-10-02,2.17,2.24,1.99,1.99,9791.0
2015-10-05,1.99,2.06,1.99,2.06,86.0
2015-10-06,2.06,2.13,2.06,2.08,114.0
2015-10-07,2.07,2.07,2.07,2.07,3801.0
2015-10-08,2.13,2.25,2.13,2.25,18157.0
2015-10-09,2.21,2.21,2.21,2.21,57.0
2015-10-12,2.2,2.2,2.2,2.2,428.0
2015-10-13,2.2,2.2,2.2,2.2,0.0
2015-10-14,2.2,2.2,2.2,2.2,143.0
2015-10-15,2.2,2.2,2.2,2.2,0.0
2015-10-20,2.17,2.41,1.44,1.44,18154.0
