Date,Open,High,Low,Close,Volume
2010-01-04,66.5,67.45,66.43,67.34,3782343
2010-01-05,67.49,67.68,66.96,66.96,2576308
2010-01-07,66.05,67.45,66.05,66.73,6129858
2010-01-08,66.96,67.99,66.92,67.87,4337870
2010-01-11,68.37,69.32,68.29,68.29,4177591
2010-01-12,67.91,68.21,66.16,66.24,5869148
2010-01-13,65.67,67.26,65.1,66.81,6854193
2010-01-14,67.15,67.64,66.81,67.04,5760267
2010-01-15,66.24,66.73,65.44,65.93,7843763
2010-01-18,65.86,66.2,65.29,65.63,4106116
2010-01-19,64.87,65.59,63.76,65.44,8560218
2010-01-20,64.94,65.17,63.27,63.5,5962714
2010-01-21,63.92,64.18,62.13,62.47,8044878
2010-01-22,62.24,62.62,61.37,62.24,7307974
2010-01-25,61.56,63.65,61.37,63.27,8496078
2010-01-26,62.7,63.12,61.94,63.12,5686417
2010-01-27,62.39,64.03,62.05,63.46,8600291
2010-01-28,64.68,64.83,60.34,60.76,12665791
2010-01-29,61.25,62.39,60.49,61.79,5876312
2010-02-01,61.37,62.93,61.21,62.85,3955094
2010-02-02,63.0,63.12,61.4,62.51,7607154
2010-02-03,60.99,64.56,60.11,64.14,20571371
2010-02-04,64.14,64.68,62.09,62.24,6633737
2010-02-05,62.09,62.43,60.68,61.14,7583980
2010-02-08,61.18,61.75,59.58,60.57,5345508
2010-02-09,60.49,61.6,60.23,60.91,5718254
2010-02-10,61.82,62.32,60.0,60.68,5233173
2010-02-11,61.1,61.98,60.57,61.25,4757847
2010-02-12,61.63,62.05,58.89,59.16,8335571
2010-02-15,59.65,59.77,57.37,58.17,8558687
2010-02-16,59.05,59.16,57.71,59.08,7041798
2010-02-17,59.73,60.72,59.54,60.42,4872212
2010-02-18,60.42,61.18,59.96,61.02,5804576
2010-02-19,60.64,62.24,60.38,62.01,8261676
2010-02-22,62.39,62.58,61.1,61.21,3296662
2010-02-23,61.52,61.6,59.73,59.88,5483422
2010-02-24,59.88,60.3,58.59,59.08,9907565
2010-02-25,58.93,59.12,57.94,58.17,6833264
2010-02-26,58.48,58.89,57.9,58.4,6368620
2010-03-01,59.12,59.81,58.89,59.73,6280998
2010-03-02,59.73,60.68,59.62,60.34,7001955
2010-03-03,60.3,61.1,60.15,60.95,4944893
2010-03-04,60.95,62.01,60.68,61.56,10469539
2010-03-05,61.48,63.8,61.48,63.46,9132794
2010-03-08,63.92,64.83,63.65,64.18,6630473
2010-03-09,63.99,64.45,63.42,64.3,5374944
2010-03-10,65.17,66.58,64.56,66.24,12525496
2010-03-11,65.97,66.43,65.48,65.89,5001389
2010-03-12,66.2,68.56,65.97,67.57,12259716
2010-03-15,67.57,67.61,66.46,66.73,5074106
2010-03-16,66.96,67.57,66.5,67.26,5213663
2010-03-17,67.8,68.6,67.64,68.14,4224893
2010-03-18,67.8,68.33,67.57,67.91,4302870
2010-03-19,68.02,69.28,67.42,67.64,9627559
2010-03-22,67.49,68.06,66.69,67.68,5297676
2010-03-23,67.99,69.32,67.68,69.32,4793836
2010-03-24,69.62,69.93,68.37,69.47,4961924
2010-03-25,69.2,69.66,68.75,69.47,5136364
2010-03-26,69.55,69.55,68.6,68.86,3959981
2010-03-29,69.32,69.66,68.1,68.29,4229570
2010-03-30,68.86,69.05,68.06,68.29,3384080
2010-03-31,68.21,68.86,67.95,68.67,5202875
2010-04-01,69.24,71.79,68.9,71.72,5566906
2010-04-06,71.83,74.42,71.75,73.43,10297062
2010-04-07,73.05,73.35,71.45,71.83,6496068
2010-04-08,71.83,71.91,70.42,71.68,5298337
2010-04-09,71.98,72.67,71.91,72.51,2318434
2010-04-12,73.2,73.39,72.21,72.78,3137395
2010-04-13,71.07,71.72,69.7,71.52,8659277
2010-04-14,71.68,71.98,70.95,71.56,4869617
2010-04-15,71.91,73.24,71.22,73.24,8535423
2010-04-16,76.09,78.75,75.9,76.62,22295252
2010-04-19,76.09,76.85,74.72,75.14,7300088
2010-04-20,75.94,77.69,75.37,77.23,5775898
2010-04-21,77.61,77.61,75.41,75.41,6711417
2010-04-22,75.29,76.01,74.11,75.22,5047828
2010-04-23,76.01,80.2,75.25,79.97,10062089
2010-04-26,80.88,82.41,80.66,81.42,9151509
2010-04-27,81.34,81.49,78.75,78.75,5848816
2010-04-28,78.6,79.44,76.55,77.76,7694404
2010-04-29,77.76,80.28,77.31,79.89,5522384
2010-04-30,80.58,81.04,79.59,79.89,3330255
2010-05-03,79.36,80.81,78.83,80.35,3425280
2010-05-04,80.96,83.09,76.17,77.08,16536200
2010-05-05,76.93,77.39,73.47,74.01,15134112
2010-05-06,73.35,76.2,72.47,73.08,15101899
2010-05-07,70.85,72.66,67.74,70.39,21260416
2010-05-10,73.16,76.08,72.7,75.08,11584141
2010-05-11,74.85,75.2,73.81,74.7,4720575
2010-05-12,73.85,75.54,73.01,75.31,6233815
2010-05-14,75.89,76.08,72.7,73.08,7859507
2010-05-17,71.85,73.77,71.58,72.62,6958430
2010-05-18,73.2,73.97,72.01,73.28,7092502
2010-05-19,72.24,72.55,69.66,70.32,9248228
2010-05-20,70.55,70.93,66.21,67.59,7847883
2010-05-21,67.24,69.36,67.13,68.97,9872105
2010-05-24,69.63,70.32,67.36,68.4,4937632
2010-05-25,66.44,67.74,65.4,66.24,9840540
2010-05-26,67.74,69.36,66.86,68.59,5113534
2010-05-27,69.13,71.32,69.01,70.66,7080436
2010-05-28,72.05,72.05,70.55,70.97,4301067
2010-05-31,71.2,71.82,70.93,71.28,1708232
2010-06-01,71.12,71.85,68.97,71.05,5330673
2010-06-02,70.51,71.74,69.55,71.47,5018105
2010-06-03,72.62,73.66,72.47,72.93,4986411
2010-06-04,73.28,74.35,71.35,71.89,6891393
2010-06-07,70.47,71.47,69.55,69.86,6114523
