Date,Close,High,Low,Open,Volume
2015-01-15,71.39,72.4,68.7,68.7,55994.0
2015-01-16,71.39,71.39,70.72,71.39,41405.0
2015-01-19,71.39,71.56,71.06,71.06,28450.0
2015-01-20,71.39,71.73,71.39,71.39,51758.0
2015-01-21,71.39,72.07,71.39,71.39,68050.0
2015-01-22,71.39,72.07,70.72,72.07,25651.0
2015-01-23,71.73,71.73,70.72,71.39,47906.0
2015-01-26,71.39,72.4,71.39,72.24,22280.0
2015-01-27,71.06,71.73,71.06,71.73,8183.0
2015-01-28,72.07,72.07,72.07,72.07,917.0
2015-01-29,71.9,71.9,71.9,71.9,10000.0
2015-01-30,71.73,71.9,71.73,71.73,10207.0
2015-02-02,72.24,72.4,71.73,71.9,10685.0
2015-02-03,72.57,73.41,72.07,72.07,5124.0
2015-02-04,72.74,72.74,72.57,72.57,7550.0
2015-02-05,72.74,72.74,72.74,72.74,1445.0
2015-02-06,72.4,72.74,72.4,72.74,1689.0
2015-02-09,72.24,72.24,72.07,72.24,5100.0
2015-02-10,71.73,72.07,71.73,72.07,8983.0
2015-02-11,71.73,71.73,71.73,71.73,5500.0
2015-02-12,72.07,72.07,71.73,71.73,17100.0
2015-02-13,72.24,72.74,72.24,72.74,4493.0
2015-02-16,72.07,72.74,72.07,72.74,12046.0
2015-02-17,72.07,72.07,71.9,71.9,5700.0
2015-02-18,71.9,72.07,71.73,72.07,4930.0
2015-02-19,71.9,72.07,71.73,72.07,3350.0
2015-02-20,72.07,72.07,71.73,71.73,20204.0
2015-02-23,72.07,72.07,71.73,71.73,10445.0
2015-02-24,72.07,72.74,72.07,72.74,2274.0
2015-02-25,72.74,73.08,72.4,72.4,41477.0
2015-02-26,72.74,72.74,72.07,72.74,8100.0
2015-02-27,72.07,72.24,72.07,72.07,12766.0
2015-03-02,73.08,73.08,72.57,72.57,4014.0
2015-03-03,72.4,73.25,72.4,73.08,8654.0
2015-03-04,72.74,72.74,72.4,72.74,20151.0
2015-03-05,72.74,72.74,72.4,72.57,15550.0
2015-03-06,72.4,72.4,72.4,72.4,10500.0
2015-03-09,72.57,72.57,72.24,72.4,7676.0
2015-03-10,72.4,72.57,72.4,72.57,4625.0
2015-03-11,71.73,72.4,70.72,72.4,15304.0
2015-03-12,71.73,72.57,71.73,71.73,12026.0
2015-03-13,71.73,71.73,71.39,71.39,51000.0
2015-03-16,71.06,71.39,70.72,71.39,61000.0
2015-03-17,71.06,71.39,70.89,71.06,58915.0
2015-03-18,71.39,71.39,71.06,71.06,16930.0
2015-03-19,71.73,71.73,71.39,71.73,12908.0
2015-03-20,72.74,73.58,71.73,71.73,15914.0
2015-03-23,72.57,73.08,72.07,72.91,1776.0
2015-03-24,72.4,72.57,72.4,72.57,5385.0
2015-03-25,72.74,72.74,72.4,72.74,6480.0
2015-03-26,72.74,72.74,72.74,72.74,6530.0
2015-03-27,72.07,72.74,71.39,72.74,9911.0
2015-03-30,73.41,74.09,72.74,72.91,41538.0
2015-03-31,74.09,74.42,73.25,73.58,28309.0
2015-04-01,74.26,74.26,74.09,74.26,16103.0
2015-04-02,74.09,74.26,73.75,74.26,7638.0
2015-04-07,74.26,74.59,74.09,74.26,27035.0
2015-04-08,75.6,76.11,74.09,74.59,14969.0
2015-04-09,75.27,75.94,74.76,75.77,6397.0
2015-04-10,74.59,75.27,74.59,75.27,57296.0
2015-04-13,74.76,74.76,74.09,74.76,10901.0
2015-04-14,74.42,75.1,73.75,75.1,39091.0
2015-04-15,74.42,74.76,74.09,74.59,49205.0
2015-04-16,74.42,74.76,74.09,74.76,8919.0
2015-04-17,74.42,74.59,74.09,74.59,4682.0
2015-04-20,74.42,74.42,74.09,74.42,5018.0
2015-04-21,74.42,74.59,74.09,74.42,5646.0
2015-04-22,74.42,74.42,74.09,74.09,11631.0
2015-04-23,73.92,74.93,73.75,74.59,19467.0
2015-04-24,75.43,75.43,74.4,75.43,12555.0
2015-04-27,75.09,75.78,74.4,75.78,10595.0
2015-04-28,75.09,75.43,75.09,75.43,7449.0
2015-04-29,74.92,75.09,74.75,75.09,4924.0
2015-04-30,74.75,75.61,74.4,74.92,13761.0
2015-05-04,75.09,75.61,74.75,75.61,21796.0
2015-05-05,74.75,75.09,74.57,75.09,5698.0
2015-05-06,74.92,75.09,74.57,75.09,11151.0
2015-05-07,74.57,75.09,74.4,75.09,13172.0
2015-05-08,74.4,74.75,74.4,74.75,21750.0
2015-05-11,74.57,74.92,74.4,74.57,5341.0
2015-05-12,74.4,75.09,74.4,75.09,8452.0
2015-05-13,74.23,74.4,73.88,74.4,10638.0
2015-05-15,74.4,74.4,74.06,74.4,6167.0
2015-05-18,74.4,75.09,73.71,75.09,4701.0
2015-05-19,74.23,74.4,73.88,74.4,6852.0
2015-05-20,74.4,74.4,74.06,74.4,5748.0
2015-05-21,74.06,74.4,73.88,74.4,4078.0
2015-05-22,74.06,74.4,74.06,74.4,6712.0
2015-05-25,74.4,74.4,74.06,74.4,2038.0
2015-05-26,74.06,74.4,74.06,74.06,5714.0
2015-05-27,74.23,74.4,73.88,73.88,15454.0
2015-05-28,73.54,74.4,73.37,74.23,24304.0
2015-05-29,73.37,74.23,73.02,73.37,16585.0
2015-06-01,73.54,74.23,73.2,74.23,1698.0
2015-06-02,73.71,74.23,73.71,73.71,4084.0
2015-06-03,74.06,74.23,73.88,74.23,3272.0
2015-06-04,74.4,74.4,73.88,73.88,13608.0
2015-06-05,73.71,74.4,73.71,74.4,87506.0
2015-06-08,73.54,74.06,73.2,73.71,8511.0
2015-06-09,73.71,73.71,73.37,73.71,6233.0
2015-06-10,73.54,73.71,73.37,73.71,9183.0
2015-06-11,73.37,73.71,73.37,73.71,10526.0
2015-06-12,72.68,73.71,72.68,73.71,12511.0
2015-06-15,72.68,73.02,72.68,72.85,4072.0
2015-06-16,72.68,73.02,71.65,73.02,5220.0
2015-06-17,71.65,72.68,71.65,72.68,7687.0
2015-06-18,72.33,72.33,71.65,71.65,1717.0
2015-06-22,73.02,73.02,71.99,72.33,6411.0
2015-06-23,73.37,74.06,72.85,73.2,35028.0
2015-06-24,73.2,73.71,72.68,73.71,6550.0
2015-06-25,73.71,74.4,73.37,73.37,5023.0
2015-06-26,73.37,74.23,73.02,74.23,15920.0
2015-06-29,74.04,74.39,73.69,74.39,5780.0
2015-06-30,73.33,74.04,73.33,73.86,2988.0
2015-07-01,73.86,73.86,73.33,73.33,1645.0
2015-07-02,73.86,73.86,73.69,73.86,8426.0
2015-07-03,73.33,73.69,73.33,73.69,2164.0
2015-07-06,72.8,73.33,72.8,73.33,8044.0
2015-07-07,72.8,73.33,72.8,73.33,5623.0
2015-07-08,72.63,73.33,72.45,73.16,54456.0
2015-07-09,72.98,73.33,72.63,72.8,8972.0
2015-07-10,73.16,73.33,72.98,73.33,14648.0
2015-07-13,74.04,74.57,73.33,73.33,29022.0
2015-07-14,74.92,75.1,74.39,75.1,3543.0
2015-07-15,74.39,74.92,74.39,74.74,2438.0
2015-07-16,74.74,75.1,74.04,75.1,10197.0
2015-07-17,75.27,75.27,74.74,74.74,3930.0
2015-07-20,75.45,75.45,74.21,74.21,586.0
2015-07-21,75.45,75.98,75.1,75.45,3967.0
2015-07-22,75.8,75.8,75.1,75.45,15993.0
2015-07-23,76.15,76.15,75.45,75.45,4520.0
2015-07-24,76.15,76.15,75.98,76.15,1376.0
2015-07-27,75.45,75.98,75.1,75.8,12498.0
2015-07-28,75.45,75.45,75.1,75.45,4237.0
2015-07-29,74.92,75.45,74.74,75.45,3769.0
2015-07-30,75.45,75.45,74.74,75.1,4309.0
2015-07-31,74.57,75.27,74.57,75.27,14912.0
2015-08-03,75.8,75.8,75.45,75.45,1087.0
2015-08-04,75.8,75.8,75.1,75.27,2813.0
2015-08-05,75.45,76.15,75.1,75.8,3661.0
2015-08-06,75.45,75.8,75.45,75.45,1520.0
2015-08-07,75.45,75.8,75.45,75.45,2119.0
2015-08-10,75.27,75.98,74.74,75.45,4646.0
2015-08-11,74.74,75.1,74.74,75.1,6319.0
2015-08-12,74.74,75.45,74.74,74.74,3758.0
2015-08-13,74.92,75.27,74.92,74.92,352.0
2015-08-14,74.04,74.92,73.86,74.92,7270.0
2015-08-17,73.69,74.74,73.69,74.74,5130.0
2015-08-18,74.21,74.21,73.86,74.04,12966.0
2015-08-19,75.45,75.45,74.04,75.27,10700.0
2015-08-20,75.27,75.27,74.04,74.74,5741.0
2015-08-21,73.69,75.1,73.33,74.04,4827.0
2015-08-24,72.1,73.86,72.1,73.86,8570.0
2015-08-25,73.33,74.04,71.92,72.63,3571.0
2015-08-26,72.63,73.86,72.1,73.33,9086.0
2015-08-27,74.04,74.74,73.33,73.33,9307.0
2015-08-28,74.74,74.74,73.51,73.51,6121.0
2015-08-31,74.74,74.74,74.04,74.04,8919.0
