Date,Open,High,Low,Close,Volume
2010-01-04,51.45,51.95,50.69,50.69,599539.0
2010-01-05,50.95,51.2,50.06,50.82,361221.0
2010-01-07,50.82,51.07,50.06,50.95,447771.0
2010-01-08,50.95,52.33,50.82,52.21,469733.0
2010-01-11,52.58,53.09,52.08,52.33,405606.0
2010-01-12,52.58,52.58,50.69,51.07,654060.0
2010-01-13,50.44,51.07,49.56,50.06,919441.0
2010-01-14,50.19,50.82,49.94,50.19,378254.0
2010-01-15,50.95,51.32,50.57,50.95,304772.0
2010-01-18,51.07,51.07,50.31,50.95,240403.0
2010-01-19,50.95,50.95,50.06,50.19,497174.0
2010-01-20,50.44,50.57,49.31,49.56,433194.0
2010-01-21,49.81,50.06,47.92,48.42,629170.0
2010-01-22,48.55,48.93,47.16,47.29,669033.0
2010-01-25,47.41,47.79,46.28,46.41,366659.0
2010-01-26,46.28,46.91,44.77,45.9,542908.0
2010-01-27,45.9,46.91,45.27,46.66,628668.0
2010-01-28,47.04,47.41,45.27,45.52,651701.0
2010-01-29,45.78,46.53,44.89,45.65,431980.0
2010-02-01,46.15,49.43,46.15,49.05,1076459.0
2010-02-02,49.68,49.94,48.17,48.93,445289.0
2010-02-03,49.31,49.56,48.17,48.3,407684.0
2010-02-04,48.55,48.8,46.66,46.66,356965.0
2010-02-05,46.41,46.41,44.51,45.52,938259.0
2010-02-08,46.15,46.15,43.63,44.51,904664.0
2010-02-09,41.36,41.36,32.03,32.03,8737076.0
2010-02-10,32.79,34.93,32.79,33.8,5005772.0
2010-02-11,34.68,34.8,33.54,34.55,1236033.0
2010-02-12,34.93,34.93,31.9,32.28,1220698.0
2010-02-15,32.53,32.66,29.51,30.52,2140589.0
2010-02-16,30.39,30.52,29.26,30.01,1111871.0
2010-02-17,30.14,30.89,29.76,30.64,1390677.0
2010-02-18,30.77,30.89,30.14,30.52,806622.0
2010-02-19,30.77,33.42,30.64,32.53,2174354.0
2010-02-22,33.92,34.17,32.53,32.79,668111.0
2010-02-23,33.04,33.16,31.53,31.53,613684.0
2010-02-24,32.16,32.28,31.53,32.03,342795.0
2010-02-25,31.53,32.16,31.27,31.65,312791.0
2010-02-26,32.03,32.03,31.4,31.53,230408.0
2010-03-01,31.78,32.53,31.4,32.41,362237.0
2010-03-02,32.66,33.29,32.53,33.29,401488.0
2010-03-03,33.29,34.55,31.9,32.28,1375410.0
2010-03-04,32.91,34.17,32.66,33.8,859677.0
2010-03-05,34.05,34.43,33.8,33.92,539685.0
2010-03-08,34.55,34.55,33.67,33.92,327068.0
2010-03-09,33.92,34.05,33.04,33.29,562861.0
2010-03-10,32.79,33.29,32.79,33.04,293635.0
2010-03-11,32.91,34.05,32.79,33.8,547581.0
2010-03-12,34.8,36.95,34.8,35.69,2145255.0
2010-03-15,36.44,36.44,35.81,36.07,506747.0
2010-03-16,36.44,36.44,35.31,35.31,433544.0
2010-03-17,35.31,35.43,33.67,34.8,767684.0
2010-03-18,35.06,35.18,34.43,34.43,229919.0
2010-03-19,35.18,36.32,34.68,35.69,846352.0
2010-03-22,36.07,36.32,35.81,36.07,437497.0
2010-03-23,35.81,36.32,35.31,35.69,464106.0
2010-03-24,36.19,36.19,34.68,35.06,508129.0
2010-03-25,35.31,35.56,34.68,35.56,352253.0
2010-03-26,35.56,35.69,35.18,35.43,270758.0
2010-03-29,35.81,35.81,35.43,35.56,208236.0
2010-03-30,35.69,36.07,35.56,35.94,613952.0
