Date,Open,High,Low,Close,Volume
2010-04-01,488738.0,488738.0,488738.0,488738.0,0.0
2011-06-01,515716.0,515716.0,515716.0,515716.0,0.0
2012-04-03,1099.63,1112.13,1087.14,1099.63,44.0
2012-04-04,1124.63,1124.63,1099.63,1099.63,69.0
2012-04-05,1137.12,1137.12,1087.14,1087.14,54.0
2012-04-10,1074.64,1112.13,1062.15,1062.15,103.0
2012-04-11,1087.14,1087.14,1087.14,1087.14,16.0
2012-04-12,1074.64,1087.14,1062.15,1074.64,77.0
2012-04-13,1087.14,1087.14,1087.14,1087.14,35.0
2012-04-16,1099.63,1099.63,1099.63,1099.63,5.0
2012-04-17,1074.64,1099.63,1074.64,1099.63,13.0
2012-04-18,1074.64,1099.63,1062.15,1099.63,27.0
2012-04-19,1087.14,1087.14,1037.16,1062.15,37.0
2012-04-20,1049.65,1074.64,1037.16,1037.16,58.0
2012-04-23,1024.66,1074.64,1024.66,1062.15,74.0
2012-04-24,1062.15,1062.15,1062.15,1062.15,11.0
2012-04-25,1037.16,1049.65,999.67,1049.65,23.0
2012-04-26,1062.15,1099.63,1037.16,1099.63,130.0
2012-04-27,1087.14,1087.14,1074.64,1074.64,11.0
2012-04-30,1037.16,1074.64,1037.16,1037.16,11.0
2012-05-02,1037.16,1062.15,1012.16,1012.16,218.0
2012-05-03,1037.16,1037.16,987.17,999.67,105.0
2012-05-04,1024.66,1024.66,974.68,1024.66,86.0
2012-05-07,1049.65,1049.65,1012.16,1012.16,49.0
2012-05-08,1037.16,1037.16,937.19,937.19,97.0
2012-05-09,949.68,1012.16,937.19,937.19,59.0
2012-05-10,937.19,1049.65,924.69,1049.65,100.0
2012-05-11,1012.16,1012.16,974.68,974.68,76.0
2012-05-14,949.68,999.67,949.68,962.18,27.0
2012-05-15,962.18,987.17,962.18,962.18,24.0
2012-05-16,1012.16,1012.16,949.68,962.18,36.0
2012-05-18,937.19,949.68,924.69,937.19,48.0
2012-05-21,962.18,962.18,924.69,924.69,8.0
2012-05-22,937.19,987.17,937.19,974.68,88.0
2012-05-23,949.68,962.18,912.2,962.18,31.0
2012-05-24,924.69,937.19,912.2,912.2,66.0
2012-05-25,899.7,974.68,899.7,937.19,39.0
2012-05-28,937.19,937.19,887.21,899.7,108.0
2012-05-29,937.19,962.18,912.2,924.69,111.0
2012-05-30,899.7,924.69,887.21,887.21,51.0
2012-05-31,912.2,912.2,862.21,862.21,29.0
2012-06-01,899.7,899.7,824.73,874.71,172.0
2012-06-04,874.71,1049.65,849.72,1037.16,128.0
2012-06-05,924.69,1037.16,924.69,1012.16,75.0
2012-06-07,1012.16,1087.14,1012.16,1037.16,102.0
2012-06-08,1062.15,1112.13,1037.16,1037.16,64.0
2012-06-11,1099.63,1137.12,1087.14,1124.63,196.0
2012-06-12,1124.63,1162.11,1087.14,1112.13,126.0
2012-06-13,1149.62,1149.62,1062.15,1099.63,33.0
2012-06-14,1087.14,1087.14,1062.15,1062.15,21.0
2012-06-15,1112.13,1162.11,1112.13,1124.63,53.0
2012-06-18,1099.63,1124.63,1099.63,1124.63,33.0
2012-06-19,1074.64,1137.12,1062.15,1124.63,13.0
2012-06-20,1074.64,1112.13,1062.15,1112.13,12.0
2012-06-21,1124.63,1149.62,1062.15,1124.63,57.0
2012-06-25,1062.15,1062.15,1037.16,1062.15,58.0
2012-06-26,1037.16,1062.15,1012.16,1012.16,37.0
2012-06-27,1024.66,1024.66,999.67,999.67,28.0
2012-06-28,1024.66,1024.66,1012.16,1012.16,29.0
2012-06-29,1024.66,1149.62,1024.66,1137.12,240.0
2012-07-02,1137.12,1137.12,1124.63,1137.12,36.0
2012-07-03,1124.63,1124.63,1062.15,1062.15,63.0
2012-07-04,1062.15,1112.13,1062.15,1112.13,9.0
2012-07-05,1074.64,1124.63,1062.15,1124.63,5.0
2012-07-06,1124.63,1124.63,1124.63,1124.63,16.0
2012-07-09,1074.64,1112.13,1024.66,1062.15,17.0
2012-07-10,1062.15,1112.13,1037.16,1062.15,147.0
2012-07-11,1037.16,1062.15,1024.66,1037.16,50.0
2012-07-12,1049.65,1062.15,1024.66,1062.15,37.0
2012-07-13,1112.13,1112.13,1112.13,1112.13,14.0
2012-07-16,1062.15,1062.15,1062.15,1062.15,10.0
2012-07-17,1099.63,1099.63,999.67,1049.65,35.0
2012-07-18,1012.16,1037.16,974.68,1024.66,93.0
2012-07-19,1037.16,1037.16,999.67,999.67,57.0
2012-07-20,1037.16,1049.65,1024.66,1049.65,33.0
2012-07-23,1074.64,1124.63,1012.16,1012.16,42.0
2012-07-24,1062.15,1062.15,1024.66,1024.66,28.0
2012-07-25,1024.66,1062.15,1024.66,1062.15,2.0
2012-07-26,1024.66,1062.15,1024.66,1062.15,5.0
2012-07-27,1062.15,1062.15,1012.16,1062.15,55.0
2012-07-30,1037.16,1062.15,1012.16,1062.15,21.0
2012-07-31,1012.16,1124.63,1012.16,1037.16,83.0
2012-08-01,1037.16,1037.16,1037.16,1037.16,3.0
2012-08-02,1012.16,1062.15,1012.16,1062.15,3.0
2012-08-03,1062.15,1074.64,1037.16,1074.64,78.0
2012-08-06,1037.16,1074.64,1037.16,1074.64,23.0
2012-08-07,1037.16,1049.65,1024.66,1024.66,45.0
2012-08-08,1012.16,1062.15,999.67,1062.15,22.0
2012-08-09,1024.66,1037.16,1012.16,1037.16,91.0
2012-08-10,1062.15,1062.15,1012.16,1049.65,29.0
2012-08-13,999.67,1024.66,999.67,1024.66,11.0
2012-08-14,1037.16,1049.65,1024.66,1024.66,13.0
2012-08-15,1049.65,1049.65,999.67,999.67,18.0
2012-08-16,999.67,999.67,962.18,962.18,126.0
2012-08-17,962.18,999.67,949.68,999.67,99.0
2012-08-20,962.18,962.18,962.18,962.18,8.0
2012-08-21,962.18,987.17,924.69,987.17,72.0
2012-08-22,962.18,962.18,912.2,912.2,122.0
2012-08-23,924.69,937.19,924.69,924.69,50.0
2012-08-24,937.19,937.19,912.2,924.69,49.0
2012-08-27,924.69,937.19,924.69,937.19,12.0
2012-08-28,937.19,937.19,899.7,899.7,22.0
2012-08-29,899.7,899.7,899.7,899.7,12.0
2012-08-30,899.7,899.7,874.71,899.7,38.0
2012-08-31,912.2,912.2,862.21,899.7,57.0
2012-09-03,974.68,974.68,899.7,924.69,242.0
2012-09-04,962.18,987.17,924.69,987.17,181.0
2012-09-05,974.68,974.68,937.19,949.68,9.0
2012-09-06,937.19,949.68,937.19,937.19,28.0
2012-09-07,924.69,924.69,887.21,924.69,80.0
2012-09-10,887.21,912.2,887.21,912.2,54.0
2012-09-11,899.7,899.7,887.21,887.21,45.0
2012-09-12,899.7,899.7,862.21,862.21,118.0
2012-09-13,874.71,899.7,874.71,899.7,30.0
2012-09-14,937.19,937.19,874.71,899.7,196.0
2012-09-17,874.71,949.68,874.71,899.7,161.0
2012-09-18,899.7,899.7,874.71,887.21,71.0
2012-09-19,874.71,887.21,874.71,874.71,94.0
2012-09-20,887.21,887.21,874.71,887.21,25.0
2012-09-21,887.21,887.21,862.21,874.71,165.0
2012-09-24,874.71,899.7,874.71,887.21,6.0
2012-09-25,887.21,887.21,837.22,837.22,44.0
2012-09-26,837.22,862.21,824.73,837.22,131.0
2012-09-27,824.73,899.7,824.73,849.72,86.0
2012-09-28,862.21,862.21,824.73,862.21,99.0
2012-10-01,862.21,862.21,837.22,862.21,110.0
2012-10-02,849.72,862.21,849.72,849.72,40.0
2012-10-03,849.72,849.72,824.73,824.73,51.0
2012-10-04,824.73,824.73,812.23,812.23,11.0
