Date,Open,High,Low,Close,Volume
2010-04-01,0.05,0.05,0.05,0.05,327748.0
2010-04-22,0.05,0.05,0.04,0.04,1533862.0
2010-05-24,0.04,0.04,0.04,0.04,728.0
2010-06-17,0.05,0.05,0.04,0.04,761767.0
2011-01-05,0.01,0.01,0.01,0.01,174071.0
2014-11-12,3.19,3.72,3.19,3.69,174508.0
2014-11-13,3.66,3.85,3.29,3.52,123863.0
2014-11-14,3.49,3.56,3.36,3.55,56446.0
2014-11-17,3.55,3.69,3.47,3.58,43052.0
2014-11-18,3.58,3.65,3.45,3.57,26788.0
2014-11-19,3.48,3.62,3.4,3.62,26824.0
2014-11-20,3.41,3.7,3.4,3.55,90262.0
2014-11-21,3.43,3.6,3.36,3.58,13026.0
2014-11-24,3.37,3.58,3.25,3.35,60761.0
2014-11-25,3.27,3.7,3.27,3.7,19166.0
2014-11-26,3.7,3.7,3.45,3.49,14654.0
2014-11-27,3.45,3.69,3.37,3.69,8922.0
2014-11-28,3.52,3.58,3.52,3.58,44428.0
2014-12-01,3.4,3.45,3.4,3.4,11194.0
2014-12-02,3.4,3.51,3.39,3.51,25929.0
2014-12-03,3.37,3.58,3.36,3.58,18507.0
2014-12-04,3.37,3.58,3.37,3.57,11857.0
2014-12-05,3.4,3.77,3.4,3.77,110054.0
2014-12-08,3.72,3.9,3.72,3.77,33157.0
2014-12-09,3.77,3.78,3.66,3.72,38070.0
2014-12-10,3.62,3.85,3.61,3.61,70990.0
2014-12-11,3.84,3.84,3.66,3.66,15466.0
2014-12-12,3.66,3.84,3.6,3.84,27163.0
2014-12-15,3.64,3.72,3.58,3.66,10932.0
2014-12-16,3.58,3.74,3.52,3.72,62600.0
2014-12-17,3.52,3.57,3.39,3.41,81526.0
2014-12-18,3.51,3.58,3.43,3.44,11380.0
2014-12-19,3.74,3.74,3.61,3.61,910.0
2014-12-22,3.44,3.74,3.39,3.73,57713.0
2014-12-23,3.45,3.74,3.4,3.72,43572.0
2014-12-29,3.51,3.8,3.51,3.76,65255.0
2014-12-30,3.65,3.9,3.65,3.9,38754.0
2015-01-02,3.9,3.9,3.77,3.9,7320.0
2015-01-05,3.9,3.98,3.9,3.96,9297.0
2015-01-07,3.86,3.98,3.8,3.89,40757.0
2015-01-08,3.81,3.97,3.81,3.9,17746.0
2015-01-09,3.85,4.12,3.85,4.12,96893.0
2015-01-12,4.14,4.14,3.86,4.09,12669.0
2015-01-13,4.12,4.12,3.88,4.06,8474.0
2015-01-14,3.98,3.98,3.84,3.85,25572.0
2015-01-15,3.96,4.12,3.96,4.12,7068.0
2015-01-16,3.98,4.09,3.88,3.88,4141.0
2015-01-19,3.93,4.04,3.93,3.98,6369.0
2015-01-20,4.06,4.2,3.86,4.09,29319.0
2015-01-21,4.01,4.22,3.92,4.22,80160.0
2015-01-22,4.2,4.2,4.01,4.17,13878.0
2015-01-23,4.12,4.3,4.12,4.3,20557.0
2015-01-26,4.3,4.38,4.3,4.3,17236.0
2015-01-27,4.25,4.3,4.25,4.25,22655.0
2015-01-28,4.25,4.3,4.14,4.28,17556.0
2015-01-29,4.25,4.3,4.22,4.3,48634.0
2015-01-30,4.09,4.12,3.36,3.66,248116.0
2015-02-02,3.58,3.66,3.51,3.51,69606.0
2015-02-03,3.52,3.7,3.51,3.51,44108.0
2015-02-04,3.51,3.77,3.51,3.58,1406.0
2015-02-05,3.7,3.7,3.27,3.37,75368.0
2015-02-06,3.27,3.56,3.27,3.33,115852.0
2015-02-09,3.35,3.52,3.35,3.52,14130.0
2015-02-10,3.53,3.62,3.41,3.62,22065.0
2015-02-11,3.65,3.72,3.44,3.72,12317.0
2015-02-12,3.52,3.76,3.51,3.6,36393.0
2015-02-13,3.53,3.55,3.39,3.53,26054.0
2015-02-16,3.37,3.51,3.23,3.51,26161.0
2015-02-17,3.51,3.51,3.51,3.51,5636.0
2015-02-18,3.37,3.51,3.37,3.51,9456.0
2015-02-19,3.28,3.39,3.28,3.39,5364.0
2015-02-20,3.3,3.42,3.28,3.42,7494.0
2015-02-23,3.49,3.51,3.3,3.51,12076.0
2015-02-24,3.3,3.45,3.23,3.35,23824.0
2015-02-25,3.14,3.34,3.14,3.2,19725.0
2015-02-26,3.14,3.31,3.14,3.16,66019.0
2015-02-27,3.27,3.28,3.14,3.28,25003.0
2015-03-02,3.28,3.49,3.21,3.37,21652.0
2015-03-03,3.46,3.52,3.46,3.51,15675.0
2015-03-04,3.46,3.52,3.23,3.52,50027.0
2015-03-05,3.52,3.59,3.41,3.44,17602.0
2015-03-06,3.42,3.6,3.42,3.45,25941.0
2015-03-09,3.58,3.58,3.37,3.51,25537.0
2015-03-10,3.42,3.6,3.37,3.6,25892.0
2015-03-11,3.6,3.69,3.45,3.69,80973.0
2015-03-12,3.7,3.86,3.7,3.8,62234.0
2015-03-13,3.83,3.83,3.62,3.8,23786.0
2015-03-16,3.65,3.86,3.65,3.82,30267.0
2015-03-17,3.86,3.86,3.84,3.84,5516.0
2015-03-18,3.74,3.91,3.74,3.89,14482.0
2015-03-19,3.93,3.94,3.86,3.86,7353.0
2015-03-20,3.94,3.94,3.74,3.9,3154.0
2015-03-23,3.83,3.86,3.79,3.86,26241.0
2015-03-24,3.79,4.03,3.7,3.86,81656.0
2015-03-25,3.93,3.94,3.73,3.93,16044.0
2015-03-26,3.79,3.94,3.79,3.93,15802.0
2015-03-27,4.03,4.03,3.83,4.01,7922.0
2015-03-30,3.83,4.01,3.82,3.98,17443.0
2015-03-31,4.01,4.01,4.01,4.01,7315.0
2015-04-01,4.03,4.03,3.79,4.0,26616.0
2015-04-02,3.93,4.01,3.8,4.0,26630.0
2015-04-07,3.8,4.03,3.8,3.98,11628.0
2015-04-08,3.86,3.98,3.86,3.96,7288.0
2015-04-09,3.89,3.97,3.8,3.94,22414.0
2015-04-10,3.89,3.97,3.86,3.97,10721.0
2015-04-13,3.96,3.97,3.83,3.94,16671.0
2015-04-14,3.94,4.03,3.84,3.91,24641.0
2015-04-15,3.89,3.97,3.86,3.86,5685.0
2015-04-16,3.86,4.14,3.83,4.14,77567.0
2015-04-17,4.19,4.77,4.19,4.46,227816.0
2015-04-20,4.46,4.68,4.46,4.68,18770.0
2015-04-21,4.52,4.77,4.49,4.77,85809.0
2015-04-22,4.71,4.85,4.57,4.74,37348.0
2015-04-23,4.66,4.77,4.54,4.74,26585.0
2015-04-24,4.54,4.68,4.43,4.46,58707.0
2015-04-27,4.43,4.57,4.35,4.38,33690.0
2015-04-28,4.38,4.57,4.38,4.52,20825.0
2015-04-29,4.43,4.54,4.43,4.46,3347.0
2015-04-30,4.46,4.52,4.35,4.49,17874.0
2015-05-04,4.32,4.52,4.29,4.49,6395.0
2015-05-05,4.52,4.52,4.52,4.52,689.0
2015-05-06,4.29,4.49,4.01,4.32,86944.0
2015-05-07,4.03,4.29,4.03,4.26,24927.0
2015-05-08,4.24,4.24,4.03,4.24,20756.0
2015-05-11,4.08,4.52,4.08,4.32,36541.0
2015-05-12,4.24,4.24,4.04,4.18,56001.0
2015-05-13,4.19,4.29,4.11,4.11,9070.0
2015-05-15,4.43,4.43,4.21,4.21,17323.0
2015-05-18,4.11,4.17,4.04,4.14,29936.0
2015-05-19,4.04,4.21,4.04,4.12,10445.0
2015-05-20,4.21,4.43,4.19,4.43,143855.0
2015-05-21,4.46,4.46,4.03,4.24,13520.0
2015-05-22,4.19,4.19,4.01,4.18,38003.0
2015-05-25,4.17,4.17,4.01,4.01,1500.0
2015-05-26,4.14,4.18,4.03,4.18,28374.0
2015-05-27,4.19,4.35,4.05,4.05,15413.0
2015-05-28,4.18,4.18,4.05,4.15,11290.0
2015-05-29,4.15,4.17,4.04,4.12,9066.0
2015-06-01,4.04,4.08,4.01,4.08,5223.0
2015-06-02,4.0,4.07,4.0,4.0,3306.0
2015-06-03,3.97,4.03,3.84,4.01,39316.0
2015-06-04,3.86,4.01,3.84,3.84,16902.0
2015-06-05,3.93,4.0,3.93,4.0,5619.0
2015-06-08,3.82,3.82,3.74,3.76,27337.0
2015-06-09,3.67,3.89,3.67,3.87,33707.0
2015-06-10,3.7,3.87,3.67,3.84,36010.0
2015-06-11,3.79,3.83,3.69,3.83,7522.0
