Date,Open,High,Low,Close,Volume
2010-03-31,45.96,45.96,44.77,44.77,2577.0
2010-04-01,44.97,45.17,44.38,45.17,4298.0
2010-04-06,44.77,44.77,43.59,43.59,3390.0
2010-04-07,43.59,44.97,43.59,44.38,3405.0
2010-04-08,43.98,44.58,43.78,43.78,3710.0
2010-04-09,43.78,44.58,43.78,44.58,3200.0
2010-04-12,44.38,44.38,43.78,43.78,1400.0
2010-04-13,44.18,44.18,43.98,43.98,1300.0
2010-04-14,43.98,44.58,43.59,44.38,6100.0
2010-04-15,43.78,43.78,43.78,43.78,300.0
2010-04-16,43.78,43.78,43.78,43.78,3300.0
2010-04-19,43.78,43.78,43.78,43.78,5500.0
2010-04-20,43.78,44.18,43.78,44.18,5900.0
2010-04-21,44.18,44.38,43.59,43.59,1500.0
2010-04-22,43.39,43.39,43.39,43.39,500.0
2010-04-23,42.99,43.19,42.59,42.59,2250.0
2010-04-26,41.8,41.8,40.42,41.41,3045.0
2010-04-27,41.21,41.6,41.21,41.6,2364.0
2010-04-28,40.81,41.6,40.61,40.61,2236.0
2010-04-29,40.61,40.61,40.22,40.22,926.0
2010-05-03,40.02,40.22,39.62,40.22,8640.0
2010-05-04,37.09,37.09,34.95,34.95,3000.0
2010-05-05,36.45,36.85,35.26,35.26,4650.0
2010-05-06,33.68,34.39,33.68,34.31,1353.0
2010-05-07,33.28,33.28,33.28,33.28,2247.0
2010-05-10,33.12,33.92,33.12,33.92,2700.0
2010-05-11,34.55,34.71,34.39,34.71,1200.0
2010-05-12,34.39,34.39,34.23,34.23,1060.0
2010-05-14,33.6,33.6,33.6,33.6,140.0
2010-05-17,33.6,33.6,32.97,32.97,1410.0
2010-05-19,32.73,32.89,32.73,32.89,2200.0
2010-05-20,32.73,32.73,32.65,32.65,1000.0
2010-05-21,32.25,32.25,31.62,32.02,2100.0
2010-05-24,31.86,31.86,31.7,31.78,2800.0
2010-05-25,31.14,31.3,30.59,30.59,1150.0
2010-05-26,30.59,30.59,30.51,30.59,2700.0
2010-05-27,30.43,30.43,30.43,30.43,100.0
2010-05-28,30.59,30.59,30.59,30.59,600.0
2010-05-31,30.27,30.27,29.96,29.96,1500.0
2010-06-01,29.72,29.72,29.4,29.4,1050.0
2010-06-02,28.85,28.85,28.21,28.45,4200.0
2010-06-03,28.29,28.29,28.05,28.05,700.0
2010-06-04,27.89,27.97,27.89,27.97,2100.0
2010-06-07,27.26,27.26,26.79,26.86,5700.0
2010-06-08,26.47,26.55,26.39,26.39,4000.0
2010-06-09,26.55,26.55,26.55,26.55,1000.0
2010-06-10,26.55,26.55,24.57,24.57,15630.0
2010-06-11,24.41,24.96,24.41,24.96,10000.0
2010-06-14,25.44,25.99,25.04,25.99,2510.0
2010-06-16,26.31,26.39,25.91,26.39,5000.0
2010-06-18,26.86,26.86,26.86,26.86,100.0
2010-06-22,25.04,25.04,25.04,25.04,1100.0
2010-06-23,25.12,25.68,25.04,25.68,4300.0
2010-06-24,25.44,25.91,25.44,25.91,1200.0
2010-06-29,25.36,25.36,22.98,23.38,42002.0
2010-06-30,22.98,23.46,22.98,23.38,75000.0
2010-07-01,23.14,23.14,22.19,22.19,62000.0
2010-07-02,22.59,22.59,22.19,22.19,19043.0
2010-07-06,22.19,23.22,22.19,22.19,8100.0
2010-07-07,21.79,21.79,21.79,21.79,1000.0
2010-07-09,21.87,22.27,21.87,22.27,2200.0
2010-07-12,22.19,22.19,21.71,21.79,27457.0
2010-07-13,21.48,21.48,21.48,21.48,7000.0
2010-07-14,21.08,21.08,21.08,21.08,1100.0
2010-07-15,20.68,20.68,20.21,20.21,11400.0
2010-07-16,20.45,20.45,19.73,19.73,8243.0
2010-07-20,20.21,20.21,19.02,19.02,2843.0
2010-07-21,18.78,18.78,18.15,18.23,10300.0
2010-07-22,18.23,18.23,18.07,18.23,21900.0
2010-07-23,17.75,17.75,17.43,17.43,17500.0
2010-07-26,17.35,17.35,16.64,16.64,2200.0
2010-07-27,16.88,16.88,16.64,16.64,39900.0
2010-07-28,16.64,16.64,16.64,16.64,6800.0
2010-07-29,16.48,16.48,15.77,15.93,13800.0
2010-07-30,16.25,17.43,16.25,17.43,5200.0
2010-08-02,16.64,16.64,16.64,16.64,100.0
2010-08-04,16.64,16.88,16.64,16.8,2100.0
2010-08-05,16.56,19.81,16.4,19.81,3400.0
2010-08-09,17.83,17.83,17.83,17.83,4.0
2010-08-10,17.04,17.04,16.64,17.04,3000.0
2010-08-11,17.12,17.12,17.12,17.12,1000.0
2010-08-12,17.04,17.04,16.01,16.32,8544.0
2010-08-13,16.72,17.04,16.72,16.88,10000.0
2010-08-16,16.48,16.64,14.66,16.64,16150.0
2010-08-17,16.4,16.4,16.17,16.17,2000.0
2010-08-18,16.17,16.25,15.85,16.25,5300.0
2010-08-19,16.25,16.25,16.25,16.25,3100.0
2010-08-24,16.01,16.01,15.85,15.85,18200.0
2010-08-26,16.25,16.64,16.25,16.64,2300.0
2010-08-27,16.64,16.96,16.64,16.96,2000.0
2010-09-02,15.85,15.85,15.85,15.85,500.0
2010-09-03,17.43,17.43,17.43,17.43,2000.0
2010-09-06,16.96,16.96,16.09,16.09,22100.0
2010-09-07,16.17,16.17,16.17,16.17,2000.0
2010-09-08,15.85,16.01,15.85,16.01,16250.0
2010-09-09,15.77,15.85,15.45,15.85,5299.0
2010-09-10,15.45,15.45,14.98,14.98,2700.0
2010-09-13,14.9,15.22,14.66,15.22,7750.0
2010-09-14,15.06,15.06,14.74,14.74,1250.0
2010-09-15,14.74,14.9,14.74,14.74,4500.0
2010-09-16,14.5,14.58,14.5,14.5,4750.0
2010-09-17,14.11,14.5,13.87,14.5,10850.0
2010-09-20,14.5,14.66,14.5,14.66,1500.0
