Date,Open,High,Low,Close,Volume
2011-12-22,8.52,8.7,8.51,8.65,7710657.0
2011-12-23,8.65,8.65,8.65,8.65,0.0
2011-12-27,8.81,8.84,8.74,8.75,3412364.0
2011-12-28,8.74,8.82,8.62,8.74,5086621.0
2011-12-29,8.73,8.77,8.65,8.73,6195235.0
2011-12-30,8.73,8.73,8.73,8.73,0.0
2012-01-02,8.71,8.92,8.64,8.84,4675391.0
2012-01-03,8.91,8.96,8.88,8.96,8774227.0
2012-01-04,8.94,8.99,8.87,8.96,12044117.0
2012-01-05,8.98,8.98,8.88,8.93,3984694.0
2012-01-09,8.93,9.1,8.91,8.96,11404431.0
2012-01-10,9.03,9.07,8.95,9.0,8542898.0
2012-01-11,9.02,9.09,8.91,9.01,9742205.0
2012-01-12,9.03,9.05,8.93,8.98,10525234.0
2012-01-13,9.05,9.05,8.84,8.89,11770361.0
2012-01-16,8.85,8.94,8.85,8.9,6844001.0
2012-01-17,9.5,9.88,9.46,9.77,49581189.0
2012-01-18,9.77,9.92,9.71,9.74,20186169.0
2012-01-19,9.76,9.76,9.62,9.65,12983111.0
2012-01-20,9.7,9.75,9.6,9.66,9048459.0
2012-01-23,9.76,9.76,9.62,9.68,11636691.0
2012-01-24,9.64,9.72,9.46,9.58,16720528.0
2012-01-25,9.59,9.66,9.49,9.65,14840686.0
2012-01-26,9.66,9.99,9.61,9.82,29330497.0
2012-01-27,9.83,9.92,9.66,9.76,13810204.0
2012-01-30,9.71,9.75,9.58,9.72,9082188.0
2012-01-31,9.75,9.81,9.66,9.72,11451354.0
2012-02-01,9.72,10.0,9.7,9.95,12311725.0
2012-02-02,9.92,10.01,9.87,9.91,8081348.0
2012-02-03,9.92,9.95,9.8,9.92,8856865.0
2012-02-06,9.92,9.92,9.72,9.79,6923418.0
2012-02-07,9.82,9.83,9.65,9.72,9603712.0
2012-02-08,9.73,9.83,9.69,9.7,6085432.0
2012-02-09,9.71,9.87,9.69,9.82,8978150.0
2012-02-10,9.76,9.81,9.63,9.72,8464074.0
2012-02-13,9.73,9.86,9.72,9.76,6770276.0
2012-02-14,9.77,9.88,9.71,9.78,6791342.0
2012-02-15,9.82,9.91,9.81,9.87,6102537.0
2012-02-16,9.82,9.82,9.68,9.7,9909291.0
2012-02-17,9.73,9.76,9.6,9.61,11270874.0
2012-02-20,9.67,9.7,9.42,9.66,10502034.0
2012-02-21,9.7,9.87,9.7,9.76,13725595.0
2012-02-22,9.78,9.82,9.66,9.8,11142510.0
2012-02-23,9.75,9.83,9.72,9.78,8618236.0
2012-02-24,9.78,9.84,9.71,9.8,7272885.0
