Date,Open,High,Low,Close,Volume
2011-12-22,8.52,8.7,8.51,8.65,7710657.0
2011-12-23,8.65,8.65,8.65,8.65,0.0
2011-12-29,8.73,8.77,8.65,8.73,6195235.0
2011-12-30,8.73,8.73,8.73,8.73,0.0
2013-03-28,17.24,17.46,17.14,17.46,9458978.0
2018-03-14,81.52,82.31,81.25,81.98,2914493.0
2018-03-15,82.08,82.25,81.6,82.0,2863572.0
2018-03-16,82.0,83.72,81.41,83.66,4007510.0
2018-03-19,83.41,83.47,82.37,82.48,2355128.0
2018-03-20,82.77,82.89,81.56,82.18,2924254.0
2018-03-21,82.12,82.45,81.5,82.27,1991881.0
2018-03-22,81.87,81.87,80.5,81.25,2324060.0
2018-03-23,80.54,82.73,79.98,82.73,3702777.0
2018-03-26,82.99,84.81,82.69,82.91,2819049.0
2018-03-27,84.09,84.56,83.62,84.07,4385937.0
2018-03-28,83.73,85.81,83.52,85.81,2824896.0
2018-03-29,85.59,87.12,85.28,87.06,3410769.0
2018-04-03,86.92,87.02,85.46,86.18,3145027.0
2018-04-04,86.16,86.16,84.73,85.73,3132591.0
2018-04-05,87.3,87.85,86.69,87.28,2944534.0
2018-04-06,87.08,88.28,86.79,87.36,2136364.0
2018-04-09,87.85,88.28,86.51,86.94,2031097.0
2018-04-10,88.12,88.41,87.02,87.83,1882207.0
2018-04-11,87.75,88.1,87.0,87.9,3906861.0
2018-04-12,88.02,90.1,87.85,90.1,2141232.0
2018-04-13,90.76,91.62,89.88,90.12,2510530.0
2018-04-16,90.0,90.27,89.59,89.71,1643971.0
2018-04-17,90.18,90.86,89.8,90.61,1711030.0
2018-04-18,90.98,91.8,90.45,91.0,1602470.0
2018-04-19,90.84,91.96,90.35,91.45,2366956.0
2018-04-20,91.33,92.45,90.88,92.02,4288466.0
2018-04-23,92.04,93.19,91.35,92.86,2205768.0
2018-04-24,92.82,93.62,92.7,93.54,3129068.0
2018-04-25,93.52,94.21,92.11,92.96,3164774.0
2018-04-26,93.01,94.76,88.37,94.29,5844274.0
2018-04-27,94.8,95.89,94.11,95.5,2737471.0
2018-04-30,95.85,96.58,95.13,95.29,1639126.0
2018-05-02,95.97,96.32,94.78,96.23,3308971.0
2018-05-03,96.32,96.7,95.66,95.99,2109096.0
2018-05-04,96.54,97.32,95.56,96.11,1956057.0
2018-05-07,96.32,97.17,96.03,96.91,1557432.0
2018-05-08,96.91,97.48,96.01,97.48,1980723.0
2018-05-09,97.46,98.94,97.15,98.84,1292060.0
2018-05-11,98.89,99.57,97.71,98.2,2278875.0
2018-05-14,98.3,98.5,97.44,98.35,2064359.0
