Date,Open,High,Low,Close,Volume
2015-06-02,48.63,49.42,45.66,47.05,430610.0
2015-06-03,47.34,48.83,47.34,48.33,209032.0
2015-06-04,48.33,48.93,46.46,46.85,116062.0
2015-06-05,47.94,47.94,46.95,46.95,26923.0
2015-06-08,46.95,47.34,46.55,46.55,29291.0
2015-06-09,46.46,46.46,43.79,45.37,36046.0
2015-06-10,44.48,44.68,41.51,41.61,33562.0
2015-06-11,40.43,41.61,37.07,39.14,51805.0
2015-06-12,39.04,40.23,38.75,40.03,6886.0
2015-06-15,39.44,39.44,37.16,38.15,28671.0
2015-06-16,38.15,38.94,38.15,38.94,8003.0
2015-06-17,38.15,40.43,37.95,40.43,6733.0
2015-06-18,40.52,40.72,39.54,40.52,6196.0
2015-06-22,40.52,40.72,40.13,40.72,1823.0
2015-06-23,41.32,42.9,41.22,42.01,6732.0
2015-06-24,41.81,42.2,40.52,42.2,5123.0
2015-06-25,42.3,42.7,40.72,41.51,4154.0
2015-06-26,42.5,43.69,41.91,43.39,18084.0
2015-06-29,42.4,42.4,41.02,42.01,8918.0
2015-06-30,43.09,43.09,41.22,42.5,3061.0
2015-07-01,42.4,43.69,41.71,42.01,7279.0
2015-07-02,42.01,42.01,41.51,42.01,243.0
2015-07-03,41.61,42.01,41.51,41.51,1364.0
2015-07-06,41.71,41.71,40.03,41.12,3611.0
2015-07-07,41.12,42.01,40.52,41.32,2299.0
2015-07-08,41.12,41.12,40.52,40.62,2415.0
2015-07-09,40.52,42.01,40.52,41.51,1767.0
2015-07-10,42.5,43.49,41.91,41.91,1709.0
2015-07-13,41.61,43.0,41.61,42.9,4165.0
2015-07-14,42.9,42.9,39.54,40.72,5996.0
2015-07-15,42.3,42.3,40.33,41.32,3516.0
2015-07-16,41.91,42.2,41.51,42.2,2690.0
2015-07-17,42.2,42.5,41.02,41.02,2730.0
2015-07-20,40.13,40.52,39.54,39.83,4556.0
2015-07-21,39.83,40.23,39.73,39.93,4435.0
2015-07-22,39.93,39.93,39.24,39.54,4084.0
2015-07-23,39.54,39.54,39.54,39.54,613.0
2015-07-24,39.44,39.54,38.94,38.94,2061.0
2015-07-27,39.44,39.44,38.84,38.84,4724.0
