Date,Open,High,Low,Close,Volume
2017-12-11,36.4,40.4,33.1,35.0,500125.0
2017-12-12,35.2,38.1,35.0,36.1,144186.0
2017-12-13,37.1,37.1,34.5,34.7,46181.0
2017-12-14,34.9,35.8,33.2,33.5,54666.0
2017-12-15,33.2,33.8,31.5,31.8,59907.0
2017-12-18,32.0,34.3,31.3,33.9,30032.0
2017-12-19,34.0,37.0,33.9,35.3,60792.0
2017-12-20,35.0,36.3,34.5,36.2,38212.0
2017-12-21,37.5,39.3,37.0,37.0,54618.0
2017-12-22,37.5,41.3,37.4,40.0,71201.0
2017-12-27,40.0,40.1,38.8,39.8,25051.0
2017-12-28,39.8,39.8,38.5,39.3,7148.0
2017-12-29,39.1,39.8,39.1,39.8,8865.0
2018-01-02,40.0,40.0,39.0,39.49,8850.0
2018-01-03,39.49,42.5,39.49,40.79,42314.0
2018-01-04,40.79,41.9,39.0,41.9,26844.0
2018-01-05,42.0,43.98,42.0,42.7,5531.0
2018-01-08,43.59,43.95,41.2,43.2,11192.0
2018-01-09,43.2,43.94,42.0,42.19,11963.0
2018-01-10,42.5,42.5,40.45,41.5,10348.0
2018-01-11,41.5,42.0,39.62,41.48,11632.0
2018-01-12,41.48,42.5,40.3,42.0,11054.0
2018-01-15,42.0,42.4,40.8,42.35,7431.0
2018-01-16,42.35,42.35,40.0,41.0,8600.0
2018-01-17,41.0,41.0,39.0,40.49,14255.0
2018-01-18,39.6,40.69,39.6,40.69,4193.0
2018-01-19,39.6,42.9,39.5,39.99,26925.0
2018-01-22,41.8,41.8,39.7,40.0,7460.0
2018-01-23,40.1,40.4,39.4,39.7,9898.0
2018-01-24,40.0,40.0,39.4,40.0,4449.0
2018-01-25,40.0,41.0,39.1,40.6,27604.0
2018-01-26,40.4,40.8,39.1,40.8,17069.0
2018-01-29,40.2,40.2,39.0,40.2,28535.0
2018-01-30,40.0,42.0,39.8,40.5,296101.0
2018-01-31,40.5,40.5,37.6,39.7,40689.0
2018-02-01,39.9,40.7,39.5,40.4,7598.0
2018-02-02,39.7,40.9,39.5,40.9,51659.0
2018-02-05,40.9,40.9,37.1,39.2,17622.0
2018-02-06,36.0,38.9,33.4,38.8,25439.0
2018-02-07,38.8,38.8,37.2,38.5,4598.0
2018-02-08,38.0,38.0,36.3,37.2,4502.0
2018-02-09,36.5,38.6,34.0,37.0,30595.0
2018-02-12,37.0,39.0,36.8,39.0,6670.0
2018-02-13,39.1,39.8,37.9,39.3,14240.0
2018-02-14,39.5,39.5,37.8,39.3,3624.0
2018-02-15,39.3,39.3,37.4,39.0,6770.0
2018-02-16,39.0,41.7,37.5,41.0,18910.0
2018-02-19,41.1,41.6,39.8,41.0,14721.0
2018-02-20,41.6,41.6,40.1,40.9,1199.0
2018-02-21,40.0,40.5,39.4,40.0,7033.0
2018-02-22,40.0,41.0,39.6,41.0,3460.0
2018-02-23,41.0,41.0,39.0,40.9,2642.0
2018-02-26,40.5,40.5,39.5,40.0,2481.0
2018-02-27,40.0,40.0,38.3,38.9,25995.0
2018-02-28,37.0,39.0,36.5,38.9,10981.0
2018-03-01,38.8,39.0,37.7,39.0,2655.0
2018-03-02,37.4,38.8,37.4,38.4,3443.0
2018-03-05,38.2,38.9,36.3,38.9,3291.0
2018-03-06,37.5,39.6,37.5,39.6,34720.0
2018-03-07,39.6,40.0,38.5,40.0,6389.0
2018-03-08,40.0,40.0,38.6,39.8,6798.0
2018-03-09,38.5,40.0,38.5,40.0,4109.0
2018-03-12,40.0,41.8,40.0,41.2,3693.0
2018-03-13,39.0,40.1,38.1,39.6,10197.0
2018-03-14,39.0,39.6,38.9,39.6,7830.0
2018-03-15,39.8,39.9,38.9,39.6,2201.0
2018-03-16,39.6,40.9,39.0,40.9,20344.0
2018-03-19,40.1,42.9,40.1,41.1,54366.0
2018-03-20,40.9,43.8,40.0,43.3,168402.0
2018-03-21,43.4,48.6,43.3,46.9,61387.0
2018-03-22,46.2,46.9,44.0,44.8,26964.0
2018-03-23,44.0,46.8,44.0,46.0,5287.0
2018-03-26,47.0,47.0,45.1,45.1,882.0
2018-03-27,45.5,45.5,41.6,44.0,16580.0
2018-03-28,42.5,43.4,41.5,43.0,9896.0
2018-03-29,44.0,44.2,41.7,43.3,6916.0
2018-04-03,43.0,43.0,42.0,43.0,3491.0
2018-04-04,43.2,43.8,42.0,42.5,5820.0
2018-04-05,42.1,42.9,42.0,42.9,5133.0
2018-04-06,42.9,43.0,42.5,43.0,4353.0
2018-04-09,43.1,43.2,42.9,42.9,4086.0
2018-04-10,42.9,42.9,40.5,42.5,9416.0
2018-04-11,42.5,42.5,40.5,42.0,59137.0
2018-04-12,41.9,41.9,40.9,41.6,2053.0
2018-04-13,42.0,42.0,41.3,41.9,2972.0
2018-04-16,41.9,42.9,41.9,42.7,2580.0
2018-04-17,42.2,42.8,41.3,41.9,29412.0
2018-04-18,41.8,43.0,41.5,42.6,1373.0
2018-04-19,42.6,42.6,41.6,42.3,3264.0
2018-04-20,41.6,42.1,41.5,42.0,2163.0
2018-04-23,42.4,42.4,40.9,42.1,4554.0
2018-04-24,42.2,42.5,41.0,42.5,1344.0
2018-04-25,42.0,42.9,41.4,42.4,2806.0
2018-04-26,41.3,42.0,41.2,42.0,2469.0
2018-04-27,41.4,42.4,41.4,42.3,777.0
2018-04-30,43.2,43.3,42.4,43.0,2416.0
2018-05-02,42.0,42.3,41.0,41.3,8325.0
2018-05-03,41.1,42.0,40.4,42.0,10417.0
2018-05-04,41.9,42.0,39.6,40.6,32544.0
2018-05-07,39.9,40.8,39.0,40.0,8101.0
2018-05-08,40.0,41.4,39.9,40.2,24296.0
2018-05-09,40.0,40.1,39.3,39.9,6647.0
2018-05-11,39.8,39.8,38.2,39.1,9389.0
2018-05-14,39.9,41.0,39.0,40.0,6544.0
2018-05-15,39.5,40.4,39.0,40.0,9956.0
2018-05-16,41.0,41.0,39.7,40.0,9472.0
2018-05-17,40.5,40.6,39.7,40.0,10317.0
2018-05-18,40.0,40.1,39.0,39.7,7002.0
2018-05-21,39.5,40.8,38.0,38.9,42109.0
2018-05-22,39.3,39.8,38.8,39.2,5380.0
2018-05-23,39.4,40.8,39.0,40.5,28161.0
2018-05-24,40.8,41.9,40.4,41.8,8370.0
2018-05-25,41.8,41.8,39.7,40.7,8864.0
2018-05-28,41.7,42.9,41.0,41.0,10495.0
2018-05-29,43.5,44.8,42.7,43.4,15121.0
2018-05-30,44.8,44.8,43.5,43.9,2476.0
2018-05-31,43.9,45.0,41.5,43.2,16774.0
2018-06-01,43.0,43.4,42.1,42.9,4303.0
2018-06-04,43.0,45.1,43.0,43.5,5022.0
2018-06-05,43.5,45.5,43.0,45.5,1527.0
2018-06-06,45.5,45.5,45.5,45.5,0.0
2018-06-07,46.0,48.4,46.0,47.7,385840.0
2018-06-08,42.3,48.9,42.3,45.3,48628.0
2018-06-11,45.9,47.3,44.8,45.4,36272.0
2018-06-12,44.0,45.0,44.0,44.8,3605.0
2018-06-13,45.5,46.0,45.2,45.8,15944.0
2018-06-14,46.2,46.3,45.3,45.5,6443.0
2018-06-15,45.5,46.2,45.0,45.0,2453.0
2018-06-18,45.0,45.0,43.5,44.0,11513.0
2018-06-19,45.0,45.0,43.0,43.4,4284.0
2018-06-20,43.4,44.6,43.1,43.8,7151.0
2018-06-21,44.1,45.5,43.9,45.4,21259.0
2018-06-22,45.4,45.4,45.4,45.4,0.0
2018-06-25,44.4,45.3,43.9,45.0,5879.0
2018-06-26,44.5,44.5,42.9,44.5,3872.0
2018-06-27,43.0,43.9,41.4,42.3,13101.0
2018-06-28,42.2,42.2,40.9,42.0,7200.0
2018-06-29,42.0,42.5,41.9,41.9,2114.0
2018-07-02,41.9,42.3,41.2,41.2,1515.0
2018-07-03,41.1,42.0,41.1,41.4,2066.0
2018-07-04,42.0,42.0,41.0,41.0,7229.0
2018-07-05,41.0,44.0,41.0,41.4,3726.0
2018-07-06,40.8,41.4,40.0,40.8,5299.0
2018-07-09,40.5,41.6,40.5,41.6,729.0
2018-07-10,41.4,41.6,40.4,40.5,9435.0
