Date,Close,High,Low,Open,Volume
2019-07-26,8.65,9.0,8.5,9.0,4906.0
2019-07-29,8.6,8.8,8.6,8.8,4729.0
2019-07-30,9.0,9.45,8.3,8.4,11194.0
2019-07-31,9.35,9.35,8.5,9.15,23538.0
2019-08-01,8.9,9.55,8.9,9.55,11679.0
2019-08-02,9.1,9.1,8.75,8.75,1512.0
2019-08-06,8.6,8.6,8.2,8.25,15983.0
2019-08-07,8.75,8.75,8.4,8.6,5171.0
2019-08-08,8.5,8.75,8.45,8.75,1954.0
2019-08-09,8.7,8.7,8.4,8.4,232.0
2019-08-12,8.7,8.7,8.7,8.7,174.0
2019-08-13,8.4,9.05,8.0,8.7,16586.0
2019-08-14,7.9,8.4,7.9,8.3,10214.0
2019-08-15,8.2,8.2,8.0,8.0,2629.0
2019-08-16,8.35,8.4,8.05,8.05,6637.0
2019-08-19,8.45,8.7,8.4,8.4,76649.0
2019-08-20,8.2,8.35,8.0,8.35,24545.0
2019-08-21,7.8,8.35,7.8,8.3,13846.0
2019-08-22,8.8,10.0,7.6,7.6,115859.0
2019-08-23,8.8,8.85,8.5,8.85,5509.0
2019-08-26,8.6,8.6,8.4,8.5,6616.0
2019-08-27,8.8,9.0,8.5,8.6,10649.0
2019-08-28,8.75,8.8,8.5,8.8,3762.0
2019-08-29,8.5,8.8,8.3,8.75,3107.0
2019-08-30,8.55,8.95,8.4,8.5,18062.0
2019-09-02,8.25,8.55,8.1,8.3,40578.0
2019-09-03,8.5,8.7,8.15,8.3,6052.0
2019-09-04,8.2,8.45,8.2,8.2,8687.0
2019-09-05,8.5,8.5,8.1,8.3,8208.0
2019-09-06,8.45,8.45,8.2,8.2,227.0
2019-09-09,8.3,8.55,8.3,8.45,5645.0
2019-09-10,8.3,8.3,8.1,8.2,4270.0
2019-09-11,8.4,8.4,8.1,8.1,640.0
2019-09-12,8.1,8.4,8.1,8.4,3437.0
2019-09-13,8.2,8.2,7.9,8.2,1979.0
2019-09-16,8.0,8.2,7.9,8.2,1151.0
2019-09-17,8.0,8.0,7.9,8.0,3589.0
2019-09-18,8.0,8.05,7.85,8.05,7354.0
2019-09-19,7.8,8.1,7.4,7.85,3607.0
2019-09-20,7.95,7.95,7.95,7.95,200.0
2019-09-23,7.8,8.0,7.8,8.0,1155.0
2019-09-24,7.95,7.95,7.8,7.8,148.0
2019-09-25,8.1,8.1,7.95,7.95,1181.0
2019-09-26,8.1,8.1,7.8,7.8,1100.0
