Date,Open,High,Low,Close,Volume
2019-05-02,314.75,317.71,309.32,314.75,12116.0
2019-05-03,316.72,321.65,314.75,316.72,43041.0
2019-05-06,313.76,319.68,308.83,317.21,8665.0
2019-05-07,319.19,319.19,309.32,311.29,12765.0
2019-05-08,311.29,315.73,303.89,309.81,11289.0
2019-05-09,313.27,313.27,299.45,300.93,16810.0
2019-05-10,301.92,307.35,301.92,302.41,19100.0
2019-05-13,302.41,310.8,295.51,299.45,17423.0
2019-05-14,307.84,307.84,301.43,303.89,12178.0
2019-05-15,307.35,309.81,305.37,309.32,10937.0
2019-05-16,306.85,310.31,302.91,308.33,10288.0
2019-05-17,308.33,310.8,303.89,305.87,36381.0
2019-05-20,305.37,305.87,296.0,298.47,61586.0
2019-05-21,296.0,305.87,292.05,303.89,9977.0
2019-05-22,305.87,305.87,300.93,302.41,4648.0
2019-05-23,302.41,305.87,299.45,301.43,13404.0
2019-05-24,294.03,302.41,287.12,300.93,125342.0
2019-05-27,296.99,299.95,293.04,293.53,13649.0
2019-05-28,305.87,320.67,298.96,319.19,100661.0
2019-05-29,315.73,333.99,313.76,330.04,20204.0
2019-05-31,330.04,330.04,316.23,326.09,32421.0
2019-06-03,323.63,323.63,312.77,320.17,18239.0
2019-06-04,314.75,340.4,311.29,333.0,25730.0
2019-06-05,330.04,332.01,325.6,329.55,15466.0
2019-06-07,328.56,334.97,327.57,332.51,12080.0
2019-06-11,339.91,340.4,334.97,337.93,6674.0
2019-06-12,335.96,338.92,326.09,338.92,112505.0
2019-06-13,340.4,348.29,337.44,343.36,38057.0
2019-06-14,343.36,343.36,329.55,335.47,41862.0
2019-06-18,342.87,358.16,340.4,353.23,44809.0
2019-06-19,351.75,353.72,349.77,353.72,37699.0
2019-06-20,353.72,359.15,353.72,355.69,35578.0
2019-06-24,349.28,352.73,340.4,341.39,23228.0
2019-06-25,341.39,350.76,341.39,343.36,9805.0
2019-06-26,337.93,346.32,336.45,340.4,12847.0
2019-06-27,342.37,351.25,340.89,349.28,16194.0
2019-06-28,348.29,354.21,329.55,332.01,41741.0
2019-07-01,332.01,342.87,332.01,337.44,15820.0
2019-07-02,341.39,345.33,339.91,343.36,10954.0
2019-07-03,343.85,344.84,340.89,344.35,8319.0
2019-07-04,344.84,349.77,342.87,344.84,8740.0
2019-07-05,345.33,345.33,336.95,340.89,7551.0
