Date,Open,High,Low,Close,Volume
2017-06-21,22.8,26.0,22.3,23.8,553553.0
2017-06-22,24.0,24.2,22.1,23.5,117999.0
2017-06-23,23.5,23.5,23.5,23.5,0.0
2017-06-26,23.7,23.7,21.6,22.2,45487.0
2017-06-27,22.2,22.2,21.5,21.9,16360.0
2017-06-28,21.8,21.8,20.0,20.8,122330.0
2017-06-29,20.8,21.1,20.0,20.7,49043.0
2017-06-30,20.0,21.6,20.0,21.0,21615.0
2017-07-03,20.8,23.4,20.8,23.3,17777.0
2017-07-04,23.3,23.3,22.4,23.0,4222.0
2017-07-05,23.4,23.4,22.5,23.0,10395.0
2017-07-06,22.7,23.1,22.0,22.8,22645.0
2017-07-07,22.9,22.9,22.1,22.1,10242.0
2017-07-10,21.7,21.8,21.7,21.8,1065.0
2017-07-11,21.8,22.0,21.0,21.0,40329.0
2017-07-12,21.0,21.5,21.0,21.0,7934.0
2017-07-13,21.6,22.4,21.5,22.0,44206.0
2017-07-14,22.2,22.4,21.7,21.7,14840.0
2017-07-17,22.0,22.2,21.5,21.5,16010.0
2017-07-18,21.5,21.5,21.5,21.5,0.0
2017-07-19,21.5,21.5,20.5,21.0,1802.0
2017-07-20,21.0,21.6,21.0,21.6,2252.0
2017-07-21,22.9,23.1,21.5,21.7,194623.0
2017-07-24,22.2,22.4,21.3,22.1,20177.0
2017-07-25,22.2,22.4,22.0,22.2,10741.0
2017-07-26,22.2,22.2,21.2,22.2,8731.0
2017-07-27,21.7,22.0,21.4,21.6,10764.0
2017-07-28,21.5,21.8,20.7,21.6,18576.0
2017-07-31,21.6,21.6,20.4,21.0,8254.0
2017-08-01,21.1,21.7,21.1,21.6,5280.0
2017-08-02,21.3,21.5,21.3,21.3,4857.0
2017-08-03,21.5,21.9,21.5,21.7,23684.0
2017-08-04,21.7,21.7,21.5,21.7,10590.0
2017-08-07,21.7,21.8,21.4,21.7,22865.0
2017-08-08,21.7,21.8,21.5,21.7,15760.0
2017-08-09,21.7,21.7,21.3,21.5,15039.0
2017-08-10,21.5,21.7,21.5,21.7,29002.0
2017-08-11,21.5,21.5,21.3,21.5,14036.0
2017-08-14,21.5,21.7,21.3,21.7,7050.0
2017-08-15,21.5,21.5,21.4,21.5,4943.0
2017-08-16,21.3,21.8,21.3,21.8,4462.0
2017-08-17,21.8,21.8,21.3,21.8,4482.0
2017-08-18,21.8,21.8,21.4,21.5,2503.0
2017-08-21,21.5,21.7,21.5,21.5,3268.0
2017-08-22,21.2,21.5,21.2,21.5,8589.0
2017-08-23,21.5,21.8,21.2,21.2,2124.0
2017-08-24,21.5,21.8,21.5,21.5,6882.0
2017-08-25,21.5,24.6,21.5,24.0,122253.0
2017-08-28,24.0,24.0,21.7,22.1,15664.0
2017-08-29,21.8,21.9,21.5,21.5,13005.0
2017-08-30,22.2,22.2,21.6,21.7,4582.0
2017-08-31,22.0,25.0,22.0,23.0,46881.0
2017-09-01,24.0,28.0,23.8,27.0,80195.0
2017-09-04,27.0,30.0,24.2,30.0,10859.0
2017-09-05,30.0,32.5,27.9,30.0,89329.0
2017-09-06,30.0,30.0,28.7,30.0,14263.0
2017-09-07,30.0,31.0,30.0,31.0,41430.0
2017-09-08,31.0,35.0,31.0,34.0,88616.0
2017-09-11,35.0,35.0,30.0,31.0,18469.0
2017-09-12,31.0,31.2,30.0,30.0,6822.0
2017-09-13,29.4,30.0,29.0,29.3,14770.0
2017-09-14,29.3,30.2,29.3,29.9,2149.0
2017-09-15,30.0,30.0,29.5,29.5,4358.0
2017-09-18,29.1,29.1,27.0,28.5,11281.0
