Date,Open,High,Low,Close,Volume
2010-01-04,21.52,22.59,21.37,22.59,31725.0
2010-01-05,21.98,23.2,21.98,22.9,16320.0
2010-01-07,22.9,23.43,22.9,23.13,25070.0
2010-01-08,23.13,23.51,22.97,23.28,27349.0
2010-01-11,23.51,24.42,23.28,23.89,67475.0
2010-01-12,24.04,24.04,23.36,23.51,17341.0
2010-01-13,23.66,23.66,23.28,23.28,27490.0
2010-01-14,23.66,23.66,22.59,23.28,36109.0
2010-01-15,23.36,24.12,22.44,23.28,35096.0
2010-01-18,23.05,23.66,22.52,22.52,12720.0
2010-01-19,22.59,24.2,22.52,24.2,49571.0
2010-01-20,24.27,24.27,23.28,23.51,34035.0
2010-01-21,23.51,24.35,23.51,23.74,35121.0
2010-01-22,23.28,23.89,23.28,23.89,16670.0
2010-01-25,23.58,24.81,23.36,24.12,53753.0
2010-01-26,24.81,24.81,22.97,23.81,77364.0
2010-01-27,25.11,25.11,23.2,24.12,33604.0
2010-01-28,24.42,24.42,23.36,23.66,26931.0
2010-01-29,23.66,25.03,23.13,24.04,9750.0
2010-02-01,24.12,24.42,23.43,24.12,15122.0
2010-02-02,24.12,24.27,23.28,23.89,33974.0
2010-02-03,23.97,24.42,23.89,24.04,7448.0
2010-02-04,23.97,23.97,22.9,23.66,39655.0
2010-02-05,23.2,23.66,22.29,22.9,14818.0
2010-02-08,22.9,22.9,21.45,22.44,15272.0
2010-02-09,22.44,22.44,21.52,22.44,10911.0
2010-02-10,22.9,22.97,21.37,21.68,39938.0
2010-02-11,21.37,22.13,21.37,22.06,9450.0
2010-02-12,21.52,22.44,20.61,21.37,24586.0
2010-02-15,20.68,20.84,19.69,20.84,35194.0
2010-02-16,20.91,20.91,19.69,20.15,29127.0
2010-02-17,20.61,21.75,20.3,20.38,35036.0
2010-02-18,21.52,21.52,20.07,20.38,14151.0
2010-02-19,20.38,20.38,19.62,19.84,26174.0
2010-02-22,19.84,20.15,19.62,20.0,91470.0
2010-02-23,20.0,20.38,19.77,20.23,21717.0
2010-02-24,20.38,20.38,19.69,20.23,10665.0
2010-02-25,20.23,20.38,19.84,20.38,6714.0
2010-02-26,20.3,20.61,19.62,19.92,16135.0
2010-03-01,20.0,20.91,19.77,20.84,31247.0
2010-03-02,20.84,21.22,20.53,21.22,108736.0
2010-03-03,21.22,21.98,21.22,21.75,9719.0
2010-03-04,21.75,21.91,21.75,21.75,15385.0
2010-03-05,21.98,22.06,21.52,22.06,15651.0
2010-03-08,22.13,22.36,21.6,21.75,43839.0
2010-03-09,21.52,21.75,21.45,21.75,6540.0
2010-03-10,21.75,22.06,21.37,22.06,30887.0
2010-03-11,22.13,22.36,21.98,21.98,79084.0
2010-03-12,22.36,22.52,22.29,22.52,15136.0
2010-03-15,22.13,22.67,21.83,22.52,28415.0
2010-03-16,22.59,23.28,22.29,22.82,46584.0
2010-03-17,22.9,22.9,21.75,22.29,39576.0
2010-03-18,22.52,22.52,21.91,22.29,15720.0
2010-03-19,22.67,23.13,22.52,22.52,17235.0
2010-03-22,23.2,23.2,22.59,23.13,9440.0
2010-03-23,23.13,23.13,22.52,23.13,9426.0
2010-03-24,22.9,23.51,22.59,22.82,15252.0
2010-03-25,23.28,24.27,22.75,24.27,53597.0
2010-03-26,24.35,26.49,24.27,26.49,89607.0
2010-03-29,26.64,26.71,25.8,26.03,75118.0
2010-03-30,25.65,26.33,25.65,25.8,86734.0
2010-03-31,25.8,25.8,25.19,25.42,34911.0
2010-04-01,25.19,26.71,25.19,26.71,46108.0
2010-04-06,26.33,27.4,26.33,26.71,36580.0
2010-04-07,27.02,27.02,26.64,26.64,13049.0
2010-04-08,26.64,26.64,25.8,26.26,28193.0
2010-04-09,26.33,26.33,25.95,26.26,31751.0
2010-04-12,26.26,26.33,25.19,26.33,14241.0
2010-04-13,25.57,26.26,25.19,26.18,18981.0
2010-04-14,26.1,27.1,26.1,26.64,43746.0
2010-04-15,26.71,26.71,26.71,26.71,26873.0
2010-04-16,26.94,27.48,26.79,26.79,14452.0
2010-04-19,26.64,27.4,26.33,26.71,19966.0
2010-04-20,26.71,27.32,26.49,27.17,29462.0
2010-04-21,27.17,27.17,26.64,26.71,8026.0
2010-04-22,26.71,26.71,25.95,26.49,24253.0
2010-04-23,26.71,26.71,26.64,26.71,11045.0
2010-04-26,26.71,26.71,26.33,26.33,19325.0
2010-04-27,26.71,26.71,25.95,26.26,11053.0
2010-04-28,25.95,26.1,25.34,25.95,31202.0
2010-04-29,25.65,26.71,22.9,24.58,247334.0
2010-04-30,24.81,24.81,24.04,24.04,11703.0
2010-05-03,23.66,25.03,23.66,24.96,27394.0
2010-05-04,24.96,24.96,23.66,23.74,38641.0
2010-05-05,23.2,23.2,21.75,22.75,59235.0
2010-05-06,22.13,22.75,20.91,20.91,88613.0
2010-05-07,20.23,21.83,19.08,20.15,103672.0
2010-05-10,20.53,22.44,20.53,21.22,102426.0
2010-05-11,21.68,21.68,20.46,21.37,33103.0
2010-05-12,21.37,22.06,21.29,21.29,8332.0
2010-05-14,22.06,22.06,21.29,21.29,25754.0
2010-05-17,20.61,21.22,20.23,21.14,21258.0
2010-05-18,21.37,22.06,20.99,21.68,21083.0
2010-05-19,22.06,22.06,21.07,21.22,7130.0
2010-05-20,21.22,22.06,20.0,20.3,51734.0
2010-05-21,20.3,21.45,19.69,20.23,39263.0
2010-05-24,20.76,20.84,19.84,20.76,16148.0
2010-05-25,20.46,20.46,19.31,19.84,26214.0
