Date,Open,High,Low,Close,Volume
2016-12-07,61.0,70.25,57.5,60.5,1444403.0
2016-12-08,60.5,62.0,57.25,60.5,223206.0
2016-12-09,60.5,64.75,59.0,64.25,177470.0
2016-12-12,63.75,63.75,60.0,61.0,178488.0
2016-12-13,61.0,61.25,58.0,59.0,74907.0
2016-12-14,58.75,58.75,55.25,56.5,103320.0
2016-12-15,57.0,57.25,55.5,56.5,68247.0
2016-12-16,56.25,58.25,55.5,55.75,55835.0
2016-12-19,56.0,56.0,53.0,54.0,66207.0
2016-12-20,54.0,57.0,53.0,54.75,162587.0
2016-12-21,55.0,55.5,52.5,53.25,57990.0
2016-12-22,57.5,58.75,56.0,58.75,274949.0
2016-12-23,58.75,59.25,57.75,58.0,67415.0
2016-12-27,58.5,59.75,57.25,59.5,24606.0
2016-12-28,59.5,61.5,59.0,61.0,79998.0
2016-12-29,61.0,61.5,60.25,61.5,19875.0
2016-12-30,61.5,61.5,59.25,60.0,36815.0
2017-01-02,60.0,60.0,58.5,59.0,29526.0
2017-01-03,59.0,60.5,58.5,59.25,46722.0
2017-01-04,60.0,60.5,59.0,59.75,26218.0
2017-01-05,60.25,60.75,59.75,60.5,9322.0
2017-01-09,61.0,61.0,59.0,59.5,28613.0
2017-01-10,60.0,60.25,59.5,60.0,26156.0
2017-01-11,60.0,60.0,59.25,59.75,11509.0
2017-01-12,62.0,62.5,61.25,62.25,77942.0
2017-01-13,62.25,63.25,61.25,63.0,25322.0
2017-01-16,63.25,63.25,62.0,63.25,22690.0
2017-01-17,63.0,63.0,61.0,61.5,37385.0
2017-01-18,62.0,62.0,61.25,61.5,8578.0
2017-01-19,61.75,61.75,60.75,60.75,14207.0
2017-01-20,60.5,61.5,60.0,60.75,11204.0
2017-01-23,61.5,61.5,60.5,61.25,11166.0
2017-01-24,61.25,61.25,59.5,60.0,23260.0
2017-01-25,60.0,60.25,59.0,59.25,13916.0
2017-01-26,59.5,61.0,59.25,60.5,22666.0
2017-01-27,60.5,61.5,59.25,60.0,13176.0
2017-01-30,61.5,61.5,59.5,60.0,7609.0
2017-01-31,60.0,60.0,59.0,59.75,8289.0
2017-02-01,60.0,60.0,59.0,59.75,7344.0
2017-02-02,59.75,59.75,58.25,59.0,18415.0
2017-02-03,59.0,59.0,57.25,58.75,9985.0
2017-02-06,58.5,59.75,57.0,58.5,18197.0
2017-02-07,59.5,59.5,57.25,58.0,14993.0
2017-02-08,58.0,62.25,57.25,59.25,103228.0
2017-02-09,60.5,60.5,58.5,59.0,22083.0
2017-02-10,59.0,60.0,58.0,59.75,23231.0
2017-02-13,60.0,61.0,59.75,60.5,30917.0
2017-02-14,60.5,60.75,59.0,60.75,15845.0
2017-02-15,61.0,62.25,60.5,61.25,64199.0
2017-02-16,61.5,61.75,60.5,61.75,23147.0
2017-02-17,61.75,61.75,60.25,61.5,8808.0
2017-02-20,62.5,62.5,60.5,61.25,18550.0
2017-02-21,61.25,62.5,59.5,60.25,20383.0
2017-02-22,60.25,60.25,59.0,60.0,9018.0
2017-02-23,60.0,60.0,58.0,59.5,13561.0
2017-02-24,59.5,59.75,57.5,58.5,11969.0
2017-02-27,59.0,59.0,57.25,57.75,13112.0
2017-02-28,57.75,60.0,57.75,60.0,31559.0
2017-03-01,60.0,60.0,57.75,58.5,19267.0
2017-03-02,58.75,59.0,56.75,56.75,13747.0
2017-03-03,57.75,57.75,55.75,56.0,10815.0
2017-03-06,56.0,57.0,55.5,56.25,22482.0
2017-03-07,56.25,57.0,55.5,56.25,14475.0
2017-03-08,55.5,57.5,53.75,54.25,51355.0
2017-03-09,54.5,55.0,53.5,53.75,17923.0
2017-03-10,53.75,55.0,53.75,53.75,11721.0
2017-03-13,53.75,59.0,53.75,56.5,102717.0
2017-03-14,59.0,59.25,57.0,58.0,53862.0
2017-03-15,58.0,58.0,56.0,56.5,10905.0
2017-03-16,56.5,57.5,54.5,56.0,15425.0
2017-03-17,55.75,55.75,53.0,53.5,28310.0
2017-03-20,53.5,55.75,53.5,53.75,18027.0
2017-03-21,53.75,54.75,52.0,54.0,34790.0
2017-03-22,54.0,54.5,52.0,54.5,14078.0
2017-03-23,54.5,54.5,52.0,53.75,5590.0
2017-03-24,53.5,54.5,52.75,54.0,3710.0
2017-03-27,54.0,54.0,52.75,53.0,6441.0
2017-03-28,53.0,54.0,52.5,53.0,10299.0
2017-03-29,53.25,53.5,52.0,53.0,5653.0
