Date,Open,High,Low,Close,Volume
2019-06-24,5.35,5.35,5.0,5.0,2233.0
2019-06-25,5.8,5.8,5.15,5.5,770.0
2019-06-26,5.7,5.95,5.25,5.95,1355.0
2019-06-27,6.1,6.1,5.95,5.95,110.0
2019-06-28,5.95,6.3,5.95,6.0,10348.0
2019-07-01,6.0,6.0,5.7,5.7,3381.0
2019-07-02,5.35,6.1,5.35,6.1,1116.0
2019-07-03,5.65,5.65,5.65,5.65,100.0
2019-07-04,5.6,5.95,5.1,5.15,10637.0
2019-07-05,5.3,5.75,5.2,5.75,13887.0
2019-07-08,5.35,5.85,5.35,5.5,8585.0
2019-07-09,5.5,5.5,5.1,5.5,173400.0
2019-07-10,5.4,5.4,5.4,5.4,2892.0
2019-07-11,5.2,5.65,5.05,5.1,2449.0
2019-07-12,5.2,5.2,5.2,5.2,1469.0
2019-07-15,5.2,5.2,5.2,5.2,2250.0
2019-07-16,5.45,5.9,5.45,5.9,20374.0
2019-07-17,5.3,5.3,5.3,5.3,235.0
2019-07-18,4.94,5.3,4.94,5.3,305.0
2019-07-19,5.75,5.8,5.75,5.8,23200.0
2019-07-22,5.15,5.15,5.15,5.15,1000.0
2019-07-23,4.92,5.0,4.92,4.98,15000.0
2019-07-24,5.1,5.3,4.7,5.3,13730.0
2019-07-25,5.3,5.3,5.3,5.3,0.0
2019-07-26,5.3,5.3,5.3,5.3,1500.0
2019-07-29,5.6,5.6,5.3,5.4,1039.0
2019-07-30,4.9,5.3,4.9,5.3,872.0
2019-07-31,5.3,5.45,5.3,5.45,18777.0
2019-08-01,5.1,5.8,5.1,5.2,10903.0
2019-08-02,5.8,5.8,5.2,5.7,5587.0
2019-08-06,5.7,5.7,5.7,5.7,500.0
2019-08-07,5.7,5.7,4.9,5.25,105739.0
2019-08-08,5.5,5.5,5.25,5.35,18081.0
2019-08-09,5.4,5.45,5.35,5.45,1700.0
2019-08-12,5.45,5.45,5.45,5.45,0.0
2019-08-13,5.7,5.85,5.7,5.85,5600.0
2019-08-14,5.25,5.85,5.25,5.35,2550.0
2019-08-15,5.2,5.5,5.2,5.5,6278.0
2019-08-16,5.85,5.85,5.3,5.6,255.0
2019-08-19,5.35,6.0,5.35,6.0,12634.0
2019-08-20,5.65,6.05,5.65,6.0,35657.0
2019-08-21,5.55,6.0,5.55,5.95,2890.0
2019-08-22,6.0,6.0,6.0,6.0,2000.0
2019-08-23,5.9,6.25,5.9,5.95,4306.0
2019-08-26,5.95,6.15,5.95,6.15,7424.0
2019-08-27,6.15,6.15,6.15,6.15,0.0
2019-08-28,6.15,6.15,6.0,6.0,3299.0
2019-08-29,6.0,6.0,5.55,6.0,26796.0
2019-08-30,5.55,6.05,5.55,5.8,3100.0
2019-09-02,6.2,6.2,5.5,5.95,3766.0
2019-09-03,6.15,6.15,5.55,5.95,1055.0
2019-09-04,5.7,6.0,5.05,6.0,356951.0
2019-09-05,5.6,6.05,5.6,6.05,301409.0
2019-09-06,6.05,6.05,5.55,6.05,2466.0
2019-09-09,6.05,6.05,6.05,6.05,70.0
2019-09-10,6.0,6.0,5.7,5.7,1331.0
2019-09-11,5.95,6.0,5.95,6.0,4699.0
2019-09-12,6.1,6.1,6.1,6.1,5.0
2019-09-13,5.85,6.05,5.85,6.05,1198.0
2019-09-16,6.0,6.0,5.85,5.85,271.0
2019-09-17,5.95,6.2,5.95,6.0,39501.0
2019-09-18,6.0,6.0,6.0,6.0,500.0
2019-09-19,5.95,6.0,5.95,6.0,10000.0
2019-09-20,6.0,6.0,6.0,6.0,1.0
2019-09-23,6.0,6.4,6.0,6.4,20473.0
2019-09-24,6.45,6.8,6.3,6.7,2258.0
2019-09-25,6.7,6.7,6.1,6.7,16274.0
2019-09-26,6.5,6.5,6.3,6.3,7727.0
2019-09-27,5.95,6.75,5.95,6.75,13496.0
2019-09-30,6.7,6.7,6.3,6.3,11962.0
2019-10-01,6.3,6.75,6.3,6.3,18228.0
2019-10-02,6.15,6.7,6.1,6.15,29600.0
2019-10-03,6.15,6.7,6.15,6.3,19322.0
2019-10-04,6.3,6.85,6.3,6.8,3357.0
2019-10-07,6.8,6.9,6.3,6.75,12479.0
2019-10-08,6.7,9.0,6.55,7.75,1560876.0
2019-10-09,7.8,8.5,7.5,8.5,67934.0
2019-10-10,8.7,8.7,7.4,7.9,77612.0
2019-10-11,7.9,8.45,7.85,7.95,45305.0
2019-10-14,8.2,8.85,7.65,8.85,170519.0
2019-10-15,8.95,8.95,8.2,8.8,43712.0
2019-10-16,8.7,9.35,8.15,8.8,44334.0
