Date,Open,High,Low,Close,Volume
2010-01-04,24.33,24.65,24.33,24.65,47676.0
2010-01-05,24.81,24.81,24.81,24.84,23373.0
2010-01-07,24.82,24.87,24.38,24.39,97602.0
2010-01-08,24.45,24.63,24.33,24.46,89787.0
2010-01-11,24.45,24.51,24.03,24.19,182376.0
2010-01-12,24.19,24.21,23.92,24.15,92946.0
2010-01-13,24.03,24.2,23.92,24.2,60261.0
2010-01-14,24.32,24.33,23.96,23.97,84522.0
2010-01-15,24.09,24.13,23.51,23.79,101370.0
2010-01-18,23.85,23.85,23.49,23.63,97947.0
2010-01-19,23.49,23.61,23.14,23.61,111063.0
2010-01-20,23.54,23.62,23.09,23.12,144354.0
2010-01-21,23.23,23.43,22.89,22.91,141768.0
2010-01-22,22.82,23.33,22.71,23.3,82161.0
2010-01-25,23.01,23.3,22.69,22.77,106152.0
2010-01-26,22.65,22.72,22.26,22.47,80853.0
2010-01-27,22.35,22.99,22.23,22.77,69093.0
2010-01-28,23.15,23.24,22.65,22.65,52593.0
2010-01-29,22.71,23.31,22.71,23.13,76128.0
2010-02-01,23.13,23.27,23.01,23.25,66723.0
2010-02-02,23.37,23.42,23.13,23.37,53175.0
2010-02-03,23.39,23.45,22.99,23.01,78705.0
2010-02-04,23.13,23.13,22.16,22.23,132603.0
2010-02-05,22.23,22.47,21.93,21.99,102090.0
2010-02-08,22.05,22.35,21.81,22.29,76872.0
2010-02-09,22.59,22.89,22.29,22.71,35745.0
2010-02-10,22.77,22.77,22.35,22.47,21126.0
2010-02-11,22.77,22.83,22.41,22.65,42180.0
2010-02-12,22.89,22.89,22.41,22.56,58020.0
2010-02-15,22.56,22.89,22.47,22.47,124332.0
2010-02-16,22.41,23.13,22.41,23.13,164874.0
2010-02-17,23.13,23.18,22.83,23.01,45537.0
2010-02-18,23.31,23.31,22.89,23.19,189222.0
2010-02-19,23.24,23.26,23.07,23.25,43782.0
2010-02-22,23.37,23.43,23.11,23.13,74814.0
2010-02-23,23.25,23.31,22.95,22.97,36462.0
2010-02-24,22.99,23.19,22.83,23.19,21693.0
2010-02-25,23.19,23.37,23.03,23.25,42738.0
2010-02-26,23.38,23.51,23.25,23.51,54489.0
2010-03-01,23.61,24.09,23.61,24.09,136740.0
