Date,Open,High,Low,Close,Volume
2015-12-02,67.0,67.5,62.25,63.75,12941253.0
2015-12-03,64.0,64.75,63.25,63.25,1968451.0
2015-12-04,63.5,64.5,63.0,63.5,994529.0
2015-12-07,64.0,64.5,63.75,64.0,811626.0
2015-12-08,64.0,64.25,62.5,63.0,1447309.0
2015-12-09,62.75,63.25,61.75,62.25,962184.0
2015-12-10,62.25,62.75,62.0,62.0,856759.0
2015-12-11,62.0,62.5,59.25,60.75,945726.0
2015-12-15,60.25,63.0,60.25,62.75,376523.0
2015-12-16,63.0,63.5,62.25,63.5,319829.0
2015-12-17,64.0,66.25,63.5,66.0,829730.0
2015-12-18,66.0,66.75,64.25,66.0,905834.0
2015-12-21,66.0,66.25,65.0,66.0,507655.0
2015-12-22,66.5,67.0,65.0,67.0,427942.0
2015-12-23,67.0,67.5,66.0,67.5,196290.0
2015-12-28,67.5,67.75,66.5,67.0,193769.0
2015-12-29,66.75,67.25,66.75,67.0,117962.0
2015-12-30,67.0,67.75,67.0,67.5,329736.0
2016-01-04,66.75,66.75,64.75,65.5,197304.0
2016-01-05,65.5,65.75,64.5,65.25,17814.0
2016-01-07,64.75,64.75,62.75,63.0,98590.0
2016-01-08,63.0,64.0,62.0,62.5,114068.0
2016-01-11,62.5,63.75,62.0,62.75,111419.0
2016-01-12,63.0,64.25,62.5,63.25,236945.0
2016-01-13,64.0,65.0,63.0,63.5,96012.0
2016-01-14,63.5,63.5,62.0,62.5,40467.0
2016-01-15,62.75,62.75,60.0,61.0,159308.0
2016-01-18,61.25,61.25,59.25,60.0,174411.0
2016-01-19,60.0,60.5,58.0,58.25,485900.0
2016-01-20,57.5,58.0,56.0,56.0,311920.0
2016-01-21,56.0,58.5,56.0,58.25,106626.0
2016-01-22,58.5,59.5,57.5,59.0,340832.0
2016-01-25,59.0,59.5,58.0,58.5,43462.0
2016-01-26,58.5,59.25,58.0,58.5,89217.0
2016-01-27,59.0,59.0,57.25,57.75,287268.0
2016-01-28,57.25,58.25,56.5,57.0,150867.0
2016-01-29,57.5,57.5,55.75,56.75,1302621.0
2016-02-01,57.0,58.25,56.75,57.75,75737.0
2016-02-02,57.75,58.75,57.75,58.25,201062.0
2016-02-03,58.25,60.25,58.25,59.0,129801.0
2016-02-04,59.0,59.75,58.0,59.5,170897.0
2016-02-05,59.75,59.75,57.25,57.5,202058.0
2016-02-08,58.0,58.0,55.25,55.25,57651.0
2016-02-09,55.5,55.75,54.0,54.5,157372.0
2016-02-10,54.75,55.75,54.5,55.25,137599.0
2016-02-11,55.0,55.75,54.0,55.75,37791.0
2016-02-12,55.75,57.0,54.75,56.25,26417.0
2016-02-15,58.0,58.0,56.75,57.5,19204.0
2016-02-16,58.0,59.25,56.75,56.75,118325.0
2016-02-17,57.5,59.0,56.75,59.0,123479.0
2016-02-18,59.0,60.0,58.5,58.75,130476.0
2016-02-19,59.0,60.75,59.0,60.25,105637.0
2016-02-22,60.75,63.75,60.5,62.5,200229.0
2016-02-23,63.25,63.5,60.0,60.0,220359.0
2016-02-24,60.0,60.75,58.0,58.0,268772.0
2016-02-25,58.75,59.75,57.75,59.0,123077.0
2016-02-26,59.75,59.75,57.25,58.25,61044.0
2016-02-29,57.5,58.75,57.5,58.5,43167.0
2016-03-01,57.75,59.0,57.75,58.0,96137.0
2016-03-02,58.25,59.75,58.0,59.5,150148.0
2016-03-03,59.25,61.5,59.0,60.25,68966.0
2016-03-04,60.25,61.5,58.75,58.75,183652.0
2016-03-07,59.0,60.5,58.75,60.5,137193.0
2016-03-08,58.5,60.25,58.5,59.5,20538.0
2016-03-09,59.5,59.5,56.5,56.75,200184.0
2016-03-10,57.25,57.75,55.75,55.75,421577.0
2016-03-11,56.25,58.25,56.25,57.75,222738.0
2016-03-14,57.75,58.5,57.0,57.25,149357.0
2016-03-15,57.0,59.5,57.0,59.25,85719.0
2016-03-16,59.25,59.5,58.75,59.0,45425.0
2016-03-17,59.25,61.75,59.25,61.0,110615.0
2016-03-18,59.25,61.0,59.25,59.5,59248.0
2016-03-21,59.25,60.0,59.25,60.0,12466.0
2016-03-22,60.0,60.0,59.25,59.75,6762.0
2016-03-23,59.5,60.25,59.5,60.0,76465.0
2016-03-24,60.0,60.25,59.5,60.0,129917.0
2016-03-29,59.5,60.0,59.0,59.5,50090.0
2016-03-30,59.5,60.0,59.5,60.0,36774.0
2016-03-31,60.0,61.0,60.0,61.0,16363.0
2016-04-01,60.5,61.0,60.0,60.5,7469.0
2016-04-04,60.5,61.75,60.5,60.75,20287.0
2016-04-05,61.0,61.0,59.75,60.5,304144.0
2016-04-06,60.5,62.0,60.5,61.5,36398.0
2016-04-07,61.5,61.75,60.5,61.75,28650.0
2016-04-08,61.25,62.25,61.25,62.25,28220.0
2016-04-11,61.0,62.5,61.0,62.5,23043.0
2016-04-12,62.0,62.25,61.25,62.0,19806.0
2016-04-13,62.5,63.5,61.5,63.5,48119.0
2016-04-14,63.25,63.5,62.5,62.5,35052.0
2016-04-15,62.5,62.75,62.5,62.75,29088.0
2016-04-18,62.75,63.0,62.5,63.0,55713.0
2016-04-19,63.25,64.0,62.5,63.5,53115.0
2016-04-20,63.0,64.25,63.0,64.25,83754.0
2016-04-21,64.25,64.5,63.0,63.75,207968.0
2016-04-22,63.75,63.75,62.5,63.0,29006.0
2016-04-25,63.0,63.0,61.5,63.0,35055.0
2016-04-26,62.5,62.5,61.25,62.5,35562.0
2016-04-27,62.5,64.0,62.25,64.0,36378.0
2016-04-28,64.0,64.0,62.5,62.75,34634.0
2016-04-29,62.75,62.75,61.0,62.0,28878.0
2016-05-02,62.0,63.0,61.5,62.25,10715.0
2016-05-03,62.25,63.0,61.75,62.75,96552.0
2016-05-04,61.75,63.0,61.5,62.75,11527.0
2016-05-06,62.75,63.0,61.75,63.0,34887.0
2016-05-09,63.25,63.25,62.0,62.75,29644.0
2016-05-10,62.75,63.0,62.0,63.0,49596.0
2016-05-11,63.5,63.5,61.75,63.0,19020.0
2016-05-12,61.5,63.0,61.5,62.5,79108.0
2016-05-13,62.5,62.5,61.5,62.5,31077.0
2016-05-16,61.5,63.0,61.5,63.0,29066.0
2016-05-17,63.0,63.25,61.5,63.25,41315.0
2016-05-18,63.0,63.0,61.75,62.25,15159.0
2016-05-19,62.25,62.5,61.5,62.25,28960.0
2016-05-20,62.0,62.25,61.5,61.75,6728.0
2016-05-23,61.25,63.25,61.25,63.0,56084.0
2016-05-24,63.5,63.5,61.75,62.5,32703.0
2016-05-25,62.5,63.5,62.0,63.0,57661.0
2016-05-26,63.5,63.5,62.5,63.25,89441.0
2016-05-27,63.5,63.5,62.5,62.5,178822.0
2016-05-30,62.75,63.75,62.5,63.75,32309.0
2016-05-31,63.75,63.75,61.5,61.5,487767.0
2016-06-01,62.0,62.25,60.5,61.0,92583.0
2016-06-02,61.25,61.75,61.0,61.75,105578.0
2016-06-03,61.75,62.25,60.5,61.25,142761.0
2016-06-07,60.75,62.75,60.75,62.5,47533.0
2016-06-08,63.0,63.0,61.75,62.0,73517.0
2016-06-09,62.5,62.5,60.0,61.25,116737.0
2016-06-10,61.25,62.5,60.25,62.0,140032.0
2016-06-13,62.0,62.25,60.75,62.25,139604.0
2016-06-14,60.5,63.0,60.5,62.0,159467.0
2016-06-15,63.0,63.25,61.25,61.5,446560.0
2016-06-16,61.75,62.0,60.75,60.75,173364.0
2016-06-17,60.5,63.25,60.5,63.25,82400.0
2016-06-20,63.5,65.0,63.0,63.0,72326.0
2016-06-21,63.0,64.75,62.75,64.5,127464.0
2016-06-22,64.75,65.0,64.0,65.0,233301.0
2016-06-23,64.25,65.0,64.0,65.0,35633.0
2016-06-27,60.5,64.0,60.5,61.75,97718.0
2016-06-28,62.5,62.5,61.25,62.0,30821.0
2016-06-29,64.5,64.5,62.0,62.75,40773.0
2016-06-30,62.0,63.0,62.0,63.0,96609.0
2016-07-01,63.75,64.5,62.5,63.25,33303.0
2016-07-04,63.25,63.5,62.0,63.25,73537.0
2016-07-05,63.0,63.25,62.0,62.0,112228.0
2016-07-06,61.75,62.5,61.25,62.0,38072.0
2016-07-07,62.0,65.0,62.0,65.0,159917.0
2016-07-08,65.0,65.75,64.25,65.5,39903.0
2016-07-11,65.25,66.0,64.25,65.25,26174.0
2016-07-12,65.25,65.75,64.75,65.75,32622.0
2016-07-13,66.0,66.0,64.0,65.25,25649.0
2016-07-14,65.25,65.5,64.25,64.75,13809.0
2016-07-15,64.25,65.5,63.75,65.0,19406.0
2016-07-18,65.0,66.0,65.0,65.5,29624.0
2016-07-19,64.0,66.0,63.0,65.25,106766.0
2016-07-20,64.25,66.75,64.25,66.0,99768.0
