Date,Open,High,Low,Close,Volume
2010-01-04,42.27,45.74,42.27,44.11,22417.0
2010-01-05,44.51,45.74,44.11,44.92,11728.0
2010-01-07,45.33,45.33,44.11,44.51,12473.0
2010-01-08,44.92,44.92,42.68,44.51,11054.0
2010-01-11,43.49,44.11,43.08,44.11,12433.0
2010-01-12,47.78,55.54,47.58,51.46,130230.0
2010-01-13,50.64,51.46,48.19,50.44,32841.0
2010-01-14,49.82,50.64,48.19,49.01,26530.0
2010-01-15,48.6,49.82,48.6,49.01,9313.0
2010-01-18,49.82,50.23,48.6,50.03,6539.0
2010-01-19,50.03,50.23,47.37,49.01,11481.0
2010-01-20,50.03,50.64,47.37,48.19,27987.0
2010-01-21,49.41,49.41,47.37,48.39,7816.0
2010-01-22,48.19,48.19,46.56,48.19,5192.0
2010-01-25,46.76,48.19,46.76,47.98,7950.0
2010-01-26,46.76,47.37,45.74,46.56,5682.0
2010-01-27,47.17,48.8,47.17,48.39,6467.0
2010-01-28,47.17,48.6,47.17,47.37,1775.0
2010-01-29,48.39,48.39,46.56,47.17,6996.0
2010-02-01,47.58,47.58,45.74,46.15,7672.0
2010-02-02,46.15,46.96,45.94,45.94,3718.0
2010-02-03,45.94,47.17,45.94,47.17,7745.0
2010-02-04,46.35,47.37,46.15,46.96,7511.0
2010-02-05,46.96,46.96,45.53,45.74,13538.0
2010-02-08,44.51,46.56,44.51,46.56,2311.0
2010-02-09,45.94,45.94,44.11,45.33,10608.0
2010-02-10,44.11,45.33,41.86,43.29,8846.0
2010-02-11,42.06,42.06,39.2,39.2,15500.0
2010-02-12,39.2,40.84,39.2,39.78,12729.0
2010-02-15,40.02,40.02,36.92,38.22,16988.0
2010-02-16,37.33,39.29,37.33,39.29,5290.0
2010-02-17,40.59,44.11,40.59,42.06,10839.0
2010-02-18,42.06,42.06,40.43,40.84,6406.0
2010-02-19,41.66,42.06,41.25,42.06,4116.0
2010-02-22,42.88,43.29,41.66,42.47,3630.0
2010-02-23,41.25,44.11,41.25,41.66,7488.0
2010-02-24,41.66,42.68,41.25,42.68,4100.0
2010-02-25,42.47,42.47,40.84,41.45,5119.0
2010-02-26,40.84,41.45,39.61,41.25,4955.0
2010-03-01,41.45,41.45,38.55,38.96,9049.0
2010-03-02,39.86,40.02,39.61,40.02,1914.0
2010-03-03,40.02,41.25,39.94,41.04,10686.0
2010-03-04,41.04,41.04,39.2,40.67,13769.0
2010-03-05,40.76,40.76,39.61,40.51,7313.0
2010-03-08,39.94,40.35,39.61,40.18,3148.0
2010-03-09,39.53,40.02,39.2,40.02,7375.0
2010-03-10,40.02,43.29,39.29,41.25,23604.0
2010-03-11,42.27,42.27,40.84,41.66,9920.0
2010-03-12,41.45,41.45,40.27,40.67,7442.0
2010-03-15,41.66,41.66,39.2,40.27,12210.0
2010-03-16,39.78,40.27,39.2,39.86,18258.0
2010-03-17,39.86,40.02,39.12,39.2,22191.0
2010-03-18,39.2,39.2,38.96,38.96,5559.0
2010-03-19,39.29,39.78,39.29,39.78,2193.0
2010-03-22,39.2,39.2,38.47,39.2,15531.0
2010-03-23,39.2,39.78,38.8,39.78,13865.0
2010-03-24,39.86,39.86,39.2,39.69,4087.0
2010-03-25,39.04,39.78,39.04,39.78,4966.0
2010-03-26,39.2,39.37,39.04,39.2,8157.0
2010-03-29,39.2,39.2,38.8,39.12,6520.0
2010-03-30,39.78,39.78,39.29,39.61,4980.0
2010-03-31,39.29,39.61,38.8,39.29,5816.0
2010-04-01,39.29,39.29,38.96,39.29,9971.0
2010-04-06,39.45,39.78,39.37,39.78,8555.0
2010-04-07,39.78,41.66,39.69,41.25,19849.0
2010-04-08,41.66,53.91,41.66,52.68,221444.0
2010-04-09,52.48,52.68,49.21,49.62,149648.0
2010-04-12,49.82,50.44,47.78,49.41,51410.0
2010-04-13,49.41,49.82,47.78,48.8,14317.0
2010-04-14,48.8,53.91,48.19,53.5,108915.0
2010-04-15,54.11,60.85,54.11,60.85,183725.0
2010-04-16,60.24,67.59,58.4,60.03,194764.0
2010-04-19,59.83,64.52,57.17,59.62,123579.0
2010-04-20,59.83,62.89,59.01,61.26,44044.0
2010-04-21,60.44,61.46,57.99,59.42,30230.0
2010-04-22,59.22,59.83,56.15,57.17,38007.0
2010-04-23,57.17,60.24,56.77,58.4,37176.0
2010-04-26,60.24,60.24,59.01,59.83,18324.0
2010-04-27,60.03,60.44,57.99,57.99,12739.0
2010-04-28,57.58,60.64,53.7,55.34,30958.0
2010-04-29,55.34,58.19,55.34,56.56,8264.0
2010-04-30,57.99,57.99,55.54,56.77,6403.0
2010-05-03,56.36,56.36,53.91,54.52,10945.0
2010-05-04,54.72,55.54,51.86,52.07,17349.0
2010-05-05,52.07,55.13,49.01,50.23,55270.0
2010-05-06,50.23,53.09,47.37,48.19,38076.0
2010-05-07,47.37,47.98,43.9,44.92,69704.0
2010-05-10,46.15,51.46,44.51,44.92,103855.0
2010-05-11,45.74,46.15,43.08,45.74,61833.0
2010-05-12,46.76,47.78,45.33,46.76,11038.0
2010-05-14,46.56,47.37,44.92,46.35,12731.0
2010-05-17,44.11,44.92,42.88,43.7,15317.0
2010-05-18,45.53,45.53,43.9,44.51,9142.0
