Date,Open,High,Low,Close,Volume
2013-02-07,3.34,3.34,3.34,3.34,909.0
2013-02-08,3.34,3.34,3.0,3.0,4258.0
2013-02-11,3.0,3.0,3.0,3.0,2705.0
2013-02-12,3.08,3.08,3.08,3.08,1168.0
2013-02-13,3.08,3.08,3.08,3.08,0.0
2013-02-19,2.79,2.79,2.79,2.79,3311.0
2013-02-20,2.79,3.0,2.7,2.74,30574.0
2013-02-21,2.78,2.78,2.78,2.78,11684.0
2013-02-22,2.99,3.17,2.82,3.03,15697.0
2013-02-25,2.86,2.86,2.86,2.86,1753.0
2013-02-26,2.78,2.91,2.78,2.89,27400.0
2013-02-27,3.2,3.2,3.2,3.2,1168.0
2013-02-28,3.2,3.2,3.2,3.2,0.0
2013-03-04,2.91,3.16,2.91,3.16,15130.0
2013-03-05,2.93,3.0,2.57,3.0,39336.0
2013-03-06,3.16,3.59,3.08,3.38,117173.0
2013-03-07,3.38,3.42,3.17,3.25,104341.0
2013-03-08,3.25,3.94,3.25,3.3,398844.0
2013-03-11,3.34,3.38,3.08,3.21,50476.0
2013-03-12,3.17,3.34,3.0,3.16,304582.0
2013-03-13,3.16,3.16,3.0,3.15,56675.0
2013-03-14,3.33,3.33,2.94,3.08,214068.0
2013-03-15,3.3,3.31,2.87,3.0,471176.0
2013-03-18,3.0,3.17,2.82,3.08,105171.0
2013-03-19,2.9,3.04,2.77,3.04,5521.0
2013-03-20,2.91,3.08,2.91,3.06,31986.0
2013-03-21,3.06,3.06,2.79,3.04,40556.0
2013-03-22,3.04,3.04,2.91,3.02,38221.0
2013-03-25,3.12,3.12,2.91,2.93,8646.0
2013-03-26,3.18,3.18,2.91,3.11,12894.0
2013-03-27,3.12,3.12,2.87,2.95,66325.0
2013-03-28,3.24,3.24,2.87,3.12,47993.0
2013-04-02,3.0,3.12,2.87,2.91,26915.0
2013-04-03,3.25,3.25,2.78,2.82,176513.0
2013-04-04,3.0,3.0,2.74,2.99,306899.0
2013-04-05,2.91,3.04,2.78,3.04,115301.0
2013-04-08,2.91,2.91,2.75,2.78,96179.0
2013-04-09,2.82,2.82,2.72,2.78,33487.0
2013-04-10,2.82,2.82,2.7,2.78,105345.0
2013-04-11,2.78,2.83,2.73,2.82,369528.0
2013-04-12,2.82,2.82,2.75,2.82,9205.0
2013-04-15,2.78,2.78,2.7,2.75,66484.0
2013-04-16,2.74,2.74,2.66,2.72,17743.0
2013-04-17,2.69,2.71,2.61,2.63,19922.0
2013-04-18,2.65,2.68,2.57,2.65,34149.0
2013-04-19,2.62,2.62,2.6,2.61,8243.0
2013-04-22,2.61,2.69,2.61,2.69,8594.0
2013-04-23,2.69,2.74,2.53,2.68,97070.0
2013-04-24,2.65,2.65,2.65,2.65,4090.0
2013-04-25,2.65,2.83,2.57,2.83,14293.0
2013-04-26,2.78,2.78,2.57,2.7,132996.0
2013-04-29,2.65,2.65,2.57,2.64,18344.0
2013-04-30,2.61,2.7,2.61,2.7,3552.0
2013-05-02,2.65,2.73,2.52,2.61,36329.0
2013-05-03,2.65,2.65,2.44,2.65,37432.0
2013-05-06,2.61,2.61,2.42,2.6,49165.0
2013-05-07,2.52,2.6,2.42,2.6,17296.0
2013-05-08,2.49,2.52,2.48,2.52,3622.0
2013-05-13,2.52,2.53,2.4,2.52,23045.0
2013-05-14,2.25,2.47,2.24,2.44,48965.0
2013-05-15,2.41,2.56,2.41,2.52,30953.0
2013-05-16,2.44,2.52,2.4,2.43,107267.0
2013-05-17,2.4,2.4,2.38,2.38,50643.0
2013-05-20,2.42,2.47,2.32,2.47,8440.0
2013-05-21,2.35,2.44,2.35,2.44,33684.0
2013-05-22,2.47,2.56,2.32,2.55,74596.0
2013-05-23,2.57,2.61,2.44,2.44,64205.0
2013-05-24,2.44,2.49,2.44,2.49,41479.0
2013-05-27,2.54,2.54,2.48,2.48,818.0
2013-05-28,2.56,2.56,2.45,2.52,34702.0
2013-05-29,2.56,2.56,2.48,2.48,11217.0
2013-05-30,2.4,2.4,2.35,2.35,29444.0
2013-05-31,2.46,2.46,2.44,2.44,11684.0
2013-06-03,2.35,2.4,2.31,2.4,25705.0
2013-06-04,2.4,2.43,2.4,2.43,9932.0
2013-06-05,2.52,2.52,2.4,2.48,16358.0
2013-06-07,2.52,2.57,2.49,2.57,90077.0
2013-06-10,2.57,2.65,2.57,2.57,39026.0
2013-06-11,2.57,2.61,2.49,2.49,283335.0
2013-06-12,2.57,3.34,2.52,3.34,71288.0
2013-06-13,2.88,2.95,2.65,2.82,141287.0
2013-06-14,2.87,3.34,2.74,3.22,739650.0
2013-06-17,3.48,3.77,3.22,3.34,359795.0
2013-06-18,3.38,3.38,3.17,3.35,105720.0
2013-06-19,3.34,3.41,3.25,3.38,120615.0
2013-06-20,3.38,3.59,3.26,3.59,134893.0
2013-06-21,3.59,3.59,3.59,3.59,0.0
2013-06-24,3.7,3.85,3.51,3.59,175183.0
2013-06-25,3.64,4.45,3.59,4.32,495748.0
