Date,Open,High,Low,Close,Volume
2009-12-03,7.97,8.28,7.97,8.28,3170.0
2009-12-04,8.19,8.23,8.1,8.23,1470.0
2009-12-07,7.93,7.97,7.93,7.97,4900.0
2009-12-08,7.88,8.1,7.88,7.88,1000.0
2009-12-09,7.71,7.88,7.71,7.88,1660.0
2009-12-10,7.93,8.32,7.93,8.32,7565.0
2009-12-11,8.02,8.02,8.02,8.02,2500.0
2009-12-14,7.97,8.19,7.97,8.19,1600.0
2009-12-15,7.97,7.97,7.97,7.97,5400.0
2009-12-16,8.06,8.1,8.06,8.1,700.0
2009-12-17,8.15,8.19,8.15,8.19,2700.0
2009-12-18,8.1,8.32,8.1,8.32,8275.0
2009-12-21,8.32,8.32,8.1,8.15,1300.0
2009-12-22,7.93,8.32,7.93,8.32,5900.0
2009-12-23,8.32,8.76,8.28,8.54,9184.0
2009-12-28,8.54,8.54,8.54,8.54,600.0
2009-12-29,8.54,8.54,8.23,8.32,5600.0
2009-12-30,8.54,8.54,8.19,8.32,14118.0
2010-01-04,8.54,8.54,8.41,8.41,1000.0
2010-01-05,8.54,8.54,8.1,8.1,10159.0
2010-01-07,8.28,8.32,8.28,8.32,200.0
2010-01-08,8.37,8.58,8.37,8.54,6457.0
2010-01-11,8.37,8.37,8.37,8.37,1300.0
2010-01-12,8.45,8.63,8.28,8.63,4800.0
2010-01-14,8.76,8.76,8.76,8.76,500.0
2010-01-15,8.45,8.45,8.45,8.45,100.0
2010-01-18,8.32,8.5,8.32,8.5,380.0
2010-01-19,8.54,8.54,8.32,8.54,1700.0
2010-01-20,8.32,8.5,8.32,8.5,9501.0
2010-01-21,8.23,8.5,8.19,8.5,3800.0
2010-01-22,8.32,8.32,8.23,8.28,9978.0
2010-01-25,8.32,8.32,8.23,8.23,1200.0
2010-01-26,8.23,8.58,8.23,8.28,6821.0
2010-01-27,8.32,8.32,8.23,8.23,1309.0
2010-01-28,8.32,8.63,8.19,8.63,4160.0
2010-01-29,8.58,8.58,8.58,8.58,103.0
2010-02-01,8.23,8.23,8.23,8.23,400.0
2010-02-02,8.23,8.28,8.23,8.28,600.0
2010-02-03,8.63,8.67,8.63,8.63,1200.0
2010-02-04,8.37,8.37,8.32,8.32,2000.0
2010-02-05,8.32,8.32,8.32,8.32,1199.0
2010-02-08,8.28,8.32,8.23,8.32,11254.0
2010-02-09,8.32,8.32,8.32,8.32,1746.0
2010-02-10,8.32,8.32,8.32,8.32,2000.0
2010-02-12,8.32,8.32,8.32,8.32,1000.0
2010-02-15,8.1,8.1,8.1,8.1,1200.0
2010-02-16,8.1,8.63,8.1,8.15,1870.0
2010-02-17,8.32,9.02,8.32,8.98,7881.0
2010-02-18,8.98,8.98,8.98,8.98,3230.0
2010-02-19,8.76,9.42,8.72,9.42,14833.0
2010-02-22,9.59,9.81,9.2,9.29,15920.0
2010-02-23,9.64,9.68,9.5,9.68,9050.0
2010-02-24,9.15,9.85,9.15,9.64,6700.0
2010-02-25,9.68,9.68,9.68,9.68,200.0
2010-03-01,9.2,9.81,9.2,9.81,4500.0
2010-03-02,9.64,9.64,9.5,9.64,6389.0
2010-03-03,9.42,9.68,9.42,9.64,500.0
2010-03-04,9.33,9.85,9.33,9.85,719.0
2010-03-05,9.64,9.85,9.64,9.85,3200.0
2010-03-08,9.64,9.64,9.64,9.64,1000.0
2010-03-09,9.59,9.59,9.59,9.59,2000.0
