Date,Open,High,Low,Close,Volume
2010-01-04,35.09,35.16,34.62,35.02,26918.0
2010-01-05,35.02,35.02,34.49,34.62,25406.0
2010-01-07,34.62,34.69,34.08,34.15,59968.0
2010-01-08,34.22,34.49,33.41,33.54,94620.0
2010-01-11,33.68,34.49,33.68,34.42,80304.0
2010-01-12,34.69,34.69,33.74,33.95,40490.0
2010-01-13,34.01,34.62,34.01,34.62,21842.0
2010-01-14,34.69,34.69,34.08,34.08,156918.0
2010-01-15,34.55,35.02,34.35,35.02,40428.0
2010-01-18,35.02,35.02,34.55,35.02,28244.0
2010-01-19,34.82,35.02,34.22,35.02,52840.0
2010-01-20,35.16,35.16,34.55,35.16,41672.0
2010-01-21,35.16,35.16,34.62,34.96,18534.0
2010-01-22,34.89,34.89,34.08,34.08,34280.0
2010-01-25,34.08,34.69,33.68,33.68,35356.0
2010-01-26,34.08,34.22,33.61,33.68,61506.0
2010-01-27,34.08,34.22,33.41,33.61,41920.0
2010-01-28,33.61,34.22,32.6,33.07,81438.0
2010-01-29,33.68,33.95,33.14,33.95,19276.0
2010-02-01,34.08,34.22,33.95,34.22,11758.0
2010-02-02,34.35,34.82,34.22,34.82,17768.0
2010-02-03,34.75,35.29,34.49,35.29,33034.0
2010-02-04,35.02,35.23,34.89,35.23,16714.0
2010-02-05,35.16,35.16,34.35,34.49,24598.0
2010-02-08,34.75,34.96,33.61,34.35,30400.0
2010-02-09,35.02,35.02,33.68,34.08,16000.0
2010-02-10,34.22,34.89,34.22,34.82,18400.0
2010-02-11,35.02,35.02,34.28,35.02,14800.0
2010-02-12,34.75,35.02,34.01,35.02,20200.0
2010-02-15,34.55,34.89,33.0,34.35,22200.0
2010-02-16,34.49,34.49,33.95,34.49,19200.0
2010-02-17,34.22,34.89,34.22,34.28,16370.0
2010-02-18,34.22,34.96,34.22,34.35,20324.0
2010-02-19,34.49,34.75,34.08,34.08,28182.0
2010-02-22,33.88,34.15,33.81,33.95,53664.0
2010-02-23,34.22,34.49,33.34,33.41,41418.0
2010-02-24,33.41,33.54,32.6,32.94,51842.0
2010-02-25,33.14,33.41,32.87,32.87,22982.0
2010-02-26,33.14,34.08,32.87,33.34,63096.0
2010-03-01,33.68,34.42,33.34,34.08,18880.0
2010-03-02,34.08,34.42,33.95,34.15,29976.0
2010-03-03,34.22,34.49,33.88,34.49,24630.0
2010-03-04,34.49,34.49,34.15,34.15,91482.0
2010-03-05,34.28,34.49,33.95,34.49,15632.0
2010-03-08,34.49,34.49,34.22,34.28,20554.0
2010-03-09,34.28,34.49,34.22,34.49,54554.0
2010-03-10,34.62,34.75,34.49,34.75,21184.0
2010-03-11,34.62,35.36,34.62,35.29,79116.0
2010-03-12,35.29,36.24,35.09,36.24,40552.0
2010-03-15,36.24,36.57,36.24,36.51,47962.0
2010-03-16,36.51,37.18,35.63,37.18,88616.0
2010-03-17,37.72,38.53,37.58,38.32,158816.0
2010-03-18,38.53,38.53,37.72,38.39,116070.0
2010-03-19,38.8,39.0,35.5,37.25,303132.0
2010-03-22,36.24,37.45,35.83,36.78,93782.0
2010-03-23,36.24,36.71,36.24,36.57,47694.0
2010-03-24,35.77,36.57,35.7,35.7,62938.0
2010-03-25,35.63,36.64,35.63,36.64,91404.0
2010-03-26,36.37,36.64,36.3,36.44,52142.0
2010-03-29,36.37,36.91,36.37,36.91,35082.0
2010-03-30,37.18,37.25,36.78,37.18,46364.0
2010-03-31,37.18,37.18,36.64,37.04,33904.0
2010-04-01,36.78,36.91,36.37,36.91,21032.0
2010-04-06,36.91,36.91,36.37,36.91,30790.0
2010-04-07,36.78,36.91,36.44,36.51,18960.0
2010-04-08,36.51,36.64,36.51,36.64,18918.0
