Date,Open,High,Low,Close,Volume
2010-01-12,293.13,308.16,286.36,308.16,42.0
2010-01-15,293.5,293.5,293.5,293.5,10.0
2010-01-22,321.31,321.31,321.31,321.31,2.0
2010-01-27,321.31,338.22,321.31,338.22,54.0
2010-01-29,338.22,338.22,338.22,338.22,10.0
2010-02-01,334.47,334.47,334.47,334.47,5.0
2010-02-08,375.8,375.8,375.8,375.8,9.0
2010-02-09,375.8,375.8,375.8,375.8,20.0
2010-02-19,338.22,338.22,338.22,338.22,40.0
2010-02-22,338.22,338.22,338.22,338.22,122.0
2010-03-05,375.8,375.8,372.05,372.05,56.0
2010-03-08,372.05,372.05,372.05,372.05,39.0
2010-03-09,375.8,375.8,375.8,375.8,14.0
2010-03-10,398.35,399.1,398.35,399.1,186.0
2010-03-15,375.8,375.8,375.8,375.8,100.0
2010-03-17,375.8,375.8,375.8,375.8,8.0
2010-03-26,375.8,375.8,353.26,353.26,55.0
2010-03-29,375.43,375.43,375.43,375.43,50.0
2010-04-01,375.43,375.43,375.43,375.43,0.0
2010-04-19,375.8,375.8,375.8,375.8,10.0
2010-04-20,375.8,375.8,375.8,375.8,119.0
2010-04-21,385.05,385.05,385.05,385.05,50.0
2010-04-22,385.05,385.05,385.05,385.05,20.0
2010-04-27,385.05,385.05,385.05,385.05,1.0
2010-04-29,377.34,377.34,377.34,377.34,1.0
2010-05-03,385.05,385.05,385.05,385.05,26.0
2010-05-04,348.85,361.94,348.47,348.47,287.0
2010-05-06,346.54,346.54,346.54,346.54,37.0
2010-05-07,346.54,346.54,346.54,346.54,13.0
2010-05-19,346.16,346.16,346.16,346.16,25.0
2010-05-24,346.16,346.16,346.16,346.16,0.0
2010-05-31,366.95,366.95,366.95,366.95,3.0
2010-06-01,366.95,366.95,366.95,366.95,81.0
2010-06-04,385.05,385.05,385.05,385.05,9.0
2010-06-16,384.28,385.05,384.28,385.05,11.0
2010-06-17,392.75,392.75,392.75,392.75,89.0
2010-06-23,392.75,392.75,392.75,392.75,20.0
2010-07-07,392.75,392.75,392.75,392.75,5.0
2010-07-26,392.75,392.75,392.75,392.75,8.0
2010-07-28,391.98,391.98,391.98,391.98,6.0
2010-07-30,358.48,358.48,358.48,358.48,11.0
2010-08-02,361.94,361.94,360.79,360.79,52.0
2010-09-03,365.41,365.41,365.41,365.41,27.0
2010-09-15,365.02,365.02,365.02,365.02,11.0
2010-09-23,365.02,365.02,365.02,365.02,3.0
2010-09-28,361.94,361.94,361.94,361.94,16.0
2010-09-30,361.94,361.94,361.94,361.94,8.0
2010-10-04,365.79,365.79,365.79,365.79,1.0
2010-10-07,358.09,358.09,358.09,358.09,10.0
2010-10-08,346.54,358.09,346.54,358.09,27.0
2010-10-15,358.09,358.09,358.09,358.09,12.0
2010-10-22,361.94,366.18,361.94,365.79,99.0
2010-10-27,383.51,383.51,383.51,383.51,10.0
2010-11-05,248.74,284.93,248.74,284.93,201.0
2010-11-08,327.29,361.17,327.29,360.79,69.0
2010-11-12,335.76,335.76,335.76,335.76,3.0
2010-11-18,347.7,347.7,347.7,347.7,10.0
2010-11-24,349.62,349.62,349.62,349.62,20.0
2010-11-26,361.17,361.56,361.17,361.56,30.0
2010-11-30,354.24,354.24,354.24,354.24,20.0
2010-12-02,346.16,346.54,346.16,346.54,75.0
2010-12-03,346.54,346.54,346.54,346.54,45.0
2010-12-14,346.54,346.54,346.54,346.54,2.0
2010-12-15,332.29,332.29,332.29,332.29,25.0
2010-12-16,365.79,365.79,365.79,365.79,25.0
2010-12-17,369.64,369.64,369.26,369.26,19.0
2010-12-21,369.64,383.51,369.64,383.51,20.0
2010-12-22,381.19,381.19,381.19,381.19,32.0
2010-12-27,377.34,377.34,377.34,377.34,48.0
2010-12-29,358.09,358.09,358.09,358.09,13.0
2011-01-03,377.34,377.34,377.34,377.34,2.0
2011-01-04,346.93,346.93,346.93,346.93,54.0
2011-01-05,346.93,346.93,346.93,346.93,0.0
2011-01-07,350.39,350.39,350.39,350.39,1.0
2011-01-12,354.24,354.24,350.39,350.39,73.0
