Date,Open,High,Low,Close,Volume
2019-05-28,45.0,46.0,41.51,45.0,10079.0
2019-05-29,45.0,45.0,43.0,45.0,2811.0
2019-05-31,45.0,49.5,43.1,49.2,5239.0
2019-06-03,49.0,49.0,45.0,48.0,8298.0
2019-06-04,47.0,47.5,44.9,47.5,4567.0
2019-06-05,47.5,47.5,44.9,47.4,2593.0
2019-06-07,47.4,47.5,45.0,47.0,7977.0
2019-06-11,46.5,46.5,42.0,46.5,13022.0
2019-06-12,47.4,47.5,45.0,45.0,8462.0
2019-06-13,47.0,47.0,45.0,46.9,21038.0
2019-06-14,46.8,46.8,46.2,46.8,2267.0
2019-06-18,45.4,46.8,44.1,46.8,4024.0
2019-06-19,46.0,46.7,45.3,46.7,4865.0
2019-06-20,46.0,46.6,45.9,46.6,1334.0
2019-06-24,46.0,46.0,45.0,45.9,5202.0
2019-06-25,46.5,46.5,45.5,46.3,1099.0
2019-06-26,46.0,46.0,45.0,45.7,3075.0
2019-06-27,46.4,46.4,45.7,46.2,259.0
2019-06-28,46.2,46.3,45.1,46.2,4232.0
2019-07-01,46.5,47.4,45.4,46.1,3632.0
2019-07-02,44.2,45.9,44.2,45.4,8258.0
2019-07-03,45.4,46.4,45.0,46.0,4750.0
2019-07-04,46.0,47.0,46.0,46.7,2098.0
2019-07-05,46.7,49.6,45.1,46.6,3673.0
2019-07-08,46.0,47.0,45.0,47.0,2361.0
2019-07-09,46.9,49.6,46.9,49.6,6573.0
2019-07-10,49.6,49.6,46.5,49.0,6196.0
2019-07-11,47.4,49.6,46.9,48.0,4297.0
2019-07-12,48.0,49.4,46.0,49.4,2675.0
2019-07-15,49.2,50.0,48.0,50.0,6450.0
2019-07-16,49.6,49.6,48.5,49.6,3447.0
2019-07-17,49.6,49.6,48.4,49.5,2702.0
2019-07-18,49.9,49.9,48.6,49.9,2775.0
2019-07-19,49.7,49.7,48.7,49.7,494.0
2019-07-22,49.7,49.7,48.7,49.7,566.0
2019-07-23,49.7,49.7,48.4,48.5,2160.0
2019-07-24,48.4,48.4,45.2,46.9,13160.0
2019-07-25,46.9,46.9,45.1,46.3,2958.0
2019-07-26,46.3,46.3,45.0,46.3,1453.0
2019-07-29,46.3,46.3,45.2,46.3,6508.0
2019-07-30,47.3,47.3,46.5,47.2,580.0
2019-07-31,47.2,47.2,46.0,47.2,5010.0
2019-08-01,47.2,47.2,45.2,47.1,40.0
2019-08-02,47.1,47.1,45.5,46.8,2344.0
2019-08-06,47.1,47.1,43.3,47.0,1568.0
2019-08-07,47.2,48.9,45.1,46.5,4609.0
2019-08-08,49.0,49.0,47.0,49.0,634.0
2019-08-09,48.9,48.9,46.5,48.9,6480.0
2019-08-12,48.8,48.8,46.5,48.5,7102.0
2019-08-13,48.4,48.4,47.1,48.2,117.0
2019-08-14,48.2,48.8,47.0,48.8,2225.0
2019-08-15,48.7,48.7,45.8,48.1,3067.0
2019-08-16,47.8,47.8,45.8,47.0,7293.0
2019-08-19,47.0,47.0,45.0,47.0,4941.0
2019-08-20,45.0,46.6,45.0,46.6,730.0
2019-08-21,46.6,46.6,46.6,46.6,473.0
2019-08-22,46.7,48.2,46.0,47.2,11247.0
2019-08-23,47.2,47.2,45.2,47.2,4399.0
2019-08-26,47.2,47.2,45.2,47.0,319.0
2019-08-27,47.0,47.0,46.6,46.9,332.0
2019-08-28,46.0,47.0,45.5,47.0,913.0
2019-08-29,47.1,53.0,46.5,50.0,26542.0
2019-08-30,49.9,49.9,47.2,49.8,2084.0
2019-09-02,49.8,49.9,48.0,49.8,4450.0
2019-09-03,49.6,49.9,49.2,49.9,1314.0
2019-09-04,49.8,50.0,49.3,49.5,1181.0
2019-09-05,49.9,51.0,48.3,51.0,28163.0
2019-09-06,51.0,51.0,50.0,51.0,3125.0
2019-09-09,51.0,51.0,48.6,50.0,5100.0
2019-09-10,50.0,50.0,49.2,49.9,6226.0
2019-09-11,50.0,51.0,50.0,51.0,3207.0
2019-09-12,50.8,51.0,49.5,51.0,6224.0
2019-09-13,51.0,51.0,49.9,51.0,4743.0
2019-09-16,51.0,51.0,50.0,51.0,966.0
2019-09-17,51.0,51.0,48.8,50.0,3897.0
2019-09-18,51.0,51.0,49.5,49.8,1837.0
2019-09-19,50.8,51.0,49.8,50.0,9756.0
2019-09-20,50.8,50.8,49.0,50.0,4001.0
2019-09-23,50.0,51.0,49.0,50.6,2942.0
2019-09-24,50.6,50.6,49.2,50.0,1265.0
2019-09-25,50.8,50.8,49.5,50.0,923.0
2019-09-26,50.0,50.8,49.5,50.5,26085.0
2019-09-27,51.0,51.0,50.6,51.0,1357.0
2019-09-30,51.0,52.0,50.6,51.8,5844.0
2019-10-01,51.8,53.0,51.2,52.0,20099.0
2019-10-02,52.6,53.0,50.2,53.0,5897.0
2019-10-03,53.0,56.8,52.4,56.6,12902.0
2019-10-04,56.6,67.2,56.6,65.4,23170.0
2019-10-07,65.6,71.0,62.0,69.2,23876.0
2019-10-08,70.0,70.8,60.2,66.0,20057.0
2019-10-09,66.2,66.6,59.8,60.8,19549.0
2019-10-10,62.0,62.0,55.4,59.0,8138.0
2019-10-11,60.0,67.8,57.4,60.0,10379.0
2019-10-14,61.0,61.8,58.0,60.0,6620.0
2019-10-15,61.4,61.4,58.2,60.2,5116.0
2019-10-16,60.6,62.0,60.0,61.8,7040.0
2019-10-17,63.6,63.6,61.0,62.8,5589.0
2019-10-18,64.0,68.0,62.8,63.6,6918.0
2019-10-21,62.0,63.4,59.2,63.4,18734.0
2019-10-22,62.0,62.0,59.0,60.0,10815.0
2019-10-23,60.0,61.0,56.2,60.0,12042.0
2019-10-24,59.0,60.8,56.0,59.4,6904.0
2019-10-25,58.0,61.0,56.2,61.0,8718.0
2019-10-28,60.2,60.8,58.2,60.8,2982.0
2019-10-29,59.0,59.0,57.6,58.8,5728.0
2019-10-30,58.8,61.0,57.6,59.6,2579.0
2019-10-31,61.0,61.0,57.5,59.0,3383.0
2019-11-01,61.5,62.5,59.5,61.0,1435.0
2019-11-04,59.0,59.5,58.0,59.5,1726.0
2019-11-05,59.0,62.5,58.5,61.0,4831.0
2019-11-06,61.0,62.5,58.0,59.0,7053.0
2019-11-07,59.5,62.5,59.0,62.5,4233.0
2019-11-08,62.0,64.0,59.0,62.0,3794.0
2019-11-11,62.0,68.0,62.0,65.0,2840.0
2019-11-12,65.5,65.5,62.0,64.5,3275.0
2019-11-13,64.5,64.5,63.5,64.5,631.0
2019-11-14,64.5,64.5,63.0,64.0,1189.0
2019-11-15,65.5,65.5,63.0,63.5,846.0
2019-11-18,65.0,65.0,63.5,64.5,604.0
2019-11-19,64.5,65.0,64.5,65.0,1236.0
2019-11-20,65.0,65.0,63.5,65.0,1026.0
2019-11-21,65.0,65.0,63.5,65.0,755.0
2019-11-22,66.0,66.0,64.5,65.5,2070.0
2019-11-25,66.0,68.0,65.0,67.5,5774.0
2019-11-26,68.0,68.0,66.5,67.5,1517.0
2019-11-27,67.0,67.0,65.5,67.0,2082.0
2019-11-28,67.0,72.5,66.0,70.5,3216.0
