Date,Open,High,Low,Close,Volume
2010-01-04,25.15,26.76,25.15,26.76,821280.0
2010-01-05,26.4,27.02,26.13,26.58,395493.0
2010-01-07,26.85,26.85,26.22,26.49,586996.0
2010-01-08,26.49,26.85,26.13,26.13,358120.0
2010-01-11,26.04,26.85,25.77,26.4,376501.0
2010-01-12,26.58,26.58,25.41,25.68,313076.0
2010-01-13,25.59,25.68,24.97,25.32,651068.0
2010-01-14,25.41,25.68,25.06,25.41,422437.0
2010-01-15,25.41,25.5,24.88,24.88,1563683.0
2010-01-18,25.24,25.77,25.06,25.77,1572446.0
2010-01-19,25.77,26.76,25.41,26.76,2059801.0
2010-01-20,26.94,28.99,26.85,27.38,4951596.0
2010-01-21,27.38,28.55,27.38,27.92,6115961.0
2010-01-22,27.74,28.1,27.38,27.65,905352.0
2010-01-25,27.74,29.08,27.74,29.08,1023433.0
2010-01-26,28.99,29.08,28.37,29.08,732794.0
2010-01-27,28.64,29.17,28.46,28.99,2363915.0
2010-01-28,29.08,29.08,28.46,28.73,161180.0
2010-01-29,28.81,28.9,28.1,28.37,209563.0
2010-02-01,28.28,28.64,28.01,28.55,610652.0
2010-02-02,28.64,28.99,28.19,28.73,1071890.0
2010-02-03,28.9,28.99,28.46,28.9,534456.0
2010-02-04,29.08,29.08,28.73,28.99,1026397.0
2010-02-05,28.9,29.53,28.9,29.35,477724.0
2010-02-08,29.53,29.98,28.99,29.8,281545.0
2010-02-09,29.8,29.8,28.46,29.17,484439.0
2010-02-10,29.35,29.35,27.83,28.28,420301.0
2010-02-11,28.64,28.64,27.74,28.55,156473.0
2010-02-12,28.55,28.64,28.28,28.64,1774664.0
2010-02-15,28.9,29.17,27.74,28.81,872498.0
2010-02-16,28.64,28.99,28.01,28.99,250792.0
2010-02-17,28.9,28.9,28.28,28.9,380702.0
2010-02-18,29.08,29.89,28.1,29.71,1274653.0
2010-02-19,30.43,31.5,29.8,31.32,2168782.0
2010-02-22,31.41,32.48,31.41,32.22,3316310.0
2010-02-23,32.22,32.66,32.04,32.22,2628621.0
2010-02-24,32.66,34.45,32.04,32.75,1842119.0
2010-02-25,32.84,32.84,32.04,32.48,286752.0
2010-02-26,32.57,33.29,32.22,33.29,430177.0
2010-03-01,33.56,33.92,33.29,33.83,708959.0
2010-03-02,34.18,34.9,33.65,33.92,1040705.0
2010-03-03,33.92,33.92,32.93,33.56,496699.0
2010-03-04,33.11,33.38,32.48,32.75,1377768.0
2010-03-05,33.2,33.2,32.57,32.93,790947.0
2010-03-08,32.93,33.02,32.57,32.84,591028.0
2010-03-09,33.11,33.47,32.48,33.47,407485.0
2010-03-10,33.74,33.74,32.22,32.3,446587.0
2010-03-11,32.66,32.66,32.22,32.48,214552.0
2010-03-12,32.93,33.11,31.59,31.95,923398.0
2010-03-15,31.86,32.39,31.77,32.39,218440.0
2010-03-16,32.57,33.92,32.57,33.92,1486063.0
2010-03-17,34.0,34.27,33.56,33.92,398851.0
2010-03-18,33.92,33.92,33.2,33.56,105479.0
2010-03-19,33.92,33.92,33.11,33.56,482341.0
2010-03-22,33.83,33.83,33.2,33.38,70669.0
2010-03-23,33.38,33.38,32.75,32.84,279670.0
2010-03-24,32.93,33.02,32.22,32.3,333505.0
2010-03-25,32.04,32.48,31.95,32.39,208919.0
