Date,Open,High,Low,Close,Volume
2009-12-01,3.37,3.37,3.28,3.37,42132
2009-12-02,3.28,3.34,3.26,3.34,42673
2009-12-03,3.31,3.37,3.31,3.34,36342
2009-12-04,3.34,3.34,3.31,3.34,20500
2009-12-07,3.34,3.4,3.31,3.4,127092
2009-12-08,3.34,3.4,3.34,3.37,31820
2009-12-09,3.4,3.4,3.34,3.4,47910
2009-12-10,3.4,3.4,3.28,3.37,85998
2009-12-11,3.31,3.37,3.28,3.34,64045
2009-12-14,3.34,3.34,3.26,3.31,36556
2009-12-15,3.26,3.34,3.26,3.34,65635
2009-12-16,3.31,3.34,3.28,3.34,41100
2009-12-17,3.34,3.34,3.2,3.28,73249
2009-12-18,3.26,3.31,3.2,3.28,142776
2009-12-21,3.2,3.28,3.2,3.28,22161
2009-12-22,3.26,3.31,3.2,3.31,56075
2009-12-23,3.28,3.4,3.28,3.4,35680
2009-12-28,3.31,3.34,3.31,3.31,8142
2009-12-29,3.34,3.34,3.28,3.34,94282
2009-12-30,3.34,3.34,3.28,3.34,49484
2010-01-04,3.34,3.45,3.34,3.45,36920
2010-01-05,3.4,3.45,3.4,3.42,25400
2010-01-07,3.42,3.51,3.42,3.48,33010
2010-01-08,3.48,3.56,3.48,3.56,30178
2010-01-11,3.59,3.59,3.56,3.56,32300
2010-01-12,3.56,3.56,3.45,3.51,61100
2010-01-13,3.45,3.51,3.45,3.51,24585
2010-01-14,3.56,3.65,3.54,3.65,157677
2010-01-15,3.79,3.98,3.76,3.9,895263
2010-01-18,3.95,3.98,3.84,3.9,243335
2010-01-19,3.9,3.95,3.9,3.95,122481
2010-01-20,3.98,4.12,3.98,4.04,194352
2010-01-21,4.06,4.09,3.92,3.95,102152
2010-01-22,4.01,4.01,3.9,3.9,80389
2010-01-25,3.84,3.98,3.84,3.92,64100
2010-01-26,3.95,3.95,3.79,3.9,85712
2010-01-27,3.9,3.9,3.81,3.84,28801
2010-01-28,3.92,3.98,3.92,3.92,76796
2010-01-29,3.95,3.98,3.92,3.98,63220
2010-02-01,3.98,4.04,3.95,4.01,28669
2010-02-02,4.01,4.06,3.98,4.06,53960
2010-02-03,4.06,4.12,4.04,4.06,88512
2010-02-04,4.06,4.06,3.95,4.04,41477
2010-02-05,4.01,4.01,3.92,4.01,54569
2010-02-08,4.06,4.06,3.9,3.98,55314
2010-02-09,3.98,4.01,3.9,3.95,23821
2010-02-10,3.95,4.01,3.92,4.01,9931
2010-02-11,4.01,4.01,3.9,3.98,24949
2010-02-12,3.98,3.98,3.87,3.9,5910
2010-02-15,3.95,3.95,3.87,3.92,24809
2010-02-16,3.92,3.95,3.9,3.9,50912
2010-02-17,3.9,3.95,3.9,3.92,293212
2010-02-18,3.9,3.92,3.84,3.9,174340
2010-02-19,3.87,3.9,3.76,3.87,69167
2010-02-22,3.84,3.9,3.79,3.9,78839
2010-02-23,3.9,3.9,3.81,3.87,44034
2010-02-24,3.87,3.9,3.87,3.87,21017
2010-02-25,3.87,3.92,3.84,3.9,25650
2010-02-26,3.84,3.9,3.79,3.9,21921
2010-03-01,3.84,3.92,3.84,3.92,46450
2010-03-02,3.92,4.01,3.9,4.01,125495
2010-03-03,4.04,4.2,4.04,4.12,188932
2010-03-04,4.04,4.15,4.04,4.15,49096
2010-03-05,4.12,4.12,4.04,4.09,39456
2010-03-08,4.23,4.4,4.23,4.37,489732
2010-03-09,4.31,4.34,4.2,4.29,79020
2010-03-10,4.29,4.31,4.2,4.23,80604
2010-03-11,4.31,4.34,4.2,4.29,81605
2010-03-12,4.29,4.4,4.23,4.37,315534
2010-03-15,4.37,4.4,4.31,4.37,106825
2010-03-16,4.4,4.43,4.37,4.43,67230
2010-03-17,4.4,4.45,4.4,4.43,104525
2010-03-18,4.43,4.43,4.31,4.34,61086
2010-03-19,4.34,4.4,4.31,4.4,41024
2010-03-22,4.43,4.43,4.31,4.31,41705
2010-03-23,4.31,4.4,4.31,4.4,57867
2010-03-24,4.4,4.45,4.34,4.37,44966
2010-03-25,4.4,4.4,4.31,4.31,97299
2010-03-26,4.29,4.34,4.29,4.34,58153
2010-03-29,4.4,4.4,4.29,4.34,42596
2010-03-30,4.34,4.34,4.29,4.34,62184
2010-03-31,4.29,4.34,4.26,4.34,37200
2010-04-01,4.34,4.34,4.34,4.34,12300
2010-04-06,4.34,4.34,4.2,4.31,114064
2010-04-07,4.31,4.31,4.29,4.29,27255
2010-04-08,4.29,4.31,4.26,4.29,51947
2010-04-09,4.29,4.34,4.29,4.29,28850
2010-04-12,4.31,4.4,4.29,4.29,56519
2010-04-13,4.29,4.29,4.23,4.26,102126
2010-04-14,4.23,4.31,4.23,4.31,42846
2010-04-15,4.31,4.34,4.26,4.34,13174
2010-04-16,4.29,4.37,4.29,4.29,78432
2010-04-19,4.29,4.29,4.23,4.26,53802
2010-04-20,4.26,4.29,4.23,4.26,19440
2010-04-21,4.26,4.31,4.26,4.31,41161
2010-04-22,4.31,4.31,4.2,4.29,49936
2010-04-23,4.29,4.29,4.2,4.29,21058
2010-04-26,4.29,4.29,4.23,4.29,26200
