Date,Open,High,Low,Close,Volume
2016-10-12,94.69,94.69,91.61,94.25,6502.0
2016-10-13,92.71,95.13,92.49,95.13,13010.0
2016-10-14,96.67,96.89,96.67,96.89,1253.0
2016-10-17,96.89,96.89,96.89,96.89,740.0
2016-10-18,96.89,96.89,96.89,96.89,3000.0
2016-10-19,98.87,98.87,98.87,98.87,300.0
2016-10-20,96.89,96.89,95.13,96.89,1737.0
2016-10-21,96.89,96.89,95.13,95.13,986.0
2016-10-24,97.11,98.65,95.35,95.35,236.0
2016-10-25,95.35,95.35,95.35,95.35,0.0
2016-10-26,95.35,97.33,95.35,97.33,16859.0
2016-10-27,97.33,97.33,97.33,97.33,0.0
2016-10-28,95.57,95.79,93.81,95.79,280.0
2016-10-31,95.79,95.79,95.79,95.79,0.0
2016-11-01,93.37,93.37,92.49,92.49,1500.0
2016-11-02,93.37,93.37,92.71,92.71,6500.0
2016-11-03,94.47,94.47,93.81,93.81,950.0
2016-11-04,93.81,93.81,93.81,93.81,0.0
2016-11-07,92.49,92.93,92.49,92.93,2630.0
2016-11-08,92.93,92.93,92.93,92.93,0.0
2016-11-09,94.69,94.69,94.69,94.69,1400.0
2016-11-10,94.69,94.69,94.69,94.69,0.0
2016-11-11,96.67,96.67,96.67,96.67,5.0
2016-11-14,92.93,92.93,92.93,92.93,1643.0
2016-11-15,92.49,94.25,92.49,94.25,290.0
2016-11-16,94.25,94.25,92.49,92.49,3140.0
2016-11-17,94.25,96.01,94.25,95.13,2109.0
2016-11-18,97.11,98.65,97.11,98.43,397.0
2016-11-21,96.67,96.67,96.67,96.67,137.0
2016-11-22,96.67,96.67,96.67,96.67,0.0
2016-11-24,97.55,97.55,94.25,94.25,6615.0
2016-11-25,95.13,95.13,95.13,95.13,1200.0
2016-11-28,95.13,95.13,95.13,95.13,800.0
2016-11-29,96.01,96.01,95.13,96.01,4504.0
2016-11-30,95.13,95.13,93.37,94.25,3845.0
2016-12-01,94.25,94.25,94.25,94.25,1000.0
2016-12-02,94.25,94.25,94.25,94.25,0.0
2016-12-06,94.25,94.25,93.37,93.37,68.0
2016-12-07,93.37,93.37,89.84,93.37,4258.0
2016-12-08,93.37,93.37,93.37,93.37,0.0
2016-12-09,92.93,92.93,92.49,92.49,15638.0
2016-12-12,94.25,94.25,92.49,94.25,1705.0
2016-12-13,94.25,94.25,92.49,92.49,6791.0
2016-12-14,91.61,91.61,91.61,91.61,2000.0
2016-12-15,91.61,91.61,91.61,91.61,0.0
2016-12-16,93.37,93.37,93.37,93.37,40.0
2016-12-22,93.37,93.37,93.37,93.37,148.0
2016-12-23,92.49,92.49,91.61,91.61,6388.0
2016-12-30,95.13,95.13,95.13,95.13,10.0
2017-01-02,95.13,95.13,95.13,95.13,0.0
2017-01-04,95.13,95.13,95.13,95.13,38.0
2017-01-09,93.37,93.37,93.37,93.37,717.0
2017-01-11,93.81,93.81,93.81,93.81,93.0
2017-01-26,94.25,94.25,93.37,93.37,3000.0
2017-02-02,92.49,92.49,92.49,92.49,4.0
2017-02-03,94.69,94.69,94.69,94.69,457.0
2017-02-07,93.37,93.37,93.37,93.37,1500.0
2017-02-20,93.37,93.37,93.37,93.37,4789.0
2017-02-21,94.25,94.25,94.25,94.25,111.0
2017-02-22,95.13,95.57,95.13,95.57,3000.0
