Date,Open,High,Low,Close,Volume
2018-01-02,85.38,89.02,84.52,88.26,6150.0
2018-01-03,88.26,90.56,88.26,89.89,9555.0
2018-01-04,90.17,91.04,87.49,90.94,13473.0
2018-01-05,91.13,94.97,90.85,94.68,14241.0
2018-01-08,94.59,99.77,93.15,99.19,33458.0
2018-01-09,99.19,102.65,99.19,102.07,25294.0
2018-01-10,102.45,105.14,102.07,103.41,28126.0
2018-01-11,103.41,105.52,97.85,99.0,29134.0
2018-01-12,99.19,101.69,98.81,99.38,5077.0
2018-01-15,98.81,99.19,95.93,95.93,6584.0
2018-01-16,95.93,96.51,94.01,95.55,9779.0
2018-01-17,95.45,95.83,93.05,93.24,8197.0
2018-01-18,93.34,94.88,91.61,91.61,4058.0
2018-01-19,91.61,91.61,90.27,90.56,4350.0
2018-01-22,90.65,90.65,88.26,88.74,6079.0
2018-01-23,88.93,93.44,88.64,92.09,16207.0
2018-01-24,92.09,92.09,89.22,90.17,4948.0
2018-01-25,90.08,90.17,89.22,89.22,6290.0
2018-01-26,89.5,90.37,89.22,89.7,6546.0
2018-01-29,90.94,91.9,90.65,91.61,2187.0
2018-01-30,91.61,93.05,89.41,89.98,6879.0
2018-01-31,89.98,92.77,89.31,90.65,10219.0
2018-02-01,90.08,92.57,90.08,90.65,5984.0
2018-02-02,90.17,91.04,89.6,90.08,8251.0
2018-02-05,89.31,89.31,83.27,86.34,26930.0
2018-02-06,83.36,88.83,79.62,88.06,26426.0
2018-02-07,93.05,99.77,93.05,94.01,50760.0
2018-02-08,95.64,95.93,91.23,91.23,17368.0
2018-02-09,94.01,94.01,89.31,90.46,11998.0
2018-02-12,91.23,97.27,90.85,90.85,8889.0
2018-02-13,92.19,94.49,90.65,91.33,4243.0
2018-02-14,91.42,93.34,91.42,92.96,5025.0
2018-02-15,93.05,95.07,93.05,95.07,7512.0
2018-02-16,95.74,98.23,94.97,95.26,15953.0
2018-02-19,95.26,95.26,94.49,94.97,3276.0
2018-02-20,94.97,95.07,94.97,94.97,6824.0
2018-02-21,94.49,96.31,92.29,93.24,7159.0
2018-02-22,94.2,95.93,93.05,94.49,4436.0
2018-02-23,95.83,95.83,93.24,93.24,2055.0
2018-02-26,93.63,95.07,91.33,95.07,6645.0
2018-02-27,95.93,95.93,93.05,93.15,3663.0
2018-02-28,93.15,94.68,91.13,91.61,8057.0
2018-03-01,93.44,93.44,90.17,92.09,7108.0
2018-03-02,91.52,91.52,88.93,89.6,11061.0
2018-03-05,90.75,93.34,89.7,90.46,6920.0
2018-03-06,91.13,91.13,89.7,89.7,6044.0
2018-03-07,90.46,92.09,90.17,90.27,14758.0
2018-03-08,90.94,93.05,90.56,92.09,12465.0
2018-03-09,92.67,95.16,92.67,93.05,14123.0
2018-03-12,96.12,96.89,93.63,93.63,8253.0
