Date,Open,High,Low,Close,Volume
2009-12-03,2.65,2.65,2.45,2.65,385510.0
2009-12-04,2.75,2.75,2.65,2.65,213901.0
2009-12-07,2.65,2.65,2.55,2.65,58670.0
2009-12-08,2.65,2.65,2.55,2.65,150606.0
2009-12-09,2.65,2.65,2.55,2.65,53862.0
2009-12-10,2.55,2.65,2.55,2.55,75171.0
2009-12-11,2.55,2.65,2.55,2.55,106247.0
2009-12-14,2.55,2.65,2.45,2.65,167851.0
2009-12-15,2.65,2.65,2.55,2.55,42366.0
2009-12-16,2.55,2.55,2.55,2.55,52966.0
2009-12-17,2.55,2.55,2.55,2.55,66717.0
2009-12-18,2.55,2.55,2.45,2.55,32391.0
2009-12-21,2.55,2.65,2.45,2.65,276248.0
2009-12-22,2.65,2.65,2.45,2.65,299893.0
2009-12-23,2.55,2.65,2.55,2.65,114050.0
2009-12-28,2.55,2.65,2.55,2.65,52658.0
2009-12-29,2.55,2.65,2.55,2.55,97478.0
2009-12-30,2.55,2.65,2.55,2.65,168299.0
2010-01-04,2.65,2.85,2.65,2.75,83547.0
2010-01-05,2.75,2.75,2.65,2.65,37267.0
2010-01-07,2.75,2.75,2.55,2.55,66142.0
2010-01-08,2.65,2.65,2.55,2.65,60631.0
2010-01-11,2.65,2.75,2.65,2.65,98666.0
2010-01-12,2.75,2.75,2.65,2.65,85652.0
2010-01-13,2.75,2.75,2.55,2.55,22871.0
2010-01-14,2.75,2.75,2.65,2.65,44439.0
2010-01-15,2.75,2.75,2.65,2.65,53840.0
2010-01-18,2.65,2.65,2.55,2.55,37549.0
2010-01-19,2.55,2.65,2.55,2.65,49631.0
2010-01-20,2.65,2.65,2.55,2.65,68346.0
2010-01-21,2.55,2.65,2.55,2.55,40462.0
2010-01-22,2.65,2.75,2.55,2.75,90093.0
2010-01-25,2.75,2.75,2.65,2.65,2076.0
2010-01-26,2.65,2.75,2.65,2.65,53460.0
2010-01-27,2.75,2.75,2.65,2.75,17043.0
2010-01-28,2.75,2.75,2.55,2.55,55268.0
2010-01-29,2.65,2.65,2.55,2.65,47136.0
2010-02-01,2.65,2.75,2.65,2.75,65402.0
2010-02-02,2.75,2.75,2.65,2.75,33957.0
2010-02-03,2.75,2.75,2.65,2.65,58488.0
2010-02-04,2.75,2.75,2.65,2.65,25907.0
2010-02-05,2.65,2.75,2.55,2.65,51095.0
2010-02-08,2.55,2.65,2.55,2.65,62488.0
2010-02-09,2.65,2.65,2.55,2.55,28098.0
2010-02-10,2.65,2.65,2.55,2.65,36116.0
2010-02-11,2.55,2.65,2.55,2.65,31780.0
2010-02-12,2.65,2.75,2.65,2.65,61573.0
2010-02-15,2.55,2.65,2.55,2.65,21574.0
2010-02-16,2.75,2.75,2.55,2.65,49910.0
2010-02-17,2.55,2.65,2.55,2.65,28011.0
2010-02-18,2.55,2.55,2.45,2.55,167505.0
2010-02-19,2.55,2.55,2.45,2.45,77623.0
2010-02-22,2.45,2.55,2.45,2.45,13200.0
2010-02-23,2.55,2.55,2.36,2.45,76352.0
2010-02-24,2.45,2.45,2.36,2.45,31780.0
2010-02-25,2.36,2.45,2.36,2.36,35854.0
2010-02-26,2.36,2.45,2.36,2.45,27365.0
2010-03-01,2.36,2.45,2.36,2.45,24395.0
2010-03-02,2.45,2.45,2.36,2.36,26409.0
2010-03-03,2.36,2.45,2.36,2.45,36987.0
2010-03-04,2.45,2.45,2.36,2.45,59271.0
2010-03-05,2.45,2.45,2.36,2.45,43391.0
2010-03-08,2.45,2.55,2.45,2.45,86256.0
2010-03-09,2.45,2.45,2.36,2.45,28632.0
2010-03-10,2.45,2.45,2.36,2.45,22526.0
2010-03-11,2.45,2.45,2.36,2.45,33613.0
2010-03-12,2.36,2.55,2.36,2.45,20901.0
2010-03-15,2.45,2.55,2.45,2.45,71708.0
2010-03-16,2.55,2.55,2.36,2.36,26632.0
2010-03-17,2.45,2.45,2.36,2.36,316403.0
2010-03-18,2.36,2.36,2.26,2.26,105547.0
2010-03-19,2.36,2.45,2.36,2.36,113590.0
2010-03-22,2.36,2.36,2.26,2.36,16919.0
2010-03-23,2.16,2.16,1.77,1.96,961735.0
2010-03-24,2.06,2.26,1.96,2.26,390703.0
2010-03-25,2.26,2.26,2.06,2.06,243841.0
2010-03-26,2.06,2.16,2.06,2.06,55930.0
2010-03-29,2.16,2.16,2.06,2.16,56462.0
2010-03-30,2.16,2.16,2.16,2.16,53852.0
2010-03-31,2.16,2.16,2.06,2.16,47040.0
2010-04-01,2.16,2.16,2.06,2.06,39725.0
2010-04-06,2.06,2.16,1.96,2.16,115579.0
2010-04-07,2.06,2.16,2.06,2.16,8098.0
2010-04-08,2.06,2.16,2.06,2.16,81285.0
2010-04-09,2.06,2.16,1.96,2.16,102296.0
2010-04-12,2.06,2.16,1.96,2.06,45097.0
2010-04-13,2.06,2.06,1.96,2.06,60320.0
2010-04-14,2.06,2.06,1.96,1.96,293662.0
2010-04-15,2.06,2.06,1.96,2.06,26330.0
2010-04-16,2.06,2.06,1.96,2.06,38798.0
2010-04-19,2.06,2.16,1.96,2.06,87071.0
2010-04-20,2.06,2.06,1.96,2.06,30396.0
2010-04-21,2.06,2.16,1.96,2.16,97826.0
2010-04-22,2.16,2.16,2.06,2.16,87373.0
2010-04-23,2.16,2.26,2.06,2.26,88361.0
2010-04-26,2.26,2.26,2.16,2.26,95165.0
2010-04-27,2.26,2.26,2.16,2.26,37942.0
2010-04-28,2.16,2.16,2.06,2.16,46851.0
2010-04-29,2.16,2.26,2.06,2.26,64213.0
2010-04-30,2.16,2.16,2.16,2.16,21419.0
2010-05-03,2.26,2.26,2.06,2.16,24874.0
2010-05-04,2.16,2.26,2.16,2.26,85313.0
2010-05-05,2.16,2.16,1.96,2.16,270636.0
2010-05-06,2.06,2.16,1.96,2.06,187517.0
2010-05-07,1.96,2.06,1.87,1.96,136461.0
2010-05-10,1.87,2.06,1.87,1.96,58026.0
2010-05-11,2.06,2.06,1.96,2.06,31912.0
2010-05-12,2.06,2.16,1.96,2.16,42271.0
2010-05-14,2.16,2.16,2.06,2.06,50111.0
2010-05-17,2.16,2.16,2.06,2.16,8760.0
2010-05-18,2.06,2.06,1.96,2.06,29284.0
2010-05-19,2.06,2.06,1.87,1.96,148432.0
2010-05-20,1.96,1.96,1.87,1.96,180349.0
2010-05-21,1.87,1.96,1.87,1.96,48681.0
2010-05-24,2.06,2.06,2.06,2.06,14837.0
2010-05-25,2.06,2.06,1.96,2.06,47509.0
2010-05-26,2.06,2.06,2.06,2.06,10186.0
2010-05-27,2.06,2.06,1.96,2.06,20168.0
2010-05-28,2.06,2.06,1.96,2.06,14622.0
2010-05-31,2.06,2.16,1.96,2.16,35383.0
2010-06-01,2.06,2.16,2.06,2.16,64404.0
2010-06-02,1.96,2.06,1.96,2.06,15596.0
2010-06-03,2.06,2.06,2.06,2.06,26493.0
2010-06-04,2.06,2.06,1.96,2.06,37540.0
2010-06-07,2.06,2.06,1.96,2.06,25398.0
2010-06-08,2.16,2.16,2.06,2.06,19353.0
2010-06-09,1.96,2.06,1.96,2.06,6244.0
2010-06-10,1.96,2.06,1.96,1.96,10148.0
2010-06-11,1.96,2.06,1.96,1.96,11245.0
2010-06-14,2.06,2.06,1.96,1.96,48780.0
2010-06-15,2.06,2.06,1.96,2.06,81863.0
2010-06-16,2.06,2.06,1.96,2.06,13940.0
2010-06-17,2.06,2.06,2.06,2.06,4339.0
2010-06-18,1.96,2.06,1.96,2.06,92786.0
2010-06-21,2.06,2.06,1.96,1.96,23987.0
2010-06-22,1.96,2.06,1.87,2.06,139036.0
2010-06-23,1.96,1.96,1.96,1.96,306.0
2010-06-24,1.96,1.96,1.96,1.96,20387.0
2010-06-28,1.87,1.96,1.87,1.96,4864.0
2010-06-29,1.96,1.96,1.87,1.87,39368.0
2010-06-30,1.96,1.96,1.87,1.96,45372.0
2010-07-01,1.96,1.96,1.87,1.96,29085.0
2010-07-02,1.87,1.96,1.87,1.96,34769.0
2010-07-05,1.87,1.96,1.87,1.87,27094.0
2010-07-06,1.96,1.96,1.96,1.96,8123.0
2010-07-07,1.96,1.96,1.96,1.96,252.0
2010-07-08,1.96,1.96,1.87,1.87,18334.0
2010-07-12,1.96,1.96,1.96,1.96,2546.0
2010-07-13,1.96,1.96,1.87,1.87,28520.0
2010-07-14,1.87,1.87,1.77,1.87,129572.0
2010-07-15,1.87,1.96,1.87,1.87,38139.0
2010-07-16,1.96,1.96,1.87,1.87,69161.0
2010-07-19,1.87,1.87,1.87,1.87,59802.0
2010-07-20,1.96,1.96,1.87,1.87,18029.0
