Date,Open,High,Low,Close,Volume
2011-02-04,7.48,14.16,7.48,14.16,9979.0
2011-02-07,13.64,19.48,13.64,19.18,5920.0
2011-02-08,18.43,18.73,16.71,17.83,10882.0
2011-02-09,16.71,17.23,14.99,17.23,3001.0
2011-02-10,16.49,16.79,14.99,14.99,2433.0
2011-02-11,14.54,14.54,14.31,14.54,2079.0
2011-02-14,14.24,14.24,13.49,13.49,1520.0
2011-02-15,13.49,13.49,12.51,12.51,593.0
2011-02-16,13.49,13.56,12.51,13.56,2374.0
2011-02-17,14.24,14.99,14.24,14.99,480.0
2011-02-18,14.99,15.74,14.99,15.74,1047.0
2011-02-21,14.99,16.49,14.99,15.81,1610.0
2011-02-22,15.89,15.89,15.06,15.06,1378.0
2011-02-23,14.99,14.99,14.24,14.24,999.0
2011-02-24,14.24,14.24,14.01,14.01,1435.0
2011-02-25,14.24,14.24,13.94,13.94,4062.0
2011-02-28,13.49,13.56,12.74,13.56,1957.0
2011-03-01,13.49,13.71,13.49,13.71,841.0
2011-03-02,13.64,13.64,13.64,13.64,72.0
2011-03-03,13.34,13.64,12.74,12.74,1194.0
2011-03-04,12.74,13.19,12.51,13.19,220.0
2011-03-08,12.51,12.74,12.44,12.44,941.0
2011-03-09,12.44,12.74,11.99,12.51,2334.0
2011-03-11,12.36,12.36,12.36,12.36,14.0
2011-03-14,12.74,13.49,12.74,12.81,1471.0
2011-03-15,13.49,13.49,12.81,13.49,4899.0
2011-03-16,13.11,13.94,13.11,13.94,353.0
2011-03-17,14.31,14.31,14.31,14.31,989.0
2011-03-18,14.84,14.84,14.61,14.84,69.0
2011-03-21,14.61,14.61,14.61,14.61,1445.0
2011-03-24,14.24,14.76,14.24,14.76,126.0
2011-03-28,14.61,14.99,14.61,14.99,1199.0
2011-03-29,14.46,14.61,14.09,14.09,1501.0
2011-03-30,14.24,14.61,14.24,14.61,1253.0
2011-03-31,14.84,14.84,14.09,14.09,1738.0
2011-04-01,14.09,14.69,14.09,14.69,606.0
2011-04-04,14.09,14.69,14.09,14.69,1388.0
2011-04-05,14.69,14.69,13.86,13.86,676.0
2011-04-06,13.86,14.54,13.86,14.54,1837.0
2011-04-11,14.16,14.46,13.86,14.46,614.0
2011-04-12,13.86,13.86,13.86,13.86,289.0
2011-04-14,13.86,13.86,13.86,13.86,894.0
2011-04-15,13.49,13.49,13.49,13.49,121.0
2011-04-18,13.49,13.86,13.49,13.86,580.0
2011-04-19,13.49,14.01,13.49,13.49,1382.0
2011-04-20,13.71,13.86,13.64,13.64,1103.0
2011-04-26,13.64,14.99,13.64,14.16,2097.0
2011-04-27,14.16,14.61,14.16,14.61,1065.0
2011-04-28,14.16,14.16,14.16,14.16,227.0
2011-04-29,14.16,14.16,14.16,14.16,31.0
2011-05-02,14.16,14.61,14.16,14.61,783.0
2011-05-03,14.61,14.61,14.09,14.09,649.0
2011-05-04,14.09,14.09,14.09,14.09,366.0
2011-05-05,13.79,13.79,13.79,13.79,989.0
2011-05-06,13.26,13.86,13.26,13.86,627.0
2011-05-09,13.26,13.26,13.26,13.26,252.0
2011-05-10,13.26,13.26,12.51,12.51,1731.0
2011-05-11,12.51,12.96,12.51,12.96,1399.0
2011-05-12,12.96,12.96,12.96,12.96,49.0
2011-05-13,13.11,13.11,13.11,13.11,1079.0
2011-05-16,13.11,13.11,12.89,12.89,934.0
2011-05-17,13.41,13.49,12.96,13.49,908.0
2011-05-18,13.19,13.64,13.19,13.41,1325.0
2011-05-19,13.41,13.94,13.41,13.94,1112.0
2011-05-20,13.71,13.71,13.71,13.71,5.0
2011-05-23,13.71,13.71,13.71,13.71,1204.0
2011-05-24,13.71,13.71,13.71,13.71,130.0
2011-05-25,13.49,13.49,13.49,13.49,2.0
2011-05-26,13.49,13.49,13.49,13.49,600.0
2011-05-27,13.94,13.94,13.94,13.94,300.0
2011-05-31,13.34,13.94,13.34,13.94,572.0
2011-06-01,13.71,13.71,13.49,13.49,314.0
2011-06-03,13.49,13.94,13.49,13.64,6313.0
2011-06-08,13.41,13.41,13.04,13.04,1799.0
2011-06-09,12.81,13.34,12.81,13.04,1330.0
2011-06-10,13.04,13.04,12.81,12.81,1868.0
