Date,Open,High,Low,Close,Volume
2011-02-04,8.32,15.76,8.32,15.76,9979.0
2011-02-07,15.18,21.68,15.18,21.35,5920.0
2011-02-08,20.52,20.85,18.6,19.85,10882.0
2011-02-09,18.6,19.18,16.68,19.18,3001.0
2011-02-10,18.35,18.68,16.68,16.68,2433.0
2011-02-11,16.18,16.18,15.93,16.18,2079.0
2011-02-14,15.85,15.85,15.01,15.01,1520.0
2011-02-15,15.01,15.01,13.93,13.93,593.0
2011-02-16,15.01,15.1,13.93,15.1,2374.0
2011-02-17,15.85,16.68,15.85,16.68,480.0
2011-02-18,16.68,17.51,16.68,17.51,1047.0
2011-02-21,16.68,18.35,16.68,17.6,1610.0
2011-02-22,17.68,17.68,16.76,16.76,1378.0
2011-02-23,16.68,16.68,15.85,15.85,999.0
2011-02-24,15.85,15.85,15.6,15.6,1435.0
2011-02-25,15.85,15.85,15.51,15.51,4062.0
2011-02-28,15.01,15.1,14.18,15.1,1957.0
2011-03-01,15.01,15.26,15.01,15.26,841.0
2011-03-02,15.18,15.18,15.18,15.18,72.0
2011-03-03,14.85,15.18,14.18,14.18,1194.0
2011-03-04,14.18,14.68,13.93,14.68,220.0
2011-03-08,13.93,14.18,13.84,13.84,941.0
2011-03-09,13.84,14.18,13.34,13.93,2334.0
2011-03-11,13.76,13.76,13.76,13.76,14.0
2011-03-14,14.18,15.01,14.18,14.26,1471.0
2011-03-15,15.01,15.01,14.26,15.01,4899.0
2011-03-16,14.6,15.51,14.6,15.51,353.0
2011-03-17,15.93,15.93,15.93,15.93,989.0
2011-03-18,16.51,16.51,16.26,16.51,69.0
2011-03-21,16.26,16.26,16.26,16.26,1445.0
2011-03-24,15.85,16.43,15.85,16.43,126.0
2011-03-28,16.26,16.68,16.26,16.68,1199.0
2011-03-29,16.1,16.26,15.68,15.68,1501.0
2011-03-30,15.85,16.26,15.85,16.26,1253.0
2011-03-31,16.51,16.51,15.68,15.68,1738.0
2011-04-01,15.68,16.35,15.68,16.35,606.0
2011-04-04,15.68,16.35,15.68,16.35,1388.0
2011-04-05,16.35,16.35,15.43,15.43,676.0
2011-04-06,15.43,16.18,15.43,16.18,1837.0
2011-04-11,15.76,16.1,15.43,16.1,614.0
2011-04-12,15.43,15.43,15.43,15.43,289.0
2011-04-14,15.43,15.43,15.43,15.43,894.0
2011-04-15,15.01,15.01,15.01,15.01,121.0
2011-04-18,15.01,15.43,15.01,15.43,580.0
2011-04-19,15.01,15.6,15.01,15.01,1382.0
2011-04-20,15.26,15.43,15.18,15.18,1103.0
2011-04-26,15.18,16.68,15.18,15.76,2097.0
2011-04-27,15.76,16.26,15.76,16.26,1065.0
2011-04-28,15.76,15.76,15.76,15.76,227.0
2011-04-29,15.76,15.76,15.76,15.76,31.0
2011-05-02,15.76,16.26,15.76,16.26,783.0
2011-05-03,16.26,16.26,15.68,15.68,649.0
2011-05-04,15.68,15.68,15.68,15.68,366.0
2011-05-05,15.35,15.35,15.35,15.35,989.0
2011-05-06,14.76,15.43,14.76,15.43,627.0
2011-05-09,14.76,14.76,14.76,14.76,252.0
2011-05-10,14.76,14.76,13.93,13.93,1731.0
2011-05-11,13.93,14.43,13.93,14.43,1399.0
2011-05-12,14.43,14.43,14.43,14.43,49.0
2011-05-13,14.6,14.6,14.6,14.6,1079.0
2011-05-16,14.6,14.6,14.34,14.34,934.0
2011-05-17,14.93,15.01,14.43,15.01,908.0
2011-05-18,14.68,15.18,14.68,14.93,1325.0
2011-05-19,14.93,15.51,14.93,15.51,1112.0
2011-05-20,15.26,15.26,15.26,15.26,5.0
2011-05-23,15.26,15.26,15.26,15.26,1204.0
2011-05-24,15.26,15.26,15.26,15.26,130.0
2011-05-25,15.01,15.01,15.01,15.01,2.0
2011-05-26,15.01,15.01,15.01,15.01,600.0
2011-05-27,15.51,15.51,15.51,15.51,300.0
2011-05-31,14.85,15.51,14.85,15.51,572.0
2011-06-01,15.26,15.26,15.01,15.01,314.0
2011-06-03,15.01,15.51,15.01,15.18,6313.0
2011-06-08,14.93,14.93,14.51,14.51,1799.0
2011-06-09,14.26,14.85,14.26,14.51,1330.0
2011-06-10,14.51,14.51,14.26,14.26,1868.0
2011-06-13,14.01,14.01,14.01,14.01,1.0
2011-06-14,14.01,14.18,13.59,13.59,3356.0
2011-06-15,13.18,13.51,13.18,13.18,1022.0
2011-06-16,15.01,15.01,12.51,12.51,2582.0
2011-06-17,12.51,12.51,12.51,12.51,24.0
2011-06-20,12.34,12.51,12.34,12.51,1354.0
2011-06-21,12.26,12.26,12.26,12.26,40.0
2011-06-22,12.26,12.76,12.26,12.76,2282.0
2011-06-23,12.51,12.93,12.51,12.93,900.0
2011-06-27,12.93,12.93,12.93,12.93,1058.0
2011-06-28,12.59,12.59,12.59,12.59,1.0
2011-06-29,12.59,12.59,12.59,12.59,22.0
2011-06-30,12.76,13.43,12.76,13.34,2400.0
2011-07-04,13.34,15.35,13.34,15.35,2597.0
2011-07-05,14.93,16.68,14.93,16.68,5050.0
2011-07-06,16.35,16.35,16.35,16.35,606.0
2011-07-07,16.18,16.18,14.34,14.34,3521.0
2011-07-08,14.43,17.01,14.43,16.51,5858.0
2011-07-11,15.85,15.85,15.43,15.43,1947.0
2011-07-12,15.01,15.01,15.01,15.01,431.0
2011-07-13,15.18,15.18,15.18,15.18,48.0
2011-07-15,15.35,15.85,15.35,15.35,1086.0
2011-07-18,15.6,15.6,15.6,15.6,1553.0
2011-07-19,15.26,15.51,15.01,15.01,1029.0
2011-07-20,15.01,15.01,15.01,15.01,122.0
2011-07-21,14.68,14.68,13.34,13.34,3207.0
2011-07-22,13.51,13.51,13.01,13.01,420.0
2011-07-25,13.01,13.01,12.84,12.84,1758.0
2011-07-26,12.84,12.84,12.84,12.84,600.0
2011-07-27,12.76,12.84,12.76,12.84,372.0
2011-07-28,12.26,12.93,12.26,12.93,219.0
2011-07-29,12.68,12.93,12.68,12.93,116.0
2011-08-01,12.93,13.68,12.93,13.68,2023.0
2011-08-02,13.43,13.43,12.68,12.68,2158.0
2011-08-03,13.01,13.01,12.76,12.76,796.0
2011-08-04,12.76,12.76,12.18,12.18,1200.0
2011-08-05,12.18,12.18,10.84,11.18,2793.0
2011-08-08,10.84,11.18,10.59,11.18,2384.0
2011-08-09,10.93,10.93,10.84,10.84,1199.0
2011-08-10,10.84,15.01,10.84,15.01,5118.0
2011-08-11,12.76,12.76,12.18,12.18,2658.0
2011-08-12,12.18,12.51,12.18,12.51,1085.0
2011-08-16,12.68,12.68,12.68,12.68,1884.0
2011-08-17,13.18,16.35,13.18,16.35,5499.0
2011-08-18,15.01,15.01,15.01,15.01,1144.0
2011-08-19,14.18,14.18,13.93,13.93,1206.0
2011-08-22,14.6,14.6,14.43,14.43,1140.0
2011-08-23,14.43,14.43,14.43,14.43,1138.0
2011-08-24,12.68,12.68,11.84,11.84,2458.0
2011-08-25,12.68,12.68,11.59,11.59,659.0
2011-08-26,11.59,11.59,11.59,11.59,1.0
2011-08-29,11.76,12.26,11.76,12.26,1755.0
2011-08-30,12.26,12.26,12.26,12.26,78.0
2011-09-01,12.26,12.26,12.26,12.26,480.0
2011-09-02,12.51,12.93,12.51,12.93,749.0
2011-09-05,12.34,12.34,12.18,12.18,1799.0
2011-09-06,11.68,11.68,11.26,11.26,601.0
2011-09-07,11.84,12.18,11.84,11.93,1990.0
2011-09-08,11.43,11.43,11.43,11.43,156.0
2011-09-12,11.43,11.43,11.43,11.43,1379.0
2011-09-13,10.84,10.84,10.84,10.84,40.0
2011-09-14,10.84,10.84,10.84,10.84,73.0
2011-09-16,10.51,10.51,10.51,10.51,7.0
2011-09-19,10.51,10.51,10.09,10.09,602.0
2011-09-21,10.09,10.09,9.67,10.01,650.0
2011-09-22,10.01,10.01,10.01,10.01,228.0
2011-09-23,9.17,9.17,9.01,9.09,2403.0
2011-09-26,9.09,9.09,8.59,8.59,767.0
2011-09-27,8.59,8.67,8.34,8.67,1950.0
2011-09-28,8.67,9.26,8.67,9.26,2716.0
2011-09-29,8.76,8.76,8.76,8.76,3.0
2011-09-30,9.17,11.51,9.17,10.84,5166.0
2011-10-03,12.26,12.34,11.01,11.01,1792.0
2011-10-04,11.01,11.09,11.01,11.09,122.0
2011-10-05,11.59,12.34,11.59,12.26,129.0
2011-10-06,11.43,11.43,11.43,11.43,1.0
2011-10-10,11.84,16.01,11.84,13.43,3209.0
2011-10-11,13.43,14.18,13.43,13.43,790.0
2011-10-12,13.93,16.26,13.93,14.18,225.0
2011-10-13,16.26,17.1,15.1,15.26,2785.0
2011-10-14,15.43,15.43,15.43,15.43,5.0
2011-10-17,15.43,19.35,15.43,16.35,1340.0
2011-10-18,15.85,15.85,15.76,15.76,121.0
2011-10-19,16.68,16.68,15.43,16.68,6005.0
2011-10-20,15.85,16.68,15.85,15.85,1857.0
2011-10-21,15.01,15.01,12.93,12.93,4757.0
2011-10-24,12.93,12.93,12.93,12.93,2.0
2011-10-25,12.93,12.93,12.93,12.93,1169.0
2011-10-26,12.34,12.34,11.68,11.68,2113.0
2011-10-27,11.18,11.18,11.18,11.18,23.0
2011-10-28,11.18,11.34,10.68,11.01,1137.0
2011-11-01,10.68,10.76,10.34,10.43,4314.0
2011-11-02,10.84,10.84,10.59,10.59,1703.0
2011-11-03,10.59,11.01,10.59,11.01,1619.0
2011-11-04,11.01,11.01,11.01,11.01,37.0
2011-11-10,11.68,11.68,11.43,11.43,113.0
2011-11-11,11.84,11.93,11.68,11.68,1817.0
2011-11-14,11.76,11.76,11.76,11.76,440.0
2011-11-15,11.68,11.68,11.68,11.68,1.0
2011-11-16,11.68,11.68,11.68,11.68,480.0
2011-11-18,11.68,11.68,11.68,11.68,1.0
2011-11-21,11.68,11.68,11.68,11.68,1320.0
2011-11-22,11.34,11.34,11.34,11.34,17.0
2011-11-23,11.34,11.34,11.34,11.34,24.0
2011-11-24,11.34,11.34,11.34,11.34,1355.0
2011-11-25,11.34,11.43,11.34,11.43,658.0
2011-11-28,11.09,11.09,11.09,11.09,1.0
2011-11-29,11.68,11.68,10.51,10.84,1814.0
2011-11-30,9.34,9.34,9.34,9.34,1.0
2011-12-01,9.34,9.34,9.34,9.34,8.0
2011-12-02,9.34,9.34,8.84,9.17,766.0
2011-12-05,8.84,8.84,8.84,8.84,94.0
2011-12-06,8.34,9.17,8.34,9.17,692.0
2011-12-07,7.69,7.69,7.51,7.51,1379.0
2011-12-08,7.51,8.31,7.34,8.31,2146.0
2011-12-09,8.34,12.43,8.34,12.43,1583.0
2011-12-12,8.34,12.34,8.34,12.34,25.0
2011-12-13,8.59,8.92,8.59,8.92,228.0
2011-12-14,8.02,8.42,8.02,8.42,17.0
2011-12-15,8.42,8.42,8.34,8.34,1515.0
2011-12-16,8.34,8.34,8.34,8.34,3.0
2011-12-19,8.34,9.76,8.34,9.67,2104.0
2011-12-21,8.67,12.43,8.67,11.68,541.0
