Date,Open,High,Low,Close,Volume
2018-03-09,79.1,81.6,78.5,81.3,111508.0
2018-03-14,87.6,88.0,85.0,86.8,41722.0
2018-03-15,86.1,88.0,85.8,88.0,13582.0
2018-03-16,87.9,87.9,86.0,87.4,11865.0
2018-03-19,87.0,87.0,85.0,85.2,23569.0
2018-03-20,85.2,86.9,85.0,86.0,10860.0
2018-03-21,86.0,86.0,84.0,85.0,16414.0
2018-03-22,85.0,86.0,83.1,83.5,15724.0
2018-03-23,82.7,83.4,80.3,82.0,34565.0
2018-03-26,82.0,83.0,80.1,82.5,27607.0
2018-03-27,83.0,85.8,82.5,84.6,45328.0
2018-03-28,86.0,86.0,84.0,85.5,15741.0
2018-03-29,86.5,89.0,86.5,88.7,28825.0
2018-04-03,88.7,95.0,88.7,94.0,102507.0
2018-04-04,94.1,99.7,94.1,97.4,106635.0
2018-04-05,98.0,99.0,97.5,97.5,204581.0
2018-04-06,97.9,98.4,94.1,96.0,22714.0
2018-04-09,96.0,98.3,96.0,97.8,22302.0
2018-04-10,97.8,97.8,95.3,97.0,29623.0
2018-04-11,97.0,97.0,94.0,95.8,25500.0
2018-04-12,95.1,95.1,93.1,93.2,44339.0
2018-04-13,93.2,94.0,91.0,92.9,27493.0
2018-04-16,92.9,103.8,92.2,98.0,93285.0
2018-04-17,98.0,100.0,98.0,99.6,66305.0
2018-04-18,99.6,100.0,97.1,99.9,37193.0
2018-04-19,99.8,106.6,98.5,106.2,43335.0
2018-04-20,106.0,108.0,104.0,107.8,63305.0
2018-04-23,107.8,114.0,107.8,110.0,100077.0
2018-04-24,110.0,110.0,106.0,108.8,41981.0
2018-04-25,108.8,112.0,107.4,109.8,46990.0
2018-04-26,110.0,110.0,107.0,109.0,466163.0
2018-04-27,109.0,109.6,103.6,108.0,16686.0
2018-04-30,108.0,110.0,106.2,108.4,16869.0
2018-05-02,109.0,109.0,106.0,108.0,36268.0
2018-05-03,106.2,112.0,106.2,108.8,28095.0
2018-05-04,108.8,109.8,106.2,109.4,141498.0
2018-05-07,109.6,116.0,109.4,114.4,44721.0
2018-05-08,115.2,120.8,114.6,120.4,72220.0
2018-05-09,120.4,123.6,120.4,121.6,36208.0
2018-05-11,122.0,122.0,116.4,117.0,45416.0
2018-05-14,117.2,118.0,111.2,112.0,65721.0
2018-05-15,105.0,114.8,101.4,113.8,161007.0
2018-05-16,111.0,111.8,109.2,109.8,41812.0
2018-05-17,109.6,109.6,103.0,108.8,101542.0
2018-05-18,108.8,114.0,106.2,112.6,45752.0
