Date,Open,High,Low,Close,Volume
2009-12-03,15.23,15.5,14.96,15.02,46622
2009-12-04,15.02,15.36,14.96,15.29,29130
2009-12-07,15.09,15.16,14.96,15.02,44704
2009-12-08,15.09,15.23,14.96,15.02,57084
2009-12-09,15.09,15.36,14.89,15.09,30818
2009-12-10,15.29,15.29,15.02,15.23,29290
2009-12-11,15.09,15.23,15.09,15.16,25894
2009-12-14,15.09,15.09,14.82,15.02,46920
2009-12-15,15.02,15.09,14.82,14.82,36648
2009-12-16,14.96,15.02,14.55,14.62,50866
2009-12-17,14.62,14.69,14.42,14.42,35088
2009-12-18,14.62,14.82,14.42,14.69,42234
2009-12-21,14.82,14.82,14.35,14.55,37988
2009-12-22,14.28,14.82,14.28,14.55,69262
2009-12-23,14.96,14.96,14.48,14.69,23318
2009-12-28,14.69,14.75,14.42,14.55,62724
2009-12-29,14.55,14.69,14.48,14.55,29636
2009-12-30,14.55,14.55,14.28,14.55,81200
2010-01-04,14.82,15.02,14.69,15.02,33284
2010-01-05,15.02,15.23,15.02,15.16,29614
2010-01-07,15.29,15.56,15.29,15.5,30558
2010-01-08,15.63,16.3,15.63,15.76,39764
2010-01-11,16.17,16.98,16.17,16.17,62154
2010-01-12,16.17,16.51,16.17,16.17,76718
2010-01-13,16.17,16.24,16.03,16.03,15920
2010-01-14,16.44,16.51,16.3,16.37,31476
2010-01-15,16.44,16.44,16.03,16.3,33676
2010-01-18,16.3,16.64,16.17,16.64,9174
2010-01-19,16.44,16.64,16.37,16.64,18200
2010-01-20,16.51,16.64,16.3,16.3,28876
2010-01-21,16.24,16.44,16.24,16.3,24312
2010-01-22,16.17,16.37,16.1,16.17,13584
2010-01-25,16.17,16.17,16.17,16.17,7758
2010-01-26,16.1,16.17,15.97,16.17,11962
2010-01-27,16.3,16.44,16.03,16.44,9982
2010-01-28,16.44,16.44,16.03,16.03,21718
2010-01-29,16.03,16.17,15.9,16.17,27072
2010-02-01,16.1,16.24,16.03,16.24,39410
2010-02-02,16.24,16.44,16.17,16.44,26066
2010-02-03,16.44,16.44,16.17,16.44,15410
2010-02-04,16.51,16.51,16.24,16.24,19032
2010-02-05,16.17,16.24,16.03,16.24,18150
2010-02-08,16.24,16.37,15.7,15.76,15800
2010-02-09,16.17,16.57,15.97,16.3,14092
2010-02-10,16.3,16.3,15.76,16.03,32546
