Date,Open,High,Low,Close,Volume
2010-01-04,34.92,35.57,34.59,35.41,15249.0
2010-01-05,34.92,35.41,34.92,35.41,5734.0
2010-01-07,35.73,35.73,35.24,35.73,6050.0
2010-01-08,35.24,36.22,35.24,36.22,29213.0
2010-01-11,36.22,36.55,35.57,36.06,20268.0
2010-01-12,35.89,36.22,35.89,36.22,27186.0
2010-01-13,35.89,36.55,35.89,36.55,15237.0
2010-01-14,36.55,38.67,36.55,38.51,228752.0
2010-01-15,38.99,39.16,38.18,38.18,150592.0
2010-01-18,38.18,39.16,37.36,38.99,35729.0
2010-01-19,38.99,39.81,38.51,39.65,93265.0
2010-01-20,39.81,39.81,38.83,39.32,33294.0
2010-01-21,39.32,39.65,38.67,39.16,15210.0
2010-01-22,39.16,39.48,38.51,38.51,18542.0
2010-01-25,38.51,39.32,38.34,38.51,55865.0
2010-01-26,38.34,38.99,38.34,38.67,26082.0
2010-01-27,38.67,38.99,38.18,38.99,21345.0
2010-01-28,38.51,39.16,37.85,38.83,24787.0
2010-01-29,38.67,39.16,38.51,39.16,12112.0
2010-02-01,39.16,39.16,38.34,38.83,11081.0
2010-02-02,38.67,39.16,38.34,38.67,14131.0
2010-02-03,38.67,38.83,38.18,38.83,11735.0
2010-02-04,38.51,38.67,38.18,38.18,2676.0
2010-02-05,37.85,37.85,36.22,37.2,8778.0
2010-02-08,37.85,38.18,37.2,38.18,7687.0
2010-02-09,40.95,41.12,38.02,39.48,12148.0
2010-02-10,38.51,39.16,38.51,38.51,6054.0
2010-02-11,37.85,39.16,37.85,38.99,5955.0
2010-02-12,38.99,39.48,37.36,38.18,30170.0
2010-02-15,37.85,38.18,36.55,37.36,40703.0
2010-02-16,37.2,38.02,36.55,36.87,17381.0
2010-02-17,37.2,38.34,36.55,38.34,16175.0
2010-02-18,37.85,38.51,37.85,38.51,33456.0
2010-02-19,37.69,38.83,37.69,38.51,5406.0
2010-02-22,37.85,38.99,37.85,38.51,17652.0
2010-02-23,38.02,38.51,37.53,37.69,12077.0
2010-02-24,37.85,37.85,37.36,37.69,6089.0
2010-02-25,37.2,37.2,36.71,37.2,7617.0
2010-02-26,37.2,37.2,36.71,36.71,5171.0
2010-03-01,36.71,37.2,36.55,36.87,6666.0
2010-03-02,37.85,37.85,36.55,37.53,15877.0
2010-03-03,37.53,37.53,37.36,37.53,2363.0
2010-03-04,37.2,37.53,37.2,37.53,6088.0
2010-03-05,37.53,37.69,37.2,37.69,5995.0
2010-03-08,37.85,37.85,37.36,37.53,2115.0
2010-03-09,37.2,37.2,37.04,37.04,10963.0
2010-03-10,37.2,37.53,36.87,37.04,9307.0
2010-03-11,37.2,37.85,37.04,37.04,19117.0
2010-03-12,37.04,37.85,36.55,37.85,71543.0
2010-03-15,37.85,38.34,37.2,38.18,20158.0
2010-03-16,38.18,38.34,37.85,38.18,11923.0
